scenario,period,stock,inflow,demand,losses,raw_next_stock,constrained_next_stock,shortage,overflow,capacity,stock_margin
low_inflow,44,8.7601126,5.0,6.0,0.13140169,7.62871091,7.62871091,0.0,0.0,100.0,0.08760113
low_inflow,45,7.62871091,5.0,6.0,0.11443066,6.51428024,6.51428024,0.0,0.0,100.0,0.07628711
low_inflow,46,6.51428024,5.0,6.0,0.0977142,5.41656604,5.41656604,0.0,0.0,100.0,0.0651428
low_inflow,47,5.41656604,5.0,6.0,0.08124849,4.33531755,4.33531755,0.0,0.0,100.0,0.05416566
low_inflow,48,4.33531755,5.0,6.0,0.06502976,3.27028779,3.27028779,0.0,0.0,100.0,0.04335318
low_inflow,49,3.27028779,5.0,6.0,0.04905432,2.22123347,2.22123347,0.0,0.0,100.0,0.03270288
low_inflow,50,2.22123347,5.0,6.0,0.0333185,1.18791497,1.18791497,0.0,0.0,100.0,0.02221233
low_inflow,51,1.18791497,5.0,6.0,0.01781872,0.17009624,0.17009624,0.0,0.0,100.0,0.01187915
low_inflow,52,0.17009624,5.0,6.0,0.00255144,-0.8324552,0.0,0.8324552,0.0,100.0,0.00170096
low_inflow,53,0.0,5.0,6.0,0.0,-1.0,0.0,1.0,0.0,100.0,0.0
low_inflow,54,0.0,5.0,6.0,0.0,-1.0,0.0,1.0,0.0,100.0,0.0
low_inflow,55,0.0,5.0,6.0,0.0,-1.0,0.0,1.0,0.0,100.0,0.0
low_inflow,56,0.0,5.0,6.0,0.0,-1.0,0.0,1.0,0.0,100.0,0.0
low_inflow,57,0.0,5.0,6.0,0.0,-1.0,0.0,1.0,0.0,100.0,0.0
low_inflow,58,0.0,5.0,6.0,0.0,-1.0,0.0,1.0,0.0,100.0,0.0
low_inflow,59,0.0,5.0,6.0,0.0,-1.0,0.0,1.0,0.0,100.0,0.0
low_inflow,60,0.0,5.0,6.0,0.0,-1.0,0.0,1.0,0.0,100.0,0.0
high_demand,0,80.0,8.0,8.0,1.2,78.8,78.8,0.0,0.0,100.0,0.8
high_demand,1,78.8,8.0,8.0,1.182,77.618,77.618,0.0,0.0,100.0,0.788
high_demand,2,77.618,8.0,8.0,1.16427,76.45373,76.45373,0.0,0.0,100.0,0.77618
high_demand,3,76.45373,8.0,8.0,1.14680595,75.30692405,75.30692405,0.0,0.0,100.0,0.7645373
high_demand,4,75.30692405,8.0,8.0,1.12960386,74.17732019,74.17732019,0.0,0.0,100.0,0.75306924
high_demand,5,74.17732019,8.0,8.0,1.1126598,73.06466039,73.06466039,0.0,0.0,100.0,0.7417732
high_demand,6,73.06466039,8.0,8.0,1.09596991,71.96869048,71.96869048,0.0,0.0,100.0,0.7306466
high_demand,7,71.96869048,8.0,8.0,1.07953036,70.88916012,70.88916012,0.0,0.0,100.0,0.7196869
high_demand,8,70.88916012,8.0,8.0,1.0633374,69.82582272,69.82582272,0.0,0.0,100.0,0.7088916
high_demand,9,69.82582272,8.0,8.0,1.04738734,68.77843538,68.77843538,0.0,0.0,100.0,0.69825823
high_demand,10,68.77843538,8.0,8.0,1.03167653,67.74675885,67.74675885,0.0,0.0,100.0,0.68778435
high_demand,11,67.74675885,8.0,8.0,1.01620138,66.73055747,66.73055747,0.0,0.0,100.0,0.67746759
high_demand,12,66.73055747,8.0,8.0,1.00095836,65.72959911,65.72959911,0.0,0.0,100.0,0.66730557
high_demand,13,65.72959911,8.0,8.0,0.98594399,64.74365512,64.74365512,0.0,0.0,100.0,0.65729599
high_demand,14,64.74365512,8.0,8.0,0.97115483,63.77250029,63.77250029,0.0,0.0,100.0,0.64743655
high_demand,15,63.77250029,8.0,8.0,0.9565875,62.81591279,62.81591279,0.0,0.0,100.0,0.637725
high_demand,16,62.81591279,8.0,8.0,0.94223869,61.8736741,61.8736741,0.0,0.0,100.0,0.62815913
high_demand,17,61.8736741,8.0,8.0,0.92810511,60.94556898,60.94556898,0.0,0.0,100.0,0.61873674
high_demand,18,60.94556898,8.0,8.0,0.91418353,60.03138545,60.03138545,0.0,0.0,100.0,0.60945569
high_demand,19,60.03138545,8.0,8.0,0.90047078,59.13091467,59.13091467,0.0,0.0,100.0,0.60031385
high_demand,20,59.13091467,8.0,8.0,0.88696372,58.24395095,58.24395095,0.0,0.0,100.0,0.59130915
high_demand,21,58.24395095,8.0,8.0,0.87365926,57.37029168,57.37029168,0.0,0.0,100.0,0.58243951
high_demand,22,57.37029168,8.0,8.0,0.86055438,56.50973731,56.50973731,0.0,0.0,100.0,0.57370292
high_demand,23,56.50973731,8.0,8.0,0.84764606,55.66209125,55.66209125,0.0,0.0,100.0,0.56509737
high_demand,24,55.66209125,8.0,8.0,0.83493137,54.82715988,54.82715988,0.0,0.0,100.0,0.55662091
high_demand,25,54.82715988,8.0,8.0,0.8224074,54.00475248,54.00475248,0.0,0.0,100.0,0.5482716
high_demand,26,54.00475248,8.0,8.0,0.81007129,53.19468119,53.19468119,0.0,0.0,100.0,0.54004752
high_demand,27,53.19468119,8.0,8.0,0.79792022,52.39676098,52.39676098,0.0,0.0,100.0,0.53194681
high_demand,28,52.39676098,8.0,8.0,0.78595141,51.61080956,51.61080956,0.0,0.0,100.0,0.52396761
high_demand,29,51.61080956,8.0,8.0,0.77416214,50.83664742,50.83664742,0.0,0.0,100.0,0.5161081
high_demand,30,50.83664742,8.0,8.0,0.76254971,50.07409771,50.07409771,0.0,0.0,100.0,0.50836647
high_demand,31,50.07409771,8.0,8.0,0.75111147,49.32298624,49.32298624,0.0,0.0,100.0,0.50074098
high_demand,32,49.32298624,8.0,8.0,0.73984479,48.58314145,48.58314145,0.0,0.0,100.0,0.49322986
high_demand,33,48.58314145,8.0,8.0,0.72874712,47.85439433,47.85439433,0.0,0.0,100.0,0.48583141
high_demand,34,47.85439433,8.0,8.0,0.71781591,47.13657841,47.13657841,0.0,0.0,100.0,0.47854394
high_demand,35,47.13657841,8.0,8.0,0.70704868,46.42952974,46.42952974,0.0,0.0,100.0,0.47136578
high_demand,36,46.42952974,8.0,8.0,0.69644295,45.73308679,45.73308679,0.0,0.0,100.0,0.4642953
high_demand,37,45.73308679,8.0,8.0,0.6859963,45.04709049,45.04709049,0.0,0.0,100.0,0.45733087
high_demand,38,45.04709049,8.0,8.0,0.67570636,44.37138413,44.37138413,0.0,0.0,100.0,0.4504709
high_demand,39,44.37138413,8.0,8.0,0.66557076,43.70581337,43.70581337,0.0,0.0,100.0,0.44371384
high_demand,40,43.70581337,8.0,8.0,0.6555872,43.05022617,43.05022617,0.0,0.0,100.0,0.43705813
high_demand,41,43.05022617,8.0,8.0,0.64575339,42.40447278,42.40447278,0.0,0.0,100.0,0.43050226
high_demand,42,42.40447278,8.0,8.0,0.63606709,41.76840568,41.76840568,0.0,0.0,100.0,0.42404473
high_demand,43,41.76840568,8.0,8.0,0.62652609,41.1418796,41.1418796,0.0,0.0,100.0,0.41768406
high_demand,44,41.1418796,8.0,8.0,0.61712819,40.5247514,40.5247514,0.0,0.0,100.0,0.4114188
high_demand,45,40.5247514,8.0,8.0,0.60787127,39.91688013,39.91688013,0.0,0.0,100.0,0.40524751
high_demand,46,39.91688013,8.0,8.0,0.5987532,39.31812693,39.31812693,0.0,0.0,100.0,0.3991688
high_demand,47,39.31812693,8.0,8.0,0.5897719,38.72835503,38.72835503,0.0,0.0,100.0,0.39318127
high_demand,48,38.72835503,8.0,8.0,0.58092533,38.1474297,38.1474297,0.0,0.0,100.0,0.38728355
high_demand,49,38.1474297,8.0,8.0,0.57221145,37.57521826,37.57521826,0.0,0.0,100.0,0.3814743
high_demand,50,37.57521826,8.0,8.0,0.56362827,37.01158998,37.01158998,0.0,0.0,100.0,0.37575218
high_demand,51,37.01158998,8.0,8.0,0.55517385,36.45641613,36.45641613,0.0,0.0,100.0,0.3701159
high_demand,52,36.45641613,8.0,8.0,0.54684624,35.90956989,35.90956989,0.0,0.0,100.0,0.36456416
high_demand,53,35.90956989,8.0,8.0,0.53864355,35.37092634,35.37092634,0.0,0.0,100.0,0.3590957
high_demand,54,35.37092634,8.0,8.0,0.5305639,34.84036245,34.84036245,0.0,0.0,100.0,0.35370926
high_demand,55,34.84036245,8.0,8.0,0.52260544,34.31775701,34.31775701,0.0,0.0,100.0,0.34840362
high_demand,56,34.31775701,8.0,8.0,0.51476636,33.80299066,33.80299066,0.0,0.0,100.0,0.34317757
high_demand,57,33.80299066,8.0,8.0,0.50704486,33.2959458,33.2959458,0.0,0.0,100.0,0.33802991
high_demand,58,33.2959458,8.0,8.0,0.49943919,32.79650661,32.79650661,0.0,0.0,100.0,0.33295946
high_demand,59,32.79650661,8.0,8.0,0.4919476,32.30455901,32.30455901,0.0,0.0,100.0,0.32796507
high_demand,60,32.30455901,8.0,8.0,0.48456839,31.81999062,31.81999062,0.0,0.0,100.0,0.32304559
high_loss_rate,0,80.0,8.0,6.0,3.2,78.8,78.8,0.0,0.0,100.0,0.8
high_loss_rate,1,78.8,8.0,6.0,3.152,77.648,77.648,0.0,0.0,100.0,0.788
high_loss_rate,2,77.648,8.0,6.0,3.10592,76.54208,76.54208,0.0,0.0,100.0,0.77648
high_loss_rate,3,76.54208,8.0,6.0,3.0616832,75.4803968,75.4803968,0.0,0.0,100.0,0.7654208
high_loss_rate,4,75.4803968,8.0,6.0,3.01921587,74.46118093,74.46118093,0.0,0.0,100.0,0.75480397
high_loss_rate,5,74.46118093,8.0,6.0,2.97844724,73.48273369,73.48273369,0.0,0.0,100.0,0.74461181
high_loss_rate,6,73.48273369,8.0,6.0,2.93930935,72.54342434,72.54342434,0.0,0.0,100.0,0.73482734
high_loss_rate,7,72.54342434,8.0,6.0,2.90173697,71.64168737,71.64168737,0.0,0.0,100.0,0.72543424
high_loss_rate,8,71.64168737,8.0,6.0,2.86566749,70.77601987,70.77601987,0.0,0.0,100.0,0.71641687
high_loss_rate,9,70.77601987,8.0,6.0,2.83104079,69.94497908,69.94497908,0.0,0.0,100.0,0.7077602
high_loss_rate,10,69.94497908,8.0,6.0,2.79779916,69.14717992,69.14717992,0.0,0.0,100.0,0.69944979
high_loss_rate,11,69.14717992,8.0,6.0,2.7658872,68.38129272,68.38129272,0.0,0.0,100.0,0.6914718
high_loss_rate,12,68.38129272,8.0,6.0,2.73525171,67.64604101,67.64604101,0.0,0.0,100.0,0.68381293
high_loss_rate,13,67.64604101,8.0,6.0,2.70584164,66.94019937,66.94019937,0.0,0.0,100.0,0.67646041
high_loss_rate,14,66.94019937,8.0,6.0,2.67760797,66.2625914,66.2625914,0.0,0.0,100.0,0.66940199
high_loss_rate,15,66.2625914,8.0,6.0,2.65050366,65.61208774,65.61208774,0.0,0.0,100.0,0.66262591
high_loss_rate,16,65.61208774,8.0,6.0,2.62448351,64.98760423,64.98760423,0.0,0.0,100.0,0.65612088
high_loss_rate,17,64.98760423,8.0,6.0,2.59950417,64.38810006,64.38810006,0.0,0.0,100.0,0.64987604
high_loss_rate,18,64.38810006,8.0,6.0,2.575524,63.81257606,63.81257606,0.0,0.0,100.0,0.643881
high_loss_rate,19,63.81257606,8.0,6.0,2.55250304,63.26007302,63.26007302,0.0,0.0,100.0,0.63812576
high_loss_rate,20,63.26007302,8.0,6.0,2.53040292,62.7296701,62.7296701,0.0,0.0,100.0,0.63260073
high_loss_rate,21,62.7296701,8.0,6.0,2.5091868,62.22048329,62.22048329,0.0,0.0,100.0,0.6272967
high_loss_rate,22,62.22048329,8.0,6.0,2.48881933,61.73166396,61.73166396,0.0,0.0,100.0,0.62220483
high_loss_rate,23,61.73166396,8.0,6.0,2.46926656,61.2623974,61.2623974,0.0,0.0,100.0,0.61731664
high_loss_rate,24,61.2623974,8.0,6.0,2.4504959,60.81190151,60.81190151,0.0,0.0,100.0,0.61262397
high_loss_rate,25,60.81190151,8.0,6.0,2.43247606,60.37942545,60.37942545,0.0,0.0,100.0,0.60811902
high_loss_rate,26,60.37942545,8.0,6.0,2.41517702,59.96424843,59.96424843,0.0,0.0,100.0,0.60379425
high_loss_rate,27,59.96424843,8.0,6.0,2.39856994,59.56567849,59.56567849,0.0,0.0,100.0,0.59964248
high_loss_rate,28,59.56567849,8.0,6.0,2.38262714,59.18305135,59.18305135,0.0,0.0,100.0,0.59565678
high_loss_rate,29,59.18305135,8.0,6.0,2.36732205,58.8157293,58.8157293,0.0,0.0,100.0,0.59183051
high_loss_rate,30,58.8157293,8.0,6.0,2.35262917,58.46310013,58.46310013,0.0,0.0,100.0,0.58815729
high_loss_rate,31,58.46310013,8.0,6.0,2.33852401,58.12457612,58.12457612,0.0,0.0,100.0,0.584631
high_loss_rate,32,58.12457612,8.0,6.0,2.32498304,57.79959308,57.79959308,0.0,0.0,100.0,0.58124576
high_loss_rate,33,57.79959308,8.0,6.0,2.31198372,57.48760935,57.48760935,0.0,0.0,100.0,0.57799593
high_loss_rate,34,57.48760935,8.0,6.0,2.29950437,57.18810498,57.18810498,0.0,0.0,100.0,0.57487609
high_loss_rate,35,57.18810498,8.0,6.0,2.2875242,56.90058078,56.90058078,0.0,0.0,100.0,0.57188105
high_loss_rate,36,56.90058078,8.0,6.0,2.27602323,56.62455755,56.62455755,0.0,0.0,100.0,0.56900581
high_loss_rate,37,56.62455755,8.0,6.0,2.2649823,56.35957525,56.35957525,0.0,0.0,100.0,0.56624558
high_loss_rate,38,56.35957525,8.0,6.0,2.25438301,56.10519224,56.10519224,0.0,0.0,100.0,0.56359575
high_loss_rate,39,56.10519224,8.0,6.0,2.24420769,55.86098455,55.86098455,0.0,0.0,100.0,0.56105192
high_loss_rate,40,55.86098455,8.0,6.0,2.23443938,55.62654516,55.62654516,0.0,0.0,100.0,0.55860985
high_loss_rate,41,55.62654516,8.0,6.0,2.22506181,55.40148336,55.40148336,0.0,0.0,100.0,0.55626545
high_loss_rate,42,55.40148336,8.0,6.0,2.21605933,55.18542402,55.18542402,0.0,0.0,100.0,0.55401483
high_loss_rate,43,55.18542402,8.0,6.0,2.20741696,54.97800706,54.97800706,0.0,0.0,100.0,0.55185424
high_loss_rate,44,54.97800706,8.0,6.0,2.19912028,54.77888678,54.77888678,0.0,0.0,100.0,0.54978007
high_loss_rate,45,54.77888678,8.0,6.0,2.19115547,54.58773131,54.58773131,0.0,0.0,100.0,0.54778887
high_loss_rate,46,54.58773131,8.0,6.0,2.18350925,54.40422206,54.40422206,0.0,0.0,100.0,0.54587731
high_loss_rate,47,54.40422206,8.0,6.0,2.17616888,54.22805317,54.22805317,0.0,0.0,100.0,0.54404222
high_loss_rate,48,54.22805317,8.0,6.0,2.16912213,54.05893105,54.05893105,0.0,0.0,100.0,0.54228053
high_loss_rate,49,54.05893105,8.0,6.0,2.16235724,53.89657381,53.89657381,0.0,0.0,100.0,0.54058931
high_loss_rate,50,53.89657381,8.0,6.0,2.15586295,53.74071085,53.74071085,0.0,0.0,100.0,0.53896574
high_loss_rate,51,53.74071085,8.0,6.0,2.14962843,53.59108242,53.59108242,0.0,0.0,100.0,0.53740711
high_loss_rate,52,53.59108242,8.0,6.0,2.1436433,53.44743912,53.44743912,0.0,0.0,100.0,0.53591082
high_loss_rate,53,53.44743912,8.0,6.0,2.13789756,53.30954156,53.30954156,0.0,0.0,100.0,0.53447439
high_loss_rate,54,53.30954156,8.0,6.0,2.13238166,53.1771599,53.1771599,0.0,0.0,100.0,0.53309542
high_loss_rate,55,53.1771599,8.0,6.0,2.1270864,53.0500735,53.0500735,0.0,0.0,100.0,0.5317716
high_loss_rate,56,53.0500735,8.0,6.0,2.12200294,52.92807056,52.92807056,0.0,0.0,100.0,0.53050073
high_loss_rate,57,52.92807056,8.0,6.0,2.11712282,52.81094774,52.81094774,0.0,0.0,100.0,0.52928071
high_loss_rate,58,52.81094774,8.0,6.0,2.11243791,52.69850983,52.69850983,0.0,0.0,100.0,0.52810948
high_loss_rate,59,52.69850983,8.0,6.0,2.10794039,52.59056943,52.59056943,0.0,0.0,100.0,0.5269851
high_loss_rate,60,52.59056943,8.0,6.0,2.10362278,52.48694666,52.48694666,0.0,0.0,100.0,0.52590569
tight_capacity,0,70.0,8.0,6.0,1.05,70.95,70.95,0.0,0.0,75.0,0.93333333
tight_capacity,1,70.95,8.0,6.0,1.06425,71.88575,71.88575,0.0,0.0,75.0,0.946
tight_capacity,2,71.88575,8.0,6.0,1.07828625,72.80746375,72.80746375,0.0,0.0,75.0,0.95847667
tight_capacity,3,72.80746375,8.0,6.0,1.09211196,73.71535179,73.71535179,0.0,0.0,75.0,0.97076618
