step,time,center_value,total_mass,max_value,min_value,diffusion_ratio,transport_ratio,warning
18,3.600000,0.196681,1.000000,0.294401,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
19,3.800000,0.184073,1.000000,0.284231,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
20,4.000000,0.172552,1.000000,0.274037,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
21,4.200000,0.161996,1.000000,0.263908,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
22,4.400000,0.152297,1.000000,0.253912,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
23,4.600000,0.143365,1.000000,0.249469,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
24,4.800000,0.135119,1.000000,0.247751,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
25,5.000000,0.127491,1.000000,0.245398,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
26,5.200000,0.120418,1.000000,0.242496,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
27,5.400000,0.113847,1.000000,0.239121,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
28,5.600000,0.107732,1.000000,0.235343,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
29,5.800000,0.102031,1.000000,0.231226,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
30,6.000000,0.096706,1.000000,0.226826,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
31,6.200000,0.091727,1.000000,0.222195,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
32,6.400000,0.087063,1.000000,0.217380,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
33,6.600000,0.082688,1.000000,0.212419,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
34,6.800000,0.078580,1.000000,0.207350,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
35,7.000000,0.074718,1.000000,0.203412,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
36,7.200000,0.071083,1.000000,0.202573,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
37,7.400000,0.067658,1.000000,0.201383,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
38,7.600000,0.064428,1.000000,0.199873,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
39,7.800000,0.061378,1.000000,0.198074,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
40,8.000000,0.058497,1.000000,0.196014,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
41,8.200000,0.055773,1.000000,0.193719,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
42,8.400000,0.053195,1.000000,0.191215,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
43,8.600000,0.050754,1.000000,0.188526,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
44,8.800000,0.048441,1.000000,0.185674,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
45,9.000000,0.046248,1.000000,0.182680,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
46,9.200000,0.044167,1.000000,0.179563,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
47,9.400000,0.042191,1.000000,0.176343,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
48,9.600000,0.040315,1.000000,0.175411,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
49,9.800000,0.038532,1.000000,0.174725,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
50,10.000000,0.036838,1.000000,0.173823,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
51,10.200000,0.035225,1.000000,0.172722,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
52,10.400000,0.033691,1.000000,0.171436,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
53,10.600000,0.032231,1.000000,0.169977,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
54,10.800000,0.030840,1.000000,0.168361,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
55,11.000000,0.029515,1.000000,0.166600,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
56,11.200000,0.028252,1.000000,0.164706,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
57,11.400000,0.027049,1.000000,0.162693,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
58,11.600000,0.025901,1.000000,0.160571,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
59,11.800000,0.024806,1.000000,0.158351,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
60,12.000000,0.023761,1.000000,0.156816,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
61,12.200000,0.022764,1.000000,0.156394,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
62,12.400000,0.021811,1.000000,0.155815,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
63,12.600000,0.020902,1.000000,0.155088,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
64,12.800000,0.020033,1.000000,0.154221,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
65,13.000000,0.019204,1.000000,0.153222,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
66,13.200000,0.018410,1.000000,0.152100,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
67,13.400000,0.017652,1.000000,0.150861,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
68,13.600000,0.016928,1.000000,0.149515,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
69,13.800000,0.016234,1.000000,0.148069,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
70,14.000000,0.015572,1.000000,0.146531,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
71,14.200000,0.014937,1.000000,0.144907,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
72,14.400000,0.014331,1.000000,0.143205,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
73,14.600000,0.013750,1.000000,0.142801,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
74,14.800000,0.013194,1.000000,0.142415,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
75,15.000000,0.012662,1.000000,0.141913,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
76,15.200000,0.012152,1.000000,0.141301,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
77,15.400000,0.011665,1.000000,0.140583,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
78,15.600000,0.011197,1.000000,0.139766,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
79,15.800000,0.010750,1.000000,0.138855,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
80,16.000000,0.010321,1.000000,0.137854,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
81,16.200000,0.009910,1.000000,0.136769,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
82,16.400000,0.009516,1.000000,0.135605,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
83,16.600000,0.009139,1.000000,0.134367,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
84,16.800000,0.008777,1.000000,0.133060,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
85,17.000000,0.008431,1.000000,0.132203,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
86,17.200000,0.008098,1.000000,0.131941,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
87,17.400000,0.007779,1.000000,0.131586,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
88,17.600000,0.007474,1.000000,0.131141,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
89,17.800000,0.007180,1.000000,0.130610,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
90,18.000000,0.006899,1.000000,0.129996,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
91,18.200000,0.006629,1.000000,0.129303,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
92,18.400000,0.006371,1.000000,0.128536,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
93,18.600000,0.006122,1.000000,0.127696,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
94,18.800000,0.005884,1.000000,0.126789,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
95,19.000000,0.005655,1.000000,0.125817,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
96,19.200000,0.005436,1.000000,0.124784,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
97,19.400000,0.005225,1.000000,0.123695,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
98,19.600000,0.005023,1.000000,0.123463,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
99,19.800000,0.004829,1.000000,0.123209,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
100,20.000000,0.004643,1.000000,0.122880,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
101,20.200000,0.004464,1.000000,0.122478,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
102,20.400000,0.004292,1.000000,0.122007,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
103,20.600000,0.004127,1.000000,0.121469,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
104,20.800000,0.003968,1.000000,0.120866,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
105,21.000000,0.003816,1.000000,0.120202,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
106,21.200000,0.003670,1.000000,0.119478,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
107,21.400000,0.003530,1.000000,0.118698,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
108,21.600000,0.003395,1.000000,0.117865,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
109,21.800000,0.003265,1.000000,0.116981,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
110,22.000000,0.003141,1.000000,0.116418,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
111,22.200000,0.003021,1.000000,0.116236,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
112,22.400000,0.002906,1.000000,0.115990,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
113,22.600000,0.002796,1.000000,0.115682,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
114,22.800000,0.002690,1.000000,0.115315,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
115,23.000000,0.002588,1.000000,0.114890,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
116,23.200000,0.002490,1.000000,0.114409,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
117,23.400000,0.002395,1.000000,0.113874,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
118,23.600000,0.002305,1.000000,0.113288,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
119,23.800000,0.002218,1.000000,0.112652,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
120,24.000000,0.002134,1.000000,0.111968,0.000000,0.016000,0.080000,Spatial dynamics depend on field meaning boundary conditions grid spacing time step and numerical stability.
