scenario,method,step,time,state,growth_rate,carrying_capacity,time_step
baseline,euler,76,7.6,60.9620336508,0.35,100.0,0.1
baseline,euler,77,7.7,61.7949754872,0.35,100.0,0.1
baseline,euler,78,7.8,62.6212829809,0.35,100.0,0.1
baseline,euler,79,7.9,63.4405291064,0.35,100.0,0.1
baseline,euler,80,8.0,64.2523023685,0.35,100.0,0.1
baseline,euler,81,8.1,65.0562075255,0.35,100.0,0.1
baseline,euler,82,8.2,65.8518662408,0.35,100.0,0.1
baseline,euler,83,8.3,66.6389176586,0.35,100.0,0.1
baseline,euler,84,8.4,67.4170189053,0.35,100.0,0.1
baseline,euler,85,8.5,68.1858455137,0.35,100.0,0.1
baseline,euler,86,8.6,68.9450917717,0.35,100.0,0.1
baseline,euler,87,8.7,69.6944709959,0.35,100.0,0.1
baseline,euler,88,8.8,70.4337157302,0.35,100.0,0.1
baseline,euler,89,8.9,71.1625778717,0.35,100.0,0.1
baseline,euler,90,9.0,71.8808287259,0.35,100.0,0.1
baseline,euler,91,9.1,72.5882589929,0.35,100.0,0.1
baseline,euler,92,9.2,73.2846786874,0.35,100.0,0.1
baseline,euler,93,9.3,73.9699169958,0.35,100.0,0.1
baseline,euler,94,9.4,74.6438220736,0.35,100.0,0.1
baseline,euler,95,9.5,75.3062607853,0.35,100.0,0.1
baseline,euler,96,9.6,75.9571183931,0.35,100.0,0.1
baseline,rk4,0,0.0,10.0,0.35,100.0,0.1
baseline,rk4,1,0.1,10.3194395425,0.35,100.0,0.1
baseline,rk4,2,0.2,10.6478759955,0.35,100.0,0.1
baseline,rk4,3,0.3,10.98548512,0.35,100.0,0.1
baseline,rk4,4,0.4,11.3324410815,0.35,100.0,0.1
baseline,rk4,5,0.5,11.6889160562,0.35,100.0,0.1
baseline,rk4,6,0.6,12.0550798176,0.35,100.0,0.1
baseline,rk4,7,0.7,12.4310993022,0.35,100.0,0.1
baseline,rk4,8,0.8,12.817138157,0.35,100.0,0.1
baseline,rk4,9,0.9,13.2133562661,0.35,100.0,0.1
baseline,rk4,10,1.0,13.6199092592,0.35,100.0,0.1
baseline,rk4,11,1.1,14.0369480017,0.35,100.0,0.1
baseline,rk4,12,1.2,14.4646180663,0.35,100.0,0.1
baseline,rk4,13,1.3,14.9030591885,0.35,100.0,0.1
baseline,rk4,14,1.4,15.3524047059,0.35,100.0,0.1
baseline,rk4,15,1.5,15.8127809826,0.35,100.0,0.1
baseline,rk4,16,1.6,16.2843068208,0.35,100.0,0.1
baseline,rk4,17,1.7,16.7670928598,0.35,100.0,0.1
baseline,rk4,18,1.8,17.2612409655,0.35,100.0,0.1
baseline,rk4,19,1.9,17.7668436116,0.35,100.0,0.1
baseline,rk4,20,2.0,18.2839832543,0.35,100.0,0.1
baseline,rk4,21,2.1,18.8127317034,0.35,100.0,0.1
baseline,rk4,22,2.2,19.3531494923,0.35,100.0,0.1
baseline,rk4,23,2.3,19.9052852489,0.35,100.0,0.1
baseline,rk4,24,2.4,20.4691750707,0.35,100.0,0.1
baseline,rk4,25,2.5,21.0448419071,0.35,100.0,0.1
baseline,rk4,26,2.6,21.6322949525,0.35,100.0,0.1
baseline,rk4,27,2.7,22.231529052,0.35,100.0,0.1
baseline,rk4,28,2.8,22.8425241258,0.35,100.0,0.1
baseline,rk4,29,2.9,23.465244613,0.35,100.0,0.1
baseline,rk4,30,3.0,24.0996389404,0.35,100.0,0.1
baseline,rk4,31,3.1,24.7456390202,0.35,100.0,0.1
baseline,rk4,32,3.2,25.403159779,0.35,100.0,0.1
baseline,rk4,33,3.3,26.0720987235,0.35,100.0,0.1
baseline,rk4,34,3.4,26.7523355452,0.35,100.0,0.1
baseline,rk4,35,3.5,27.4437317705,0.35,100.0,0.1
baseline,rk4,36,3.6,28.1461304569,0.35,100.0,0.1
baseline,rk4,37,3.7,28.8593559412,0.35,100.0,0.1
baseline,rk4,38,3.8,29.5832136427,0.35,100.0,0.1
baseline,rk4,39,3.9,30.3174899242,0.35,100.0,0.1
baseline,rk4,40,4.0,31.061952015,0.35,100.0,0.1
baseline,rk4,41,4.1,31.8163479979,0.35,100.0,0.1
baseline,rk4,42,4.2,32.5804068635,0.35,100.0,0.1
baseline,rk4,43,4.3,33.3538386339,0.35,100.0,0.1
baseline,rk4,44,4.4,34.1363345572,0.35,100.0,0.1
baseline,rk4,45,4.5,34.927567376,0.35,100.0,0.1
baseline,rk4,46,4.6,35.7271916685,0.35,100.0,0.1
baseline,rk4,47,4.7,36.5348442657,0.35,100.0,0.1
baseline,rk4,48,4.8,37.3501447429,0.35,100.0,0.1
baseline,rk4,49,4.9,38.1726959854,0.35,100.0,0.1
baseline,rk4,50,5.0,39.0020848292,0.35,100.0,0.1
baseline,rk4,51,5.1,39.8378827728,0.35,100.0,0.1
baseline,rk4,52,5.2,40.6796467608,0.35,100.0,0.1
baseline,rk4,53,5.3,41.5269200348,0.35,100.0,0.1
baseline,rk4,54,5.4,42.37923305,0.35,100.0,0.1
baseline,rk4,55,5.5,43.2361044536,0.35,100.0,0.1
baseline,rk4,56,5.6,44.0970421206,0.35,100.0,0.1
baseline,rk4,57,5.7,44.9615442431,0.35,100.0,0.1
baseline,rk4,58,5.8,45.8291004687,0.35,100.0,0.1
baseline,rk4,59,5.9,46.6991930809,0.35,100.0,0.1
baseline,rk4,60,6.0,47.5712982182,0.35,100.0,0.1
baseline,rk4,61,6.1,48.4448871235,0.35,100.0,0.1
baseline,rk4,62,6.2,49.3194274202,0.35,100.0,0.1
baseline,rk4,63,6.3,50.1943844052,0.35,100.0,0.1
baseline,rk4,64,6.4,51.0692223559,0.35,100.0,0.1
baseline,rk4,65,6.5,51.943405841,0.35,100.0,0.1
baseline,rk4,66,6.6,52.8164010303,0.35,100.0,0.1
baseline,rk4,67,6.7,53.6876769966,0.35,100.0,0.1
baseline,rk4,68,6.8,54.5567070019,0.35,100.0,0.1
baseline,rk4,69,6.9,55.4229697625,0.35,100.0,0.1
baseline,rk4,70,7.0,56.2859506854,0.35,100.0,0.1
baseline,rk4,71,7.1,57.1451430712,0.35,100.0,0.1
baseline,rk4,72,7.2,58.0000492767,0.35,100.0,0.1
baseline,rk4,73,7.3,58.8501818315,0.35,100.0,0.1
baseline,rk4,74,7.4,59.6950645046,0.35,100.0,0.1
baseline,rk4,75,7.5,60.5342333152,0.35,100.0,0.1
baseline,rk4,76,7.6,61.367237484,0.35,100.0,0.1
baseline,rk4,77,7.7,62.1936403209,0.35,100.0,0.1
baseline,rk4,78,7.8,63.0130200465,0.35,100.0,0.1
baseline,rk4,79,7.9,63.8249705439,0.35,100.0,0.1
baseline,rk4,80,8.0,64.6291020393,0.35,100.0,0.1
baseline,rk4,81,8.1,65.4250417094,0.35,100.0,0.1
baseline,rk4,82,8.2,66.2124342142,0.35,100.0,0.1
baseline,rk4,83,8.3,66.9909421557,0.35,100.0,0.1
baseline,rk4,84,8.4,67.7602464606,0.35,100.0,0.1
baseline,rk4,85,8.5,68.5200466901,0.35,100.0,0.1
baseline,rk4,86,8.6,69.2700612741,0.35,100.0,0.1
baseline,rk4,87,8.7,70.010027675,0.35,100.0,0.1
baseline,rk4,88,8.8,70.7397024801,0.35,100.0,0.1
baseline,rk4,89,8.9,71.4588614253,0.35,100.0,0.1
baseline,rk4,90,9.0,72.1672993536,0.35,100.0,0.1
baseline,rk4,91,9.1,72.8648301102,0.35,100.0,0.1
baseline,rk4,92,9.2,73.5512863774,0.35,100.0,0.1
baseline,rk4,93,9.3,74.2265194527,0.35,100.0,0.1
baseline,rk4,94,9.4,74.8903989739,0.35,100.0,0.1
baseline,rk4,95,9.5,75.542812594,0.35,100.0,0.1
baseline,rk4,96,9.6,76.1836656106,0.35,100.0,0.1
low_growth,euler,0,0.0,10.0,0.22749999999999998,100.0,0.1
low_growth,euler,1,0.1,10.20475,0.22749999999999998,100.0,0.1
low_growth,euler,2,0.2,10.4132169126,0.22749999999999998,100.0,0.1
low_growth,euler,3,0.3,10.6254486152,0.22749999999999998,100.0,0.1
low_growth,euler,4,0.4,10.8414927852,0.22749999999999998,100.0,0.1
low_growth,euler,5,0.5,11.0613968588,0.22749999999999998,100.0,0.1
low_growth,euler,6,0.6,11.2852079885,0.22749999999999998,100.0,0.1
low_growth,euler,7,0.7,11.5129729986,0.22749999999999998,100.0,0.1
low_growth,euler,8,0.8,11.7447383398,0.22749999999999998,100.0,0.1
low_growth,euler,9,0.9,11.9805500422,0.22749999999999998,100.0,0.1
low_growth,euler,10,1.0,12.2204536663,0.22749999999999998,100.0,0.1
low_growth,euler,11,1.1,12.4644942538,0.22749999999999998,100.0,0.1
low_growth,euler,12,1.2,12.7127162752,0.22749999999999998,100.0,0.1
low_growth,euler,13,1.3,12.9651635776,0.22749999999999998,100.0,0.1
low_growth,euler,14,1.4,13.2218793304,0.22749999999999998,100.0,0.1
low_growth,euler,15,1.5,13.482905969,0.22749999999999998,100.0,0.1
low_growth,euler,16,1.6,13.7482851384,0.22749999999999998,100.0,0.1
low_growth,euler,17,1.7,14.0180576345,0.22749999999999998,100.0,0.1
low_growth,euler,18,1.8,14.2922633443,0.22749999999999998,100.0,0.1
low_growth,euler,19,1.9,14.5709411853,0.22749999999999998,100.0,0.1
low_growth,euler,20,2.0,14.8541290429,0.22749999999999998,100.0,0.1
low_growth,euler,21,2.1,15.1418637071,0.22749999999999998,100.0,0.1
low_growth,euler,22,2.2,15.4341808081,0.22749999999999998,100.0,0.1
low_growth,euler,23,2.3,15.7311147508,0.22749999999999998,100.0,0.1
low_growth,euler,24,2.4,16.0326986479,0.22749999999999998,100.0,0.1
low_growth,euler,25,2.5,16.3389642527,0.22749999999999998,100.0,0.1
low_growth,euler,26,2.6,16.6499418907,0.22749999999999998,100.0,0.1
low_growth,euler,27,2.7,16.9656603902,0.22749999999999998,100.0,0.1
low_growth,euler,28,2.8,17.2861470127,0.22749999999999998,100.0,0.1
low_growth,euler,29,2.9,17.6114273824,0.22749999999999998,100.0,0.1
low_growth,euler,30,3.0,17.9415254151,0.22749999999999998,100.0,0.1
low_growth,euler,31,3.1,18.2764632473,0.22749999999999998,100.0,0.1
low_growth,euler,32,3.2,18.6162611639,0.22749999999999998,100.0,0.1
low_growth,euler,33,3.3,18.960937527,0.22749999999999998,100.0,0.1
low_growth,euler,34,3.4,19.3105087037,0.22749999999999998,100.0,0.1
low_growth,euler,35,3.5,19.6649889944,0.22749999999999998,100.0,0.1
low_growth,euler,36,3.6,20.0243905613,0.22749999999999998,100.0,0.1
low_growth,euler,37,3.7,20.3887233571,0.22749999999999998,100.0,0.1
low_growth,euler,38,3.8,20.7579950544,0.22749999999999998,100.0,0.1
low_growth,euler,39,3.9,21.1322109752,0.22749999999999998,100.0,0.1
low_growth,euler,40,4.0,21.5113740224,0.22749999999999998,100.0,0.1
low_growth,euler,41,4.1,21.8954846106,0.22749999999999998,100.0,0.1
low_growth,euler,42,4.2,22.2845405995,0.22749999999999998,100.0,0.1
low_growth,euler,43,4.3,22.6785372276,0.22749999999999998,100.0,0.1
low_growth,euler,44,4.4,23.0774670479,0.22749999999999998,100.0,0.1
low_growth,euler,45,4.5,23.4813198653,0.22749999999999998,100.0,0.1
low_growth,euler,46,4.6,23.8900826752,0.22749999999999998,100.0,0.1
low_growth,euler,47,4.7,24.3037396047,0.22749999999999998,100.0,0.1
low_growth,euler,48,4.8,24.7222718556,0.22749999999999998,100.0,0.1
low_growth,euler,49,4.9,25.1456576502,0.22749999999999998,100.0,0.1
low_growth,euler,50,5.0,25.5738721793,0.22749999999999998,100.0,0.1
low_growth,euler,51,5.1,26.0068875529,0.22749999999999998,100.0,0.1
low_growth,euler,52,5.2,26.4446727542,0.22749999999999998,100.0,0.1
low_growth,euler,53,5.3,26.8871935962,0.22749999999999998,100.0,0.1
low_growth,euler,54,5.4,27.3344126822,0.22749999999999998,100.0,0.1
low_growth,euler,55,5.5,27.7862893692,0.22749999999999998,100.0,0.1
low_growth,euler,56,5.6,28.2427797353,0.22749999999999998,100.0,0.1
low_growth,euler,57,5.7,28.7038365512,0.22749999999999998,100.0,0.1
low_growth,euler,58,5.8,29.1694092548,0.22749999999999998,100.0,0.1
low_growth,euler,59,5.9,29.639443931,0.22749999999999998,100.0,0.1
low_growth,euler,60,6.0,30.1138832957,0.22749999999999998,100.0,0.1
low_growth,euler,61,6.1,30.5926666831,0.22749999999999998,100.0,0.1
low_growth,euler,62,6.2,31.0757300397,0.22749999999999998,100.0,0.1
low_growth,euler,63,6.3,31.5630059212,0.22749999999999998,100.0,0.1
low_growth,euler,64,6.4,32.0544234954,0.22749999999999998,100.0,0.1
low_growth,euler,65,6.5,32.54990855,0.22749999999999998,100.0,0.1
low_growth,euler,66,6.6,33.0493835051,0.22749999999999998,100.0,0.1
low_growth,euler,67,6.7,33.5527674317,0.22749999999999998,100.0,0.1
low_growth,euler,68,6.8,34.0599760748,0.22749999999999998,100.0,0.1
low_growth,euler,69,6.9,34.5709218823,0.22749999999999998,100.0,0.1
low_growth,euler,70,7.0,35.0855140395,0.22749999999999998,100.0,0.1
low_growth,euler,71,7.1,35.6036585092,0.22749999999999998,100.0,0.1
low_growth,euler,72,7.2,36.1252580767,0.22749999999999998,100.0,0.1
low_growth,euler,73,7.3,36.6502124013,0.22749999999999998,100.0,0.1
low_growth,euler,74,7.4,37.1784180727,0.22749999999999998,100.0,0.1
low_growth,euler,75,7.5,37.7097686736,0.22749999999999998,100.0,0.1
low_growth,euler,76,7.6,38.2441548473,0.22749999999999998,100.0,0.1
low_growth,euler,77,7.7,38.7814643711,0.22749999999999998,100.0,0.1
low_growth,euler,78,7.8,39.3215822354,0.22749999999999998,100.0,0.1
low_growth,euler,79,7.9,39.8643907275,0.22749999999999998,100.0,0.1
low_growth,euler,80,8.0,40.4097695216,0.22749999999999998,100.0,0.1
low_growth,euler,81,8.1,40.9575957732,0.22749999999999998,100.0,0.1
low_growth,euler,82,8.2,41.5077442188,0.22749999999999998,100.0,0.1
low_growth,euler,83,8.3,42.0600872809,0.22749999999999998,100.0,0.1
low_growth,euler,84,8.4,42.6144951773,0.22749999999999998,100.0,0.1
low_growth,euler,85,8.5,43.1708360347,0.22749999999999998,100.0,0.1
low_growth,euler,86,8.6,43.7289760079,0.22749999999999998,100.0,0.1
low_growth,euler,87,8.7,44.2887794016,0.22749999999999998,100.0,0.1
low_growth,euler,88,8.8,44.8501087974,0.22749999999999998,100.0,0.1
low_growth,euler,89,8.9,45.4128251835,0.22749999999999998,100.0,0.1
low_growth,euler,90,9.0,45.9767880892,0.22749999999999998,100.0,0.1
low_growth,euler,91,9.1,46.541855721,0.22749999999999998,100.0,0.1
low_growth,euler,92,9.2,47.1078851027,0.22749999999999998,100.0,0.1
low_growth,euler,93,9.3,47.6747322179,0.22749999999999998,100.0,0.1
low_growth,euler,94,9.4,48.2422521549,0.22749999999999998,100.0,0.1
low_growth,euler,95,9.5,48.8102992533,0.22749999999999998,100.0,0.1
low_growth,euler,96,9.6,49.3787272526,0.22749999999999998,100.0,0.1
low_growth,rk4,0,0.0,10.0,0.22749999999999998,100.0,0.1
low_growth,rk4,1,0.1,10.2066213424,0.22749999999999998,100.0,0.1
low_growth,rk4,2,0.2,10.4170177813,0.22749999999999998,100.0,0.1
low_growth,rk4,3,0.3,10.6312377809,0.22749999999999998,100.0,0.1
low_growth,rk4,4,0.4,10.8493295679,0.22749999999999998,100.0,0.1
low_growth,rk4,5,0.5,11.0713410881,0.22749999999999998,100.0,0.1
low_growth,rk4,6,0.6,11.297319961,0.22749999999999998,100.0,0.1
low_growth,rk4,7,0.7,11.5273134333,0.22749999999999998,100.0,0.1
low_growth,rk4,8,0.8,11.7613683306,0.22749999999999998,100.0,0.1
low_growth,rk4,9,0.9,11.9995310077,0.22749999999999998,100.0,0.1
low_growth,rk4,10,1.0,12.2418472976,0.22749999999999998,100.0,0.1
low_growth,rk4,11,1.1,12.4883624587,0.22749999999999998,100.0,0.1
low_growth,rk4,12,1.2,12.7391211206,0.22749999999999998,100.0,0.1
low_growth,rk4,13,1.3,12.9941672287,0.22749999999999998,100.0,0.1
low_growth,rk4,14,1.4,13.2535439872,0.22749999999999998,100.0,0.1
low_growth,rk4,15,1.5,13.5172938003,0.22749999999999998,100.0,0.1
low_growth,rk4,16,1.6,13.7854582131,0.22749999999999998,100.0,0.1
low_growth,rk4,17,1.7,14.0580778498,0.22749999999999998,100.0,0.1
low_growth,rk4,18,1.8,14.3351923518,0.22749999999999998,100.0,0.1
low_growth,rk4,19,1.9,14.6168403137,0.22749999999999998,100.0,0.1
low_growth,rk4,20,2.0,14.9030592186,0.22749999999999998,100.0,0.1
low_growth,rk4,21,2.1,15.1938853723,0.22749999999999998,100.0,0.1
low_growth,rk4,22,2.2,15.4893538358,0.22749999999999998,100.0,0.1
low_growth,rk4,23,2.3,15.7894983577,0.22749999999999998,100.0,0.1
low_growth,rk4,24,2.4,16.0943513047,0.22749999999999998,100.0,0.1
low_growth,rk4,25,2.5,16.4039435921,0.22749999999999998,100.0,0.1
low_growth,rk4,26,2.6,16.7183046132,0.22749999999999998,100.0,0.1
low_growth,rk4,27,2.7,17.0374621676,0.22749999999999998,100.0,0.1
low_growth,rk4,28,2.8,17.3614423897,0.22749999999999998,100.0,0.1
low_growth,rk4,29,2.9,17.6902696759,0.22749999999999998,100.0,0.1
low_growth,rk4,30,3.0,18.0239666122,0.22749999999999998,100.0,0.1
low_growth,rk4,31,3.1,18.3625539013,0.22749999999999998,100.0,0.1
low_growth,rk4,32,3.2,18.7060502888,0.22749999999999998,100.0,0.1
low_growth,rk4,33,3.3,19.0544724909,0.22749999999999998,100.0,0.1
low_growth,rk4,34,3.4,19.4078351205,0.22749999999999998,100.0,0.1
low_growth,rk4,35,3.5,19.7661506151,0.22749999999999998,100.0,0.1
low_growth,rk4,36,3.6,20.1294291644,0.22749999999999998,100.0,0.1
low_growth,rk4,37,3.7,20.4976786382,0.22749999999999998,100.0,0.1
low_growth,rk4,38,3.8,20.8709045153,0.22749999999999998,100.0,0.1
low_growth,rk4,39,3.9,21.2491098138,0.22749999999999998,100.0,0.1
low_growth,rk4,40,4.0,21.6322950215,0.22749999999999998,100.0,0.1
low_growth,rk4,41,4.1,22.0204580282,0.22749999999999998,100.0,0.1
low_growth,rk4,42,4.2,22.4135940589,0.22749999999999998,100.0,0.1
low_growth,rk4,43,4.3,22.8116956092,0.22749999999999998,100.0,0.1
low_growth,rk4,44,4.4,23.2147523818,0.22749999999999998,100.0,0.1
low_growth,rk4,45,4.5,23.6227512253,0.22749999999999998,100.0,0.1
low_growth,rk4,46,4.6,24.035676075,0.22749999999999998,100.0,0.1
low_growth,rk4,47,4.7,24.4535078961,0.22749999999999998,100.0,0.1
low_growth,rk4,48,4.8,24.8762246293,0.22749999999999998,100.0,0.1
low_growth,rk4,49,4.9,25.3038011391,0.22749999999999998,100.0,0.1
low_growth,rk4,50,5.0,25.7362091648,0.22749999999999998,100.0,0.1
low_growth,rk4,51,5.1,26.1734172755,0.22749999999999998,100.0,0.1
low_growth,rk4,52,5.2,26.6153908266,0.22749999999999998,100.0,0.1
low_growth,rk4,53,5.3,27.0620919217,0.22749999999999998,100.0,0.1
low_growth,rk4,54,5.4,27.5134793766,0.22749999999999998,100.0,0.1
low_growth,rk4,55,5.5,27.9695086884,0.22749999999999998,100.0,0.1
low_growth,rk4,56,5.6,28.430132007,0.22749999999999998,100.0,0.1
low_growth,rk4,57,5.7,28.8952981126,0.22749999999999998,100.0,0.1
low_growth,rk4,58,5.8,29.3649523961,0.22749999999999998,100.0,0.1
low_growth,rk4,59,5.9,29.8390368449,0.22749999999999998,100.0,0.1
low_growth,rk4,60,6.0,30.3174900326,0.22749999999999998,100.0,0.1
low_growth,rk4,61,6.1,30.8002471142,0.22749999999999998,100.0,0.1
low_growth,rk4,62,6.2,31.2872398257,0.22749999999999998,100.0,0.1
low_growth,rk4,63,6.3,31.778396489,0.22749999999999998,100.0,0.1
low_growth,rk4,64,6.4,32.2736420223,0.22749999999999998,100.0,0.1
low_growth,rk4,65,6.5,32.7728979549,0.22749999999999998,100.0,0.1
low_growth,rk4,66,6.6,33.2760824482,0.22749999999999998,100.0,0.1
low_growth,rk4,67,6.7,33.7831103218,0.22749999999999998,100.0,0.1
low_growth,rk4,68,6.8,34.2938930855,0.22749999999999998,100.0,0.1
low_growth,rk4,69,6.9,34.808338976,0.22749999999999998,100.0,0.1
low_growth,rk4,70,7.0,35.3263530003,0.22749999999999998,100.0,0.1
low_growth,rk4,71,7.1,35.8478369841,0.22749999999999998,100.0,0.1
low_growth,rk4,72,7.2,36.3726896258,0.22749999999999998,100.0,0.1
low_growth,rk4,73,7.3,36.9008065568,0.22749999999999998,100.0,0.1
low_growth,rk4,74,7.4,37.4320804067,0.22749999999999998,100.0,0.1
low_growth,rk4,75,7.5,37.9664008743,0.22749999999999998,100.0,0.1
low_growth,rk4,76,7.6,38.5036548043,0.22749999999999998,100.0,0.1
low_growth,rk4,77,7.7,39.0437262696,0.22749999999999998,100.0,0.1
low_growth,rk4,78,7.8,39.5864966585,0.22749999999999998,100.0,0.1
low_growth,rk4,79,7.9,40.1318447673,0.22749999999999998,100.0,0.1
low_growth,rk4,80,8.0,40.6796468983,0.22749999999999998,100.0,0.1
low_growth,rk4,81,8.1,41.2297769627,0.22749999999999998,100.0,0.1
low_growth,rk4,82,8.2,41.7821065883,0.22749999999999998,100.0,0.1
low_growth,rk4,83,8.3,42.3365052314,0.22749999999999998,100.0,0.1
low_growth,rk4,84,8.4,42.8928402942,0.22749999999999998,100.0,0.1
low_growth,rk4,85,8.5,43.4509772455,0.22749999999999998,100.0,0.1
low_growth,rk4,86,8.6,44.0107797459,0.22749999999999998,100.0,0.1
low_growth,rk4,87,8.7,44.5721097769,0.22749999999999998,100.0,0.1
low_growth,rk4,88,8.8,45.1348277731,0.22749999999999998,100.0,0.1
low_growth,rk4,89,8.9,45.6987927584,0.22749999999999998,100.0,0.1
low_growth,rk4,90,9.0,46.2638624843,0.22749999999999998,100.0,0.1
low_growth,rk4,91,9.1,46.829893572,0.22749999999999998,100.0,0.1
low_growth,rk4,92,9.2,47.3967416559,0.22749999999999998,100.0,0.1
low_growth,rk4,93,9.3,47.9642615305,0.22749999999999998,100.0,0.1
low_growth,rk4,94,9.4,48.5323072974,0.22749999999999998,100.0,0.1
low_growth,rk4,95,9.5,49.1007325158,0.22749999999999998,100.0,0.1
low_growth,rk4,96,9.6,49.6693903523,0.22749999999999998,100.0,0.1
high_growth,euler,0,0.0,10.0,0.4725,100.0,0.1
high_growth,euler,1,0.1,10.42525,0.4725,100.0,0.1
high_growth,euler,2,0.2,10.8664890043,0.4725,100.0,0.1
high_growth,euler,3,0.3,11.3241375341,0.4725,100.0,0.1
high_growth,euler,4,0.4,11.7986114796,0.4725,100.0,0.1
high_growth,euler,5,0.5,12.2903204545,0.4725,100.0,0.1
