step,time,center_value,total_mass,max_value,min_value,stability_ratio,warning
63,15.750000,0.234550,1.000000,0.234550,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
64,16.000000,0.232509,1.000000,0.232509,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
65,16.250000,0.230521,1.000000,0.230521,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
66,16.500000,0.228585,1.000000,0.228585,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
67,16.750000,0.226698,1.000000,0.226698,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
68,17.000000,0.224857,1.000000,0.224857,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
69,17.250000,0.223062,1.000000,0.223062,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
70,17.500000,0.221310,1.000000,0.221310,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
71,17.750000,0.219600,1.000000,0.219600,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
72,18.000000,0.217930,1.000000,0.217930,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
73,18.250000,0.216297,1.000000,0.216297,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
74,18.500000,0.214702,1.000000,0.214702,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
75,18.750000,0.213143,1.000000,0.213143,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
76,19.000000,0.211617,1.000000,0.211617,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
77,19.250000,0.210125,1.000000,0.210125,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
78,19.500000,0.208664,1.000000,0.208664,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
79,19.750000,0.207234,1.000000,0.207234,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
80,20.000000,0.205834,1.000000,0.205834,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
81,20.250000,0.204462,1.000000,0.204462,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
82,20.500000,0.203117,1.000000,0.203117,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
83,20.750000,0.201800,1.000000,0.201800,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
84,21.000000,0.200508,1.000000,0.200508,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
85,21.250000,0.199241,1.000000,0.199241,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
86,21.500000,0.197998,1.000000,0.197998,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
87,21.750000,0.196778,1.000000,0.196778,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
88,22.000000,0.195581,1.000000,0.195581,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
89,22.250000,0.194406,1.000000,0.194406,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
90,22.500000,0.193253,1.000000,0.193253,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
91,22.750000,0.192119,1.000000,0.192119,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
92,23.000000,0.191006,1.000000,0.191006,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
93,23.250000,0.189913,1.000000,0.189913,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
94,23.500000,0.188838,1.000000,0.188838,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
95,23.750000,0.187781,1.000000,0.187781,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
96,24.000000,0.186742,1.000000,0.186742,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
97,24.250000,0.185720,1.000000,0.185720,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
98,24.500000,0.184716,1.000000,0.184716,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
99,24.750000,0.183727,1.000000,0.183727,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
100,25.000000,0.182755,1.000000,0.182755,0.000000,0.025000,Explicit diffusion schemes require stability checks boundary and grid assumptions shape results.
