scenario,seed,step,adoption_share,adopted_count
baseline,3,11,0.19,19
baseline,3,12,0.19,19
baseline,3,13,0.19,19
baseline,3,14,0.19,19
baseline,3,15,0.19,19
baseline,3,16,0.19,19
baseline,3,17,0.19,19
baseline,3,18,0.19,19
baseline,3,19,0.19,19
baseline,3,20,0.19,19
baseline,3,21,0.19,19
baseline,3,22,0.19,19
baseline,3,23,0.19,19
baseline,3,24,0.19,19
baseline,3,25,0.19,19
baseline,3,26,0.19,19
baseline,3,27,0.19,19
baseline,3,28,0.19,19
baseline,3,29,0.19,19
baseline,3,30,0.19,19
baseline,4,0,0.08,8
baseline,4,1,0.1,10
baseline,4,2,0.13,13
baseline,4,3,0.17,17
baseline,4,4,0.2,20
baseline,4,5,0.22,22
baseline,4,6,0.24,24
baseline,4,7,0.26,26
baseline,4,8,0.28,28
baseline,4,9,0.29,29
baseline,4,10,0.3,30
baseline,4,11,0.31,31
baseline,4,12,0.32,32
baseline,4,13,0.33,33
baseline,4,14,0.34,34
baseline,4,15,0.35,35
baseline,4,16,0.36,36
baseline,4,17,0.37,37
baseline,4,18,0.37,37
baseline,4,19,0.37,37
baseline,4,20,0.37,37
baseline,4,21,0.37,37
baseline,4,22,0.37,37
baseline,4,23,0.37,37
baseline,4,24,0.37,37
baseline,4,25,0.37,37
baseline,4,26,0.37,37
baseline,4,27,0.37,37
baseline,4,28,0.37,37
baseline,4,29,0.37,37
baseline,4,30,0.37,37
baseline,5,0,0.08,8
baseline,5,1,0.08,8
baseline,5,2,0.08,8
baseline,5,3,0.08,8
baseline,5,4,0.08,8
baseline,5,5,0.08,8
baseline,5,6,0.08,8
baseline,5,7,0.08,8
baseline,5,8,0.08,8
baseline,5,9,0.08,8
baseline,5,10,0.08,8
baseline,5,11,0.08,8
baseline,5,12,0.08,8
baseline,5,13,0.08,8
baseline,5,14,0.08,8
baseline,5,15,0.08,8
baseline,5,16,0.08,8
baseline,5,17,0.08,8
baseline,5,18,0.08,8
baseline,5,19,0.08,8
baseline,5,20,0.08,8
baseline,5,21,0.08,8
baseline,5,22,0.08,8
baseline,5,23,0.08,8
baseline,5,24,0.08,8
baseline,5,25,0.08,8
baseline,5,26,0.08,8
baseline,5,27,0.08,8
baseline,5,28,0.08,8
baseline,5,29,0.08,8
baseline,5,30,0.08,8
baseline,6,0,0.08,8
baseline,6,1,0.12,12
baseline,6,2,0.14,14
baseline,6,3,0.17,17
baseline,6,4,0.2,20
baseline,6,5,0.21,21
baseline,6,6,0.22,22
baseline,6,7,0.23,23
baseline,6,8,0.23,23
baseline,6,9,0.23,23
baseline,6,10,0.23,23
baseline,6,11,0.23,23
baseline,6,12,0.23,23
baseline,6,13,0.23,23
baseline,6,14,0.23,23
baseline,6,15,0.23,23
baseline,6,16,0.23,23
baseline,6,17,0.23,23
baseline,6,18,0.23,23
baseline,6,19,0.23,23
baseline,6,20,0.23,23
baseline,6,21,0.23,23
baseline,6,22,0.23,23
baseline,6,23,0.23,23
baseline,6,24,0.23,23
baseline,6,25,0.23,23
baseline,6,26,0.23,23
baseline,6,27,0.23,23
baseline,6,28,0.23,23
baseline,6,29,0.23,23
baseline,6,30,0.23,23
baseline,7,0,0.08,8
baseline,7,1,0.1,10
baseline,7,2,0.12,12
baseline,7,3,0.15,15
baseline,7,4,0.16,16
baseline,7,5,0.17,17
baseline,7,6,0.18,18
baseline,7,7,0.19,19
baseline,7,8,0.2,20
baseline,7,9,0.21,21
baseline,7,10,0.22,22
baseline,7,11,0.23,23
baseline,7,12,0.24,24
baseline,7,13,0.25,25
baseline,7,14,0.26,26
baseline,7,15,0.27,27
baseline,7,16,0.28,28
baseline,7,17,0.29,29
baseline,7,18,0.3,30
baseline,7,19,0.31,31
baseline,7,20,0.32,32
baseline,7,21,0.33,33
baseline,7,22,0.33,33
baseline,7,23,0.33,33
baseline,7,24,0.33,33
baseline,7,25,0.33,33
baseline,7,26,0.33,33
baseline,7,27,0.33,33
baseline,7,28,0.33,33
baseline,7,29,0.33,33
baseline,7,30,0.33,33
baseline,8,0,0.08,8
baseline,8,1,0.09,9
baseline,8,2,0.11,11
baseline,8,3,0.12,12
baseline,8,4,0.13,13
baseline,8,5,0.14,14
baseline,8,6,0.15,15
baseline,8,7,0.16,16
baseline,8,8,0.17,17
baseline,8,9,0.18,18
baseline,8,10,0.18,18
baseline,8,11,0.18,18
baseline,8,12,0.18,18
baseline,8,13,0.18,18
baseline,8,14,0.18,18
baseline,8,15,0.18,18
baseline,8,16,0.18,18
baseline,8,17,0.18,18
baseline,8,18,0.18,18
baseline,8,19,0.18,18
baseline,8,20,0.18,18
baseline,8,21,0.18,18
baseline,8,22,0.18,18
baseline,8,23,0.18,18
baseline,8,24,0.18,18
baseline,8,25,0.18,18
baseline,8,26,0.18,18
baseline,8,27,0.18,18
baseline,8,28,0.18,18
baseline,8,29,0.18,18
baseline,8,30,0.18,18
baseline,9,0,0.08,8
baseline,9,1,0.1,10
baseline,9,2,0.13,13
baseline,9,3,0.17,17
baseline,9,4,0.2,20
baseline,9,5,0.22,22
baseline,9,6,0.25,25
baseline,9,7,0.27,27
baseline,9,8,0.29,29
baseline,9,9,0.3,30
baseline,9,10,0.31,31
baseline,9,11,0.32,32
baseline,9,12,0.32,32
baseline,9,13,0.32,32
baseline,9,14,0.32,32
baseline,9,15,0.32,32
baseline,9,16,0.32,32
baseline,9,17,0.32,32
baseline,9,18,0.32,32
baseline,9,19,0.32,32
baseline,9,20,0.32,32
baseline,9,21,0.32,32
baseline,9,22,0.32,32
baseline,9,23,0.32,32
baseline,9,24,0.32,32
baseline,9,25,0.32,32
baseline,9,26,0.32,32
baseline,9,27,0.32,32
baseline,9,28,0.32,32
baseline,9,29,0.32,32
baseline,9,30,0.32,32
baseline,10,0,0.08,8
baseline,10,1,0.13,13
baseline,10,2,0.18,18
baseline,10,3,0.2,20
baseline,10,4,0.21,21
baseline,10,5,0.22,22
baseline,10,6,0.22,22
baseline,10,7,0.22,22
baseline,10,8,0.22,22
baseline,10,9,0.22,22
baseline,10,10,0.22,22
baseline,10,11,0.22,22
baseline,10,12,0.22,22
baseline,10,13,0.22,22
baseline,10,14,0.22,22
baseline,10,15,0.22,22
baseline,10,16,0.22,22
baseline,10,17,0.22,22
baseline,10,18,0.22,22
baseline,10,19,0.22,22
baseline,10,20,0.22,22
baseline,10,21,0.22,22
baseline,10,22,0.22,22
baseline,10,23,0.22,22
baseline,10,24,0.22,22
baseline,10,25,0.22,22
baseline,10,26,0.22,22
baseline,10,27,0.22,22
baseline,10,28,0.22,22
baseline,10,29,0.22,22
baseline,10,30,0.22,22
baseline,11,0,0.08,8
baseline,11,1,0.14,14
baseline,11,2,0.2,20
baseline,11,3,0.24,24
baseline,11,4,0.28,28
baseline,11,5,0.31,31
baseline,11,6,0.34,34
baseline,11,7,0.37,37
baseline,11,8,0.4,40
baseline,11,9,0.43,43
baseline,11,10,0.47,47
baseline,11,11,0.5,50
baseline,11,12,0.51,51
baseline,11,13,0.52,52
baseline,11,14,0.52,52
baseline,11,15,0.52,52
baseline,11,16,0.52,52
baseline,11,17,0.52,52
baseline,11,18,0.52,52
baseline,11,19,0.52,52
baseline,11,20,0.52,52
baseline,11,21,0.52,52
baseline,11,22,0.52,52
baseline,11,23,0.52,52
baseline,11,24,0.52,52
baseline,11,25,0.52,52
baseline,11,26,0.52,52
baseline,11,27,0.52,52
baseline,11,28,0.52,52
baseline,11,29,0.52,52
baseline,11,30,0.52,52
baseline,12,0,0.08,8
baseline,12,1,0.09,9
baseline,12,2,0.11,11
baseline,12,3,0.13,13
baseline,12,4,0.15,15
baseline,12,5,0.16,16
baseline,12,6,0.17,17
baseline,12,7,0.18,18
baseline,12,8,0.19,19
baseline,12,9,0.2,20
baseline,12,10,0.21,21
baseline,12,11,0.23,23
baseline,12,12,0.24,24
baseline,12,13,0.25,25
baseline,12,14,0.26,26
baseline,12,15,0.27,27
baseline,12,16,0.27,27
baseline,12,17,0.27,27
baseline,12,18,0.27,27
baseline,12,19,0.27,27
baseline,12,20,0.27,27
baseline,12,21,0.27,27
baseline,12,22,0.27,27
baseline,12,23,0.27,27
baseline,12,24,0.27,27
baseline,12,25,0.27,27
baseline,12,26,0.27,27
baseline,12,27,0.27,27
baseline,12,28,0.27,27
baseline,12,29,0.27,27
baseline,12,30,0.27,27
baseline,13,0,0.08,8
baseline,13,1,0.11,11
baseline,13,2,0.16,16
baseline,13,3,0.18,18
baseline,13,4,0.2,20
baseline,13,5,0.22,22
baseline,13,6,0.24,24
baseline,13,7,0.26,26
baseline,13,8,0.28,28
baseline,13,9,0.3,30
baseline,13,10,0.32,32
baseline,13,11,0.35,35
baseline,13,12,0.37,37
baseline,13,13,0.39,39
baseline,13,14,0.41,41
baseline,13,15,0.43,43
baseline,13,16,0.45,45
baseline,13,17,0.47,47
baseline,13,18,0.49,49
baseline,13,19,0.5,50
baseline,13,20,0.51,51
baseline,13,21,0.52,52
baseline,13,22,0.53,53
baseline,13,23,0.54,54
baseline,13,24,0.55,55
baseline,13,25,0.56,56
baseline,13,26,0.58,58
baseline,13,27,0.59,59
baseline,13,28,0.6,60
baseline,13,29,0.61,61
baseline,13,30,0.61,61
baseline,14,0,0.08,8
baseline,14,1,0.08,8
baseline,14,2,0.08,8
baseline,14,3,0.08,8
baseline,14,4,0.08,8
baseline,14,5,0.08,8
baseline,14,6,0.08,8
baseline,14,7,0.08,8
baseline,14,8,0.08,8
baseline,14,9,0.08,8
baseline,14,10,0.08,8
baseline,14,11,0.08,8
baseline,14,12,0.08,8
baseline,14,13,0.08,8
baseline,14,14,0.08,8
baseline,14,15,0.08,8
baseline,14,16,0.08,8
baseline,14,17,0.08,8
baseline,14,18,0.08,8
baseline,14,19,0.08,8
baseline,14,20,0.08,8
baseline,14,21,0.08,8
baseline,14,22,0.08,8
baseline,14,23,0.08,8
baseline,14,24,0.08,8
baseline,14,25,0.08,8
baseline,14,26,0.08,8
baseline,14,27,0.08,8
baseline,14,28,0.08,8
baseline,14,29,0.08,8
baseline,14,30,0.08,8
baseline,15,0,0.08,8
baseline,15,1,0.09,9
baseline,15,2,0.09,9
baseline,15,3,0.09,9
baseline,15,4,0.09,9
baseline,15,5,0.09,9
baseline,15,6,0.09,9
baseline,15,7,0.09,9
baseline,15,8,0.09,9
baseline,15,9,0.09,9
baseline,15,10,0.09,9
baseline,15,11,0.09,9
baseline,15,12,0.09,9
baseline,15,13,0.09,9
baseline,15,14,0.09,9
baseline,15,15,0.09,9
baseline,15,16,0.09,9
baseline,15,17,0.09,9
baseline,15,18,0.09,9
baseline,15,19,0.09,9
baseline,15,20,0.09,9
baseline,15,21,0.09,9
baseline,15,22,0.09,9
baseline,15,23,0.09,9
baseline,15,24,0.09,9
baseline,15,25,0.09,9
baseline,15,26,0.09,9
baseline,15,27,0.09,9
baseline,15,28,0.09,9
baseline,15,29,0.09,9
baseline,15,30,0.09,9
baseline,16,0,0.08,8
baseline,16,1,0.12,12
baseline,16,2,0.15,15
baseline,16,3,0.18,18
baseline,16,4,0.21,21
baseline,16,5,0.24,24
baseline,16,6,0.26,26
baseline,16,7,0.27,27
baseline,16,8,0.28,28
baseline,16,9,0.29,29
baseline,16,10,0.3,30
baseline,16,11,0.31,31
baseline,16,12,0.32,32
baseline,16,13,0.33,33
baseline,16,14,0.34,34
baseline,16,15,0.35,35
baseline,16,16,0.35,35
baseline,16,17,0.35,35
baseline,16,18,0.35,35
baseline,16,19,0.35,35
baseline,16,20,0.35,35
baseline,16,21,0.35,35
baseline,16,22,0.35,35
baseline,16,23,0.35,35
baseline,16,24,0.35,35
baseline,16,25,0.35,35
baseline,16,26,0.35,35
baseline,16,27,0.35,35
baseline,16,28,0.35,35
baseline,16,29,0.35,35
baseline,16,30,0.35,35
baseline,17,0,0.08,8
baseline,17,1,0.11,11
baseline,17,2,0.15,15
baseline,17,3,0.19,19
baseline,17,4,0.22,22
baseline,17,5,0.25,25
baseline,17,6,0.28,28
baseline,17,7,0.28,28
baseline,17,8,0.28,28
baseline,17,9,0.28,28
baseline,17,10,0.28,28
baseline,17,11,0.28,28
baseline,17,12,0.28,28
baseline,17,13,0.28,28
baseline,17,14,0.28,28
baseline,17,15,0.28,28
baseline,17,16,0.28,28
baseline,17,17,0.28,28
baseline,17,18,0.28,28
baseline,17,19,0.28,28
baseline,17,20,0.28,28
baseline,17,21,0.28,28
baseline,17,22,0.28,28
baseline,17,23,0.28,28
baseline,17,24,0.28,28
baseline,17,25,0.28,28
baseline,17,26,0.28,28
baseline,17,27,0.28,28
baseline,17,28,0.28,28
baseline,17,29,0.28,28
baseline,17,30,0.28,28
baseline,18,0,0.08,8
baseline,18,1,0.12,12
baseline,18,2,0.16,16
baseline,18,3,0.17,17
baseline,18,4,0.18,18
baseline,18,5,0.19,19
baseline,18,6,0.2,20
baseline,18,7,0.21,21
baseline,18,8,0.22,22
baseline,18,9,0.23,23
baseline,18,10,0.24,24
baseline,18,11,0.25,25
baseline,18,12,0.26,26
baseline,18,13,0.27,27
baseline,18,14,0.27,27
baseline,18,15,0.27,27
baseline,18,16,0.27,27
baseline,18,17,0.27,27
baseline,18,18,0.27,27
baseline,18,19,0.27,27
baseline,18,20,0.27,27
baseline,18,21,0.27,27
baseline,18,22,0.27,27
baseline,18,23,0.27,27
baseline,18,24,0.27,27
baseline,18,25,0.27,27
baseline,18,26,0.27,27
baseline,18,27,0.27,27
baseline,18,28,0.27,27
baseline,18,29,0.27,27
baseline,18,30,0.27,27
baseline,19,0,0.08,8
baseline,19,1,0.1,10
baseline,19,2,0.12,12
baseline,19,3,0.14,14
baseline,19,4,0.15,15
baseline,19,5,0.16,16
baseline,19,6,0.17,17
baseline,19,7,0.18,18
baseline,19,8,0.19,19
baseline,19,9,0.2,20
baseline,19,10,0.21,21
baseline,19,11,0.22,22
baseline,19,12,0.23,23
baseline,19,13,0.24,24
baseline,19,14,0.26,26
baseline,19,15,0.27,27
baseline,19,16,0.28,28
baseline,19,17,0.29,29
baseline,19,18,0.29,29
baseline,19,19,0.29,29
baseline,19,20,0.29,29
baseline,19,21,0.29,29
baseline,19,22,0.29,29
baseline,19,23,0.29,29
baseline,19,24,0.29,29
baseline,19,25,0.29,29
baseline,19,26,0.29,29
baseline,19,27,0.29,29
baseline,19,28,0.29,29
baseline,19,29,0.29,29
baseline,19,30,0.29,29
baseline,20,0,0.08,8
baseline,20,1,0.09,9
baseline,20,2,0.09,9
baseline,20,3,0.09,9
baseline,20,4,0.09,9
baseline,20,5,0.09,9
baseline,20,6,0.09,9
baseline,20,7,0.09,9
baseline,20,8,0.09,9
baseline,20,9,0.09,9
baseline,20,10,0.09,9
baseline,20,11,0.09,9
baseline,20,12,0.09,9
baseline,20,13,0.09,9
baseline,20,14,0.09,9
baseline,20,15,0.09,9
baseline,20,16,0.09,9
baseline,20,17,0.09,9
baseline,20,18,0.09,9
baseline,20,19,0.09,9
baseline,20,20,0.09,9
baseline,20,21,0.09,9
baseline,20,22,0.09,9
baseline,20,23,0.09,9
baseline,20,24,0.09,9
baseline,20,25,0.09,9
baseline,20,26,0.09,9
baseline,20,27,0.09,9
baseline,20,28,0.09,9
baseline,20,29,0.09,9
baseline,20,30,0.09,9
baseline,21,0,0.08,8
baseline,21,1,0.12,12
baseline,21,2,0.16,16
baseline,21,3,0.18,18
baseline,21,4,0.21,21
baseline,21,5,0.23,23
baseline,21,6,0.25,25
baseline,21,7,0.27,27
baseline,21,8,0.3,30
baseline,21,9,0.32,32
baseline,21,10,0.33,33
baseline,21,11,0.33,33
baseline,21,12,0.33,33
baseline,21,13,0.33,33
baseline,21,14,0.33,33
baseline,21,15,0.33,33
baseline,21,16,0.33,33
baseline,21,17,0.33,33
baseline,21,18,0.33,33
baseline,21,19,0.33,33
baseline,21,20,0.33,33
baseline,21,21,0.33,33
baseline,21,22,0.33,33
baseline,21,23,0.33,33
baseline,21,24,0.33,33
baseline,21,25,0.33,33
baseline,21,26,0.33,33
baseline,21,27,0.33,33
baseline,21,28,0.33,33
baseline,21,29,0.33,33
baseline,21,30,0.33,33
baseline,22,0,0.08,8
baseline,22,1,0.1,10
baseline,22,2,0.12,12
baseline,22,3,0.14,14
baseline,22,4,0.15,15
baseline,22,5,0.16,16
baseline,22,6,0.17,17
baseline,22,7,0.18,18
baseline,22,8,0.19,19
baseline,22,9,0.19,19
baseline,22,10,0.19,19
baseline,22,11,0.19,19
baseline,22,12,0.19,19
baseline,22,13,0.19,19
baseline,22,14,0.19,19
baseline,22,15,0.19,19
baseline,22,16,0.19,19
baseline,22,17,0.19,19
baseline,22,18,0.19,19
baseline,22,19,0.19,19
baseline,22,20,0.19,19
baseline,22,21,0.19,19
baseline,22,22,0.19,19
baseline,22,23,0.19,19
baseline,22,24,0.19,19
baseline,22,25,0.19,19
baseline,22,26,0.19,19
baseline,22,27,0.19,19
baseline,22,28,0.19,19
baseline,22,29,0.19,19
baseline,22,30,0.19,19
baseline,23,0,0.08,8
baseline,23,1,0.08,8
baseline,23,2,0.08,8
baseline,23,3,0.08,8
baseline,23,4,0.08,8
baseline,23,5,0.08,8
baseline,23,6,0.08,8
baseline,23,7,0.08,8
baseline,23,8,0.08,8
baseline,23,9,0.08,8
baseline,23,10,0.08,8
baseline,23,11,0.08,8
baseline,23,12,0.08,8
baseline,23,13,0.08,8
baseline,23,14,0.08,8
baseline,23,15,0.08,8
baseline,23,16,0.08,8
baseline,23,17,0.08,8
baseline,23,18,0.08,8
baseline,23,19,0.08,8
baseline,23,20,0.08,8
baseline,23,21,0.08,8
baseline,23,22,0.08,8
baseline,23,23,0.08,8
baseline,23,24,0.08,8
baseline,23,25,0.08,8
baseline,23,26,0.08,8
baseline,23,27,0.08,8
baseline,23,28,0.08,8
baseline,23,29,0.08,8
baseline,23,30,0.08,8
baseline,24,0,0.08,8
baseline,24,1,0.1,10
baseline,24,2,0.11,11
baseline,24,3,0.12,12
baseline,24,4,0.13,13
baseline,24,5,0.15,15
baseline,24,6,0.15,15
baseline,24,7,0.15,15
baseline,24,8,0.15,15
baseline,24,9,0.15,15
baseline,24,10,0.15,15
baseline,24,11,0.15,15
baseline,24,12,0.15,15
baseline,24,13,0.15,15
baseline,24,14,0.15,15
baseline,24,15,0.15,15
baseline,24,16,0.15,15
baseline,24,17,0.15,15
baseline,24,18,0.15,15
baseline,24,19,0.15,15
baseline,24,20,0.15,15
baseline,24,21,0.15,15
baseline,24,22,0.15,15
baseline,24,23,0.15,15
baseline,24,24,0.15,15
baseline,24,25,0.15,15
baseline,24,26,0.15,15
baseline,24,27,0.15,15
baseline,24,28,0.15,15
baseline,24,29,0.15,15
baseline,24,30,0.15,15
baseline,25,0,0.08,8
baseline,25,1,0.11,11
baseline,25,2,0.16,16
baseline,25,3,0.21,21
baseline,25,4,0.25,25
baseline,25,5,0.29,29
baseline,25,6,0.34,34
baseline,25,7,0.38,38
baseline,25,8,0.41,41
baseline,25,9,0.44,44
baseline,25,10,0.46,46
baseline,25,11,0.47,47
baseline,25,12,0.47,47
baseline,25,13,0.47,47
baseline,25,14,0.47,47
baseline,25,15,0.47,47
baseline,25,16,0.47,47
baseline,25,17,0.47,47
baseline,25,18,0.47,47
baseline,25,19,0.47,47
baseline,25,20,0.47,47
baseline,25,21,0.47,47
baseline,25,22,0.47,47
baseline,25,23,0.47,47
baseline,25,24,0.47,47
baseline,25,25,0.47,47
baseline,25,26,0.47,47
baseline,25,27,0.47,47
baseline,25,28,0.47,47
baseline,25,29,0.47,47
baseline,25,30,0.47,47
baseline,26,0,0.08,8
baseline,26,1,0.09,9
baseline,26,2,0.11,11
baseline,26,3,0.13,13
baseline,26,4,0.15,15
baseline,26,5,0.17,17
baseline,26,6,0.19,19
baseline,26,7,0.22,22
baseline,26,8,0.24,24
baseline,26,9,0.26,26
baseline,26,10,0.29,29
baseline,26,11,0.3,30
baseline,26,12,0.31,31
baseline,26,13,0.32,32
baseline,26,14,0.33,33
baseline,26,15,0.35,35
baseline,26,16,0.36,36
baseline,26,17,0.37,37
baseline,26,18,0.38,38
baseline,26,19,0.39,39
baseline,26,20,0.4,40
baseline,26,21,0.41,41
baseline,26,22,0.42,42
baseline,26,23,0.43,43
baseline,26,24,0.44,44
baseline,26,25,0.44,44
baseline,26,26,0.44,44
baseline,26,27,0.44,44
baseline,26,28,0.44,44
baseline,26,29,0.44,44
baseline,26,30,0.44,44
baseline,27,0,0.08,8
baseline,27,1,0.11,11
baseline,27,2,0.13,13
baseline,27,3,0.15,15
baseline,27,4,0.15,15
baseline,27,5,0.15,15
baseline,27,6,0.15,15
baseline,27,7,0.15,15
baseline,27,8,0.15,15
baseline,27,9,0.15,15
baseline,27,10,0.15,15
baseline,27,11,0.15,15
baseline,27,12,0.15,15
baseline,27,13,0.15,15
baseline,27,14,0.15,15
baseline,27,15,0.15,15
baseline,27,16,0.15,15
baseline,27,17,0.15,15
baseline,27,18,0.15,15
baseline,27,19,0.15,15
baseline,27,20,0.15,15
baseline,27,21,0.15,15
baseline,27,22,0.15,15
baseline,27,23,0.15,15
baseline,27,24,0.15,15
baseline,27,25,0.15,15
baseline,27,26,0.15,15
baseline,27,27,0.15,15
baseline,27,28,0.15,15
baseline,27,29,0.15,15
baseline,27,30,0.15,15
baseline,28,0,0.08,8
baseline,28,1,0.14,14
baseline,28,2,0.18,18
baseline,28,3,0.22,22
baseline,28,4,0.25,25
baseline,28,5,0.27,27
baseline,28,6,0.29,29
baseline,28,7,0.31,31
baseline,28,8,0.33,33
baseline,28,9,0.34,34
baseline,28,10,0.36,36
baseline,28,11,0.37,37
baseline,28,12,0.37,37
baseline,28,13,0.37,37
baseline,28,14,0.37,37
baseline,28,15,0.37,37
baseline,28,16,0.37,37
baseline,28,17,0.37,37
baseline,28,18,0.37,37
baseline,28,19,0.37,37
baseline,28,20,0.37,37
baseline,28,21,0.37,37
baseline,28,22,0.37,37
baseline,28,23,0.37,37
baseline,28,24,0.37,37
baseline,28,25,0.37,37
baseline,28,26,0.37,37
baseline,28,27,0.37,37
baseline,28,28,0.37,37
baseline,28,29,0.37,37
baseline,28,30,0.37,37
baseline,29,0,0.08,8
baseline,29,1,0.09,9
baseline,29,2,0.1,10
baseline,29,3,0.1,10
baseline,29,4,0.1,10
baseline,29,5,0.1,10
baseline,29,6,0.1,10
baseline,29,7,0.1,10
baseline,29,8,0.1,10
baseline,29,9,0.1,10
baseline,29,10,0.1,10
baseline,29,11,0.1,10
baseline,29,12,0.1,10
baseline,29,13,0.1,10
baseline,29,14,0.1,10
baseline,29,15,0.1,10
baseline,29,16,0.1,10
baseline,29,17,0.1,10
baseline,29,18,0.1,10
baseline,29,19,0.1,10
baseline,29,20,0.1,10
baseline,29,21,0.1,10
baseline,29,22,0.1,10
baseline,29,23,0.1,10
baseline,29,24,0.1,10
baseline,29,25,0.1,10
baseline,29,26,0.1,10
baseline,29,27,0.1,10
baseline,29,28,0.1,10
baseline,29,29,0.1,10
baseline,29,30,0.1,10
baseline,30,0,0.08,8
baseline,30,1,0.08,8
baseline,30,2,0.08,8
baseline,30,3,0.08,8
baseline,30,4,0.08,8
baseline,30,5,0.08,8
baseline,30,6,0.08,8
baseline,30,7,0.08,8
baseline,30,8,0.08,8
baseline,30,9,0.08,8
baseline,30,10,0.08,8
baseline,30,11,0.08,8
baseline,30,12,0.08,8
baseline,30,13,0.08,8
baseline,30,14,0.08,8
baseline,30,15,0.08,8
baseline,30,16,0.08,8
baseline,30,17,0.08,8
baseline,30,18,0.08,8
baseline,30,19,0.08,8
baseline,30,20,0.08,8
baseline,30,21,0.08,8
baseline,30,22,0.08,8
baseline,30,23,0.08,8
baseline,30,24,0.08,8
baseline,30,25,0.08,8
baseline,30,26,0.08,8
baseline,30,27,0.08,8
baseline,30,28,0.08,8
baseline,30,29,0.08,8
baseline,30,30,0.08,8
baseline,31,0,0.08,8
baseline,31,1,0.09,9
baseline,31,2,0.11,11
baseline,31,3,0.12,12
baseline,31,4,0.13,13
baseline,31,5,0.14,14
baseline,31,6,0.15,15
baseline,31,7,0.17,17
baseline,31,8,0.18,18
baseline,31,9,0.19,19
baseline,31,10,0.2,20
baseline,31,11,0.2,20
baseline,31,12,0.2,20
baseline,31,13,0.2,20
baseline,31,14,0.2,20
baseline,31,15,0.2,20
baseline,31,16,0.2,20
baseline,31,17,0.2,20
baseline,31,18,0.2,20
baseline,31,19,0.2,20
baseline,31,20,0.2,20
baseline,31,21,0.2,20
baseline,31,22,0.2,20
baseline,31,23,0.2,20
baseline,31,24,0.2,20
baseline,31,25,0.2,20
baseline,31,26,0.2,20
baseline,31,27,0.2,20
baseline,31,28,0.2,20
baseline,31,29,0.2,20
baseline,31,30,0.2,20
baseline,32,0,0.08,8
baseline,32,1,0.09,9
baseline,32,2,0.1,10
baseline,32,3,0.11,11
baseline,32,4,0.12,12
baseline,32,5,0.13,13
baseline,32,6,0.14,14
baseline,32,7,0.15,15
baseline,32,8,0.16,16
baseline,32,9,0.17,17
baseline,32,10,0.18,18
baseline,32,11,0.2,20
baseline,32,12,0.21,21
baseline,32,13,0.22,22
baseline,32,14,0.22,22
baseline,32,15,0.22,22
baseline,32,16,0.22,22
baseline,32,17,0.22,22
baseline,32,18,0.22,22
baseline,32,19,0.22,22
baseline,32,20,0.22,22
baseline,32,21,0.22,22
baseline,32,22,0.22,22
baseline,32,23,0.22,22
baseline,32,24,0.22,22
baseline,32,25,0.22,22
baseline,32,26,0.22,22
baseline,32,27,0.22,22
baseline,32,28,0.22,22
baseline,32,29,0.22,22
baseline,32,30,0.22,22
baseline,33,0,0.08,8
baseline,33,1,0.13,13
baseline,33,2,0.17,17
baseline,33,3,0.22,22
baseline,33,4,0.24,24
