scenario,step,time,state,rate,capacity,interpretation
baseline,193,19.3,84.0070048252,0.2,100.0,Basic bounded continuous-change trajectory
baseline,194,19.4,84.2757095498,0.2,100.0,Basic bounded continuous-change trajectory
baseline,195,19.5,84.5407446968,0.2,100.0,Basic bounded continuous-change trajectory
baseline,196,19.6,84.8021320879,0.2,100.0,Basic bounded continuous-change trajectory
baseline,197,19.7,85.0598944084,0.2,100.0,Basic bounded continuous-change trajectory
baseline,198,19.8,85.3140551692,0.2,100.0,Basic bounded continuous-change trajectory
baseline,199,19.9,85.5646386707,0.2,100.0,Basic bounded continuous-change trajectory
baseline,200,20.0,85.8116699659,0.2,100.0,Basic bounded continuous-change trajectory
baseline,201,20.1,86.0551748248,0.2,100.0,Basic bounded continuous-change trajectory
baseline,202,20.2,86.2951796984,0.2,100.0,Basic bounded continuous-change trajectory
baseline,203,20.3,86.5317116846,0.2,100.0,Basic bounded continuous-change trajectory
baseline,204,20.4,86.7647984929,0.2,100.0,Basic bounded continuous-change trajectory
baseline,205,20.5,86.9944684112,0.2,100.0,Basic bounded continuous-change trajectory
baseline,206,20.6,87.2207502726,0.2,100.0,Basic bounded continuous-change trajectory
baseline,207,20.7,87.4436734224,0.2,100.0,Basic bounded continuous-change trajectory
baseline,208,20.8,87.6632676866,0.2,100.0,Basic bounded continuous-change trajectory
baseline,209,20.9,87.87956334,0.2,100.0,Basic bounded continuous-change trajectory
baseline,210,21.0,88.0925910762,0.2,100.0,Basic bounded continuous-change trajectory
baseline,211,21.1,88.3023819773,0.2,100.0,Basic bounded continuous-change trajectory
baseline,212,21.2,88.5089674842,0.2,100.0,Basic bounded continuous-change trajectory
baseline,213,21.3,88.7123793689,0.2,100.0,Basic bounded continuous-change trajectory
baseline,214,21.4,88.9126497056,0.2,100.0,Basic bounded continuous-change trajectory
baseline,215,21.5,89.1098108442,0.2,100.0,Basic bounded continuous-change trajectory
baseline,216,21.6,89.3038953833,0.2,100.0,Basic bounded continuous-change trajectory
baseline,217,21.7,89.4949361449,0.2,100.0,Basic bounded continuous-change trajectory
baseline,218,21.8,89.6829661487,0.2,100.0,Basic bounded continuous-change trajectory
baseline,219,21.9,89.8680185882,0.2,100.0,Basic bounded continuous-change trajectory
baseline,220,22.0,90.050126807,0.2,100.0,Basic bounded continuous-change trajectory
baseline,221,22.1,90.2293242755,0.2,100.0,Basic bounded continuous-change trajectory
baseline,222,22.2,90.4056445692,0.2,100.0,Basic bounded continuous-change trajectory
baseline,223,22.3,90.5791213466,0.2,100.0,Basic bounded continuous-change trajectory
baseline,224,22.4,90.7497883287,0.2,100.0,Basic bounded continuous-change trajectory
baseline,225,22.5,90.9176792789,0.2,100.0,Basic bounded continuous-change trajectory
baseline,226,22.6,91.0828279834,0.2,100.0,Basic bounded continuous-change trajectory
baseline,227,22.7,91.2452682324,0.2,100.0,Basic bounded continuous-change trajectory
baseline,228,22.8,91.4050338021,0.2,100.0,Basic bounded continuous-change trajectory
baseline,229,22.9,91.5621584373,0.2,100.0,Basic bounded continuous-change trajectory
baseline,230,23.0,91.7166758345,0.2,100.0,Basic bounded continuous-change trajectory
baseline,231,23.1,91.8686196259,0.2,100.0,Basic bounded continuous-change trajectory
baseline,232,23.2,92.0180233641,0.2,100.0,Basic bounded continuous-change trajectory
baseline,233,23.3,92.1649205066,0.2,100.0,Basic bounded continuous-change trajectory
baseline,234,23.4,92.3093444023,0.2,100.0,Basic bounded continuous-change trajectory
baseline,235,23.5,92.4513282776,0.2,100.0,Basic bounded continuous-change trajectory
baseline,236,23.6,92.590905223,0.2,100.0,Basic bounded continuous-change trajectory
baseline,237,23.7,92.7281081815,0.2,100.0,Basic bounded continuous-change trajectory
baseline,238,23.8,92.8629699358,0.2,100.0,Basic bounded continuous-change trajectory
baseline,239,23.9,92.9955230974,0.2,100.0,Basic bounded continuous-change trajectory
baseline,240,24.0,93.1258000961,0.2,100.0,Basic bounded continuous-change trajectory
baseline,241,24.1,93.2538331693,0.2,100.0,Basic bounded continuous-change trajectory
baseline,242,24.2,93.3796543526,0.2,100.0,Basic bounded continuous-change trajectory
baseline,243,24.3,93.5032954702,0.2,100.0,Basic bounded continuous-change trajectory
baseline,244,24.4,93.6247881269,0.2,100.0,Basic bounded continuous-change trajectory
baseline,245,24.5,93.744163699,0.2,100.0,Basic bounded continuous-change trajectory
baseline,246,24.6,93.8614533275,0.2,100.0,Basic bounded continuous-change trajectory
baseline,247,24.7,93.9766879099,0.2,100.0,Basic bounded continuous-change trajectory
baseline,248,24.8,94.089898094,0.2,100.0,Basic bounded continuous-change trajectory
baseline,249,24.9,94.2011142712,0.2,100.0,Basic bounded continuous-change trajectory
baseline,250,25.0,94.3103665706,0.2,100.0,Basic bounded continuous-change trajectory
baseline,251,25.1,94.4176848535,0.2,100.0,Basic bounded continuous-change trajectory
baseline,252,25.2,94.523098708,0.2,100.0,Basic bounded continuous-change trajectory
baseline,253,25.3,94.6266374443,0.2,100.0,Basic bounded continuous-change trajectory
baseline,254,25.4,94.7283300903,0.2,100.0,Basic bounded continuous-change trajectory
baseline,255,25.5,94.8282053878,0.2,100.0,Basic bounded continuous-change trajectory
baseline,256,25.6,94.9262917881,0.2,100.0,Basic bounded continuous-change trajectory
baseline,257,25.7,95.0226174494,0.2,100.0,Basic bounded continuous-change trajectory
baseline,258,25.8,95.117210233,0.2,100.0,Basic bounded continuous-change trajectory
baseline,259,25.9,95.2100977011,0.2,100.0,Basic bounded continuous-change trajectory
baseline,260,26.0,95.3013071143,0.2,100.0,Basic bounded continuous-change trajectory
baseline,261,26.1,95.3908654291,0.2,100.0,Basic bounded continuous-change trajectory
baseline,262,26.2,95.4787992962,0.2,100.0,Basic bounded continuous-change trajectory
baseline,263,26.3,95.5651350591,0.2,100.0,Basic bounded continuous-change trajectory
baseline,264,26.4,95.6498987525,0.2,100.0,Basic bounded continuous-change trajectory
baseline,265,26.5,95.7331161013,0.2,100.0,Basic bounded continuous-change trajectory
baseline,266,26.6,95.8148125196,0.2,100.0,Basic bounded continuous-change trajectory
baseline,267,26.7,95.8950131104,0.2,100.0,Basic bounded continuous-change trajectory
baseline,268,26.8,95.9737426647,0.2,100.0,Basic bounded continuous-change trajectory
baseline,269,26.9,96.0510256618,0.2,100.0,Basic bounded continuous-change trajectory
baseline,270,27.0,96.1268862689,0.2,100.0,Basic bounded continuous-change trajectory
baseline,271,27.1,96.2013483415,0.2,100.0,Basic bounded continuous-change trajectory
baseline,272,27.2,96.2744354238,0.2,100.0,Basic bounded continuous-change trajectory
baseline,273,27.3,96.346170749,0.2,100.0,Basic bounded continuous-change trajectory
baseline,274,27.4,96.4165772404,0.2,100.0,Basic bounded continuous-change trajectory
baseline,275,27.5,96.4856775119,0.2,100.0,Basic bounded continuous-change trajectory
baseline,276,27.6,96.5534938691,0.2,100.0,Basic bounded continuous-change trajectory
baseline,277,27.7,96.6200483108,0.2,100.0,Basic bounded continuous-change trajectory
baseline,278,27.8,96.6853625299,0.2,100.0,Basic bounded continuous-change trajectory
baseline,279,27.9,96.749457915,0.2,100.0,Basic bounded continuous-change trajectory
baseline,280,28.0,96.812355552,0.2,100.0,Basic bounded continuous-change trajectory
baseline,281,28.1,96.8740762255,0.2,100.0,Basic bounded continuous-change trajectory
baseline,282,28.2,96.9346404211,0.2,100.0,Basic bounded continuous-change trajectory
baseline,283,28.3,96.9940683268,0.2,100.0,Basic bounded continuous-change trajectory
baseline,284,28.4,97.0523798352,0.2,100.0,Basic bounded continuous-change trajectory
baseline,285,28.5,97.1095945456,0.2,100.0,Basic bounded continuous-change trajectory
baseline,286,28.6,97.1657317659,0.2,100.0,Basic bounded continuous-change trajectory
baseline,287,28.7,97.2208105153,0.2,100.0,Basic bounded continuous-change trajectory
baseline,288,28.8,97.2748495262,0.2,100.0,Basic bounded continuous-change trajectory
baseline,289,28.9,97.3278672466,0.2,100.0,Basic bounded continuous-change trajectory
baseline,290,29.0,97.379881843,0.2,100.0,Basic bounded continuous-change trajectory
baseline,291,29.1,97.4309112023,0.2,100.0,Basic bounded continuous-change trajectory
baseline,292,29.2,97.4809729348,0.2,100.0,Basic bounded continuous-change trajectory
baseline,293,29.3,97.5300843767,0.2,100.0,Basic bounded continuous-change trajectory
baseline,294,29.4,97.5782625925,0.2,100.0,Basic bounded continuous-change trajectory
baseline,295,29.5,97.6255243782,0.2,100.0,Basic bounded continuous-change trajectory
baseline,296,29.6,97.6718862638,0.2,100.0,Basic bounded continuous-change trajectory
baseline,297,29.7,97.7173645158,0.2,100.0,Basic bounded continuous-change trajectory
baseline,298,29.8,97.7619751405,0.2,100.0,Basic bounded continuous-change trajectory
baseline,299,29.9,97.8057338866,0.2,100.0,Basic bounded continuous-change trajectory
baseline,300,30.0,97.8486562482,0.2,100.0,Basic bounded continuous-change trajectory
slow_adjustment,0,0.0,10.0,0.1,100.0,Lower rate of system change
slow_adjustment,1,0.1,10.09,0.1,100.0,Lower rate of system change
slow_adjustment,2,0.2,10.18071919,0.1,100.0,Lower rate of system change
slow_adjustment,3,0.3,10.2721616776,0.1,100.0,Lower rate of system change
slow_adjustment,4,0.4,10.3643315638,0.1,100.0,Lower rate of system change
slow_adjustment,5,0.5,10.4572329426,0.1,100.0,Lower rate of system change
slow_adjustment,6,0.6,10.5508698999,0.1,100.0,Lower rate of system change
slow_adjustment,7,0.7,10.6452465133,0.1,100.0,Lower rate of system change
slow_adjustment,8,0.8,10.7403668511,0.1,100.0,Lower rate of system change
slow_adjustment,9,0.9,10.8362349716,0.1,100.0,Lower rate of system change
slow_adjustment,10,1.0,10.9328549225,0.1,100.0,Lower rate of system change
slow_adjustment,11,1.1,11.0302307401,0.1,100.0,Lower rate of system change
slow_adjustment,12,1.2,11.1283664485,0.1,100.0,Lower rate of system change
slow_adjustment,13,1.3,11.227266059,0.1,100.0,Lower rate of system change
slow_adjustment,14,1.4,11.3269335692,0.1,100.0,Lower rate of system change
slow_adjustment,15,1.5,11.4273729625,0.1,100.0,Lower rate of system change
slow_adjustment,16,1.6,11.5285882069,0.1,100.0,Lower rate of system change
slow_adjustment,17,1.7,11.6305832543,0.1,100.0,Lower rate of system change
slow_adjustment,18,1.8,11.7333620402,0.1,100.0,Lower rate of system change
slow_adjustment,19,1.9,11.8369284821,0.1,100.0,Lower rate of system change
slow_adjustment,20,2.0,11.9412864793,0.1,100.0,Lower rate of system change
slow_adjustment,21,2.1,12.0464399119,0.1,100.0,Lower rate of system change
slow_adjustment,22,2.2,12.1523926395,0.1,100.0,Lower rate of system change
slow_adjustment,23,2.3,12.2591485012,0.1,100.0,Lower rate of system change
slow_adjustment,24,2.4,12.366711314,0.1,100.0,Lower rate of system change
slow_adjustment,25,2.5,12.4750848723,0.1,100.0,Lower rate of system change
slow_adjustment,26,2.6,12.5842729468,0.1,100.0,Lower rate of system change
slow_adjustment,27,2.7,12.6942792837,0.1,100.0,Lower rate of system change
slow_adjustment,28,2.8,12.8051076039,0.1,100.0,Lower rate of system change
slow_adjustment,29,2.9,12.9167616018,0.1,100.0,Lower rate of system change
slow_adjustment,30,3.0,13.0292449448,0.1,100.0,Lower rate of system change
slow_adjustment,31,3.1,13.1425612719,0.1,100.0,Lower rate of system change
slow_adjustment,32,3.2,13.2567141929,0.1,100.0,Lower rate of system change
slow_adjustment,33,3.3,13.3717072877,0.1,100.0,Lower rate of system change
slow_adjustment,34,3.4,13.487544105,0.1,100.0,Lower rate of system change
slow_adjustment,35,3.5,13.6042281615,0.1,100.0,Lower rate of system change
slow_adjustment,36,3.6,13.7217629407,0.1,100.0,Lower rate of system change
slow_adjustment,37,3.7,13.8401518923,0.1,100.0,Lower rate of system change
slow_adjustment,38,3.8,13.9593984308,0.1,100.0,Lower rate of system change
slow_adjustment,39,3.9,14.0795059346,0.1,100.0,Lower rate of system change
slow_adjustment,40,4.0,14.2004777452,0.1,100.0,Lower rate of system change
slow_adjustment,41,4.1,14.3223171659,0.1,100.0,Lower rate of system change
slow_adjustment,42,4.2,14.4450274606,0.1,100.0,Lower rate of system change
