part,order,slug,title,status,folder,advanced_standard,calculators
IV Eigenstructure and Dynamic Systems,24,markov-chains-and-transition-matrices,Markov Chains and Transition Matrices,planned,articles/markov-chains-and-transition-matrices,scaffolded,planned
IV Eigenstructure and Dynamic Systems,25,long-run-behavior-in-state-transition-systems,Long-Run Behavior in State Transition Systems,planned,articles/long-run-behavior-in-state-transition-systems,scaffolded,planned
IV Eigenstructure and Dynamic Systems,26,linear-dynamical-systems,Linear Dynamical Systems,planned,articles/linear-dynamical-systems,scaffolded,planned
IV Eigenstructure and Dynamic Systems,27,matrix-differential-equations,Matrix Differential Equations,planned,articles/matrix-differential-equations,scaffolded,planned
IV Eigenstructure and Dynamic Systems,28,control-systems-modeling,Control Systems Modeling,planned,articles/control-systems-modeling,scaffolded,planned
IX Modeling Judgment and Interpretation,55,representation-choices-and-model-assumptions,Representation Choices and Model Assumptions,planned,articles/representation-choices-and-model-assumptions,scaffolded,planned
IX Modeling Judgment and Interpretation,56,scaling-normalization-and-comparative-structure,"Scaling, Normalization, and Comparative Structure",planned,articles/scaling-normalization-and-comparative-structure,scaffolded,planned
IX Modeling Judgment and Interpretation,57,when-linear-models-clarify-and-when-they-distort,When Linear Models Clarify and When They Distort,planned,articles/when-linear-models-clarify-and-when-they-distort,scaffolded,planned
IX Modeling Judgment and Interpretation,58,interpretation-approximation-and-responsible-mathematical-modeling,"Interpretation, Approximation, and Responsible Mathematical Modeling",planned,articles/interpretation-approximation-and-responsible-mathematical-modeling,scaffolded,planned
V Networks Graphs and Flows,29,network-adjacency-matrices,Network Adjacency Matrices,planned,articles/network-adjacency-matrices,scaffolded,planned
V Networks Graphs and Flows,30,incidence-structure-and-graph-representation,Incidence Structure and Graph Representation,planned,articles/incidence-structure-and-graph-representation,scaffolded,planned
V Networks Graphs and Flows,31,graph-theory-foundations-for-systems-modeling,Graph Theory Foundations for Systems Modeling,planned,articles/graph-theory-foundations-for-systems-modeling,scaffolded,planned
V Networks Graphs and Flows,32,pagerank-and-network-influence-models,PageRank and Network Influence Models,planned,articles/pagerank-and-network-influence-models,scaffolded,planned
V Networks Graphs and Flows,33,network-flow-modeling,Network Flow Modeling,planned,articles/network-flow-modeling,scaffolded,planned
V Networks Graphs and Flows,34,infrastructure-network-models,Infrastructure Network Models,planned,articles/infrastructure-network-models,scaffolded,planned
V Networks Graphs and Flows,35,flow-connectivity-and-system-vulnerability,"Flow, Connectivity, and System Vulnerability",planned,articles/flow-connectivity-and-system-vulnerability,scaffolded,planned
VI Decomposition Reduction and Data Structure,36,orthogonal-decomposition-and-structured-approximation,Orthogonal Decomposition and Structured Approximation,planned,articles/orthogonal-decomposition-and-structured-approximation,scaffolded,planned
VI Decomposition Reduction and Data Structure,37,singular-value-decomposition,Singular Value Decomposition,planned,articles/singular-value-decomposition,scaffolded,planned
VI Decomposition Reduction and Data Structure,38,principal-component-analysis,Principal Component Analysis,planned,articles/principal-component-analysis,scaffolded,planned
VI Decomposition Reduction and Data Structure,39,dimensionality-reduction-techniques,Dimensionality Reduction Techniques,planned,articles/dimensionality-reduction-techniques,scaffolded,planned
VI Decomposition Reduction and Data Structure,40,latent-structure-and-signal-extraction,Latent Structure and Signal Extraction,planned,articles/latent-structure-and-signal-extraction,scaffolded,planned
VI Decomposition Reduction and Data Structure,41,compression-noise-and-informational-tradeoffs,"Compression, Noise, and Informational Tradeoffs",planned,articles/compression-noise-and-informational-tradeoffs,scaffolded,planned
VII Applied Matrix Systems in Economics Computation and Machine Learning,42,economic-input-output-models,Economic Input-Output Models,planned,articles/economic-input-output-models,scaffolded,planned
VII Applied Matrix Systems in Economics Computation and Machine Learning,43,leontief-systems-and-intersectoral-dependence,Leontief Systems and Intersectoral Dependence,planned,articles/leontief-systems-and-intersectoral-dependence,scaffolded,planned
VII Applied Matrix Systems in Economics Computation and Machine Learning,44,machine-learning-and-linear-algebra,Machine Learning and Linear Algebra,planned,articles/machine-learning-and-linear-algebra,scaffolded,planned
VII Applied Matrix Systems in Economics Computation and Machine Learning,45,optimization-gradients-and-matrix-structure,"Optimization, Gradients, and Matrix Structure",planned,articles/optimization-gradients-and-matrix-structure,scaffolded,planned
VII Applied Matrix Systems in Economics Computation and Machine Learning,46,simulation-of-high-dimensional-systems,Simulation of High-Dimensional Systems,planned,articles/simulation-of-high-dimensional-systems,scaffolded,planned
VII Applied Matrix Systems in Economics Computation and Machine Learning,47,large-scale-matrix-computation,Large-Scale Matrix Computation,planned,articles/large-scale-matrix-computation,scaffolded,planned
VII Applied Matrix Systems in Economics Computation and Machine Learning,48,sparse-matrices-and-computational-efficiency,Sparse Matrices and Computational Efficiency,planned,articles/sparse-matrices-and-computational-efficiency,scaffolded,planned
VIII Computational Linear Algebra and Systems Modeling Workflows,49,matrix-operations-across-modeling-languages,Matrix Operations Across Modeling Languages,planned,articles/matrix-operations-across-modeling-languages,scaffolded,planned
VIII Computational Linear Algebra and Systems Modeling Workflows,50,visualization-of-vectors-transformations-and-state-spaces,"Visualization of Vectors, Transformations, and State Spaces",planned,articles/visualization-of-vectors-transformations-and-state-spaces,scaffolded,planned
VIII Computational Linear Algebra and Systems Modeling Workflows,51,numerical-stability-and-conditioning,Numerical Stability and Conditioning,planned,articles/numerical-stability-and-conditioning,scaffolded,planned
VIII Computational Linear Algebra and Systems Modeling Workflows,52,decomposition-workflows-for-systems-analysis,Decomposition Workflows for Systems Analysis,planned,articles/decomposition-workflows-for-systems-analysis,scaffolded,planned
VIII Computational Linear Algebra and Systems Modeling Workflows,53,scientific-computing-workflows-for-linear-algebra,Scientific Computing Workflows for Linear Algebra,planned,articles/scientific-computing-workflows-for-linear-algebra,scaffolded,planned
VIII Computational Linear Algebra and Systems Modeling Workflows,54,reproducible-linear-algebra-workflows-with-notebooks-and-documentation,Reproducible Linear Algebra Workflows with Notebooks and Documentation,planned,articles/reproducible-linear-algebra-workflows-with-notebooks-and-documentation,scaffolded,planned
X Applied Case Studies,59,case-study-network-system-modeling,Case Study: Network System Modeling,planned,articles/case-study-network-system-modeling,scaffolded,planned
X Applied Case Studies,60,case-study-infrastructure-interdependence,Case Study: Infrastructure Interdependence,planned,articles/case-study-infrastructure-interdependence,scaffolded,planned
X Applied Case Studies,61,case-study-economic-input-output-analysis,Case Study: Economic Input-Output Analysis,planned,articles/case-study-economic-input-output-analysis,scaffolded,planned
X Applied Case Studies,62,case-study-state-transition-and-markov-dynamics,Case Study: State Transition and Markov Dynamics,planned,articles/case-study-state-transition-and-markov-dynamics,scaffolded,planned
X Applied Case Studies,63,case-study-dimensionality-reduction-in-high-dimensional-data,Case Study: Dimensionality Reduction in High-Dimensional Data,planned,articles/case-study-dimensionality-reduction-in-high-dimensional-data,scaffolded,planned
X Applied Case Studies,64,case-study-linear-structure-in-machine-learning-pipelines,Case Study: Linear Structure in Machine Learning Pipelines,planned,articles/case-study-linear-structure-in-machine-learning-pipelines,scaffolded,planned
