x,model,functional_form,value,interpretation
8.5,threshold_response,piecewise threshold,80.0,regime-dependent response
9.0,linear_growth,y = a + bx,28.0,constant marginal change
9.0,exponential_growth,y = a exp(bx),50.53090316563867,compounding change
9.0,logistic_growth,y = K / (1 + exp(-r(x-c))),95.25741268224333,bounded growth toward capacity
9.0,threshold_response,piecewise threshold,80.0,regime-dependent response
9.5,linear_growth,y = a + bx,29.0,constant marginal change
9.5,exponential_growth,y = a exp(bx),55.28961477624004,compounding change
9.5,logistic_growth,y = K / (1 + exp(-r(x-c))),96.69140216112957,bounded growth toward capacity
9.5,threshold_response,piecewise threshold,80.0,regime-dependent response
10.0,linear_growth,y = a + bx,30.0,constant marginal change
10.0,exponential_growth,y = a exp(bx),60.49647464412945,compounding change
10.0,logistic_growth,y = K / (1 + exp(-r(x-c))),97.70226300899743,bounded growth toward capacity
10.0,threshold_response,piecewise threshold,80.0,regime-dependent response
