"step","time","center_value","total_mass","max_value","min_value","diffusion_ratio","transport_ratio"
72,14.4,0.0143305328168462,0.999999999999563,0.143204663851744,0,0.016,0.08
73,14.6,0.0137498241170004,0.999999999999335,0.142800759517785,0,0.016,0.08
74,14.8,0.0131939972026489,0.999999999998997,0.142414671329338,0,0.016,0.08
75,15,0.0126618978810726,0.999999999998501,0.141912892360044,0,0.016,0.08
76,15.2,0.012152431674024,0.999999999997779,0.141300722610587,0,0.016,0.08
77,15.4,0.0116645602648845,0.999999999996736,0.140583474608741,0,0.016,0.08
78,15.6,0.011197298194147,0.999999999995241,0.139766452114106,0,0.016,0.08
79,15.8,0.0107497097827599,0.999999999993116,0.138854930771557,0,0.016,0.08
80,16,0.0103209062648311,0.999999999990116,0.137854140627349,0,0.016,0.08
81,16.2,0.00991004311293664,0.999999999985911,0.136769250418232,0,0.016,0.08
82,16.4,0.00951631754084131,0.999999999980058,0.135605353541647,0,0.016,0.08
83,16.6,0.00913896616983151,0.999999999971964,0.134367455613928,0,0.016,0.08
84,16.8,0.00877726284610872,0.999999999960845,0.133060463523213,0,0.016,0.08
85,17,0.0084305165978121,0.999999999945664,0.132203125168976,0,0.016,0.08
86,17.2,0.00809806972124369,0.999999999925062,0.131941289624819,0,0.016,0.08
87,17.4,0.00777929598677376,0.999999999897267,0.131586069080845,0,0.016,0.08
88,17.6,0.00747359895571874,0.999999999859983,0.131141040862319,0,0.016,0.08
89,17.8,0.00718041040021901,0.999999999810247,0.130609823124725,0,0.016,0.08
90,18,0.0068991888188075,0.999999999744254,0.129996060614804,0,0.016,0.08
91,18.2,0.00662941804096122,0.999999999657151,0.129303411419636,0,0.016,0.08
92,18.4,0.00637060591447149,0.999999999542766,0.128535534681862,0,0.016,0.08
93,18.6,0.00612228306996296,0.999999999393296,0.127696079255398,0,0.016,0.08
94,18.8,0.00588400175733934,0.99999999919892,0.126788673272913,0,0.016,0.08
95,19,0.00565533474934219,0.999999998947329,0.125816914593818,0,0.016,0.08
96,19.2,0.00543587430778032,0.999999998623162,0.124784362099522,0,0.016,0.08
97,19.4,0.0052252312083261,0.99999999820734,0.123694527801199,0,0.016,0.08
98,19.6,0.00502303382008405,0.999999997676253,0.123463450061995,0,0.016,0.08
99,19.8,0.00482892723641998,0.999999997000806,0.123209025734277,0,0.016,0.08
100,20,0.00464257245379705,0.999999996145291,0.122879738587294,0,0.016,0.08
101,20.2,0.00446364559560227,0.999999995066046,0.122478163693344,0,0.016,0.08
102,20.4,0.00429183717816387,0.999999993709883,0.122006913756151,0,0.016,0.08
103,20.6,0.00412685141635953,0.999999992012248,0.121468629861761,0,0.016,0.08
104,20.8,0.00396840556639823,0.999999989895077,0.120865972755549,0,0.016,0.08
105,21,0.00381622930352735,0.999999987264289,0.120201614641097,0,0.016,0.08
106,21.2,0.00367006413257136,0.99999998400689,0.119478231494404,0,0.016,0.08
107,21.4,0.00352966282935159,0.999999979987622,0.118698495884769,0,0.016,0.08
108,21.6,0.0033947889111681,0.999999975045102,0.117865070291943,0,0.016,0.08
109,21.8,0.00326521613464681,0.999999968987391,0.116980600907556,0,0.016,0.08
110,22,0.00314072801936692,0.999999961586911,0.116417835407251,0,0.016,0.08
111,22.2,0.00302111739578807,0.999999952574653,0.116235683638298,0,0.016,0.08
112,22.4,0.00290618597609277,0.99999994163358,0.115989916791971,0,0.016,0.08
113,22.6,0.00279574394664869,0.999999928391137,0.115682431019186,0,0.016,0.08
114,22.8,0.00268960958087827,0.999999912410777,0.115315161760398,0,0.016,0.08
115,23,0.00258760887139959,0.999999893182396,0.114890077139302,0,0.016,0.08
116,23.2,0.00248957518037373,0.999999870111566,0.114409171653812,0,0.016,0.08
117,23.4,0.00239534890705994,0.999999842507445,0.11387446016711,0,0.016,0.08
118,23.6,0.00230477717164164,0.999999809569247,0.113287972199894,0,0.016,0.08
119,23.8,0.00221771351444316,0.999999770371127,0.112651746523558,0,0.016,0.08
120,24,0.00213401760971086,0.999999723845337,0.111967826052657,0,0.016,0.08
