day,susceptible,infectious,recovered,hospital_demand
74.0,9554.48504669,2277.35099722,88168.16395609,102.48079487
75.0,9484.85651533,2073.69740891,88441.44607576,93.3163834
76.0,9421.91660371,1887.79363146,88690.28976483,84.95071342
77.0,9364.9993744,1718.17562499,88916.8250006,77.31790312
78.0,9313.50909071,1563.48483369,89123.0060756,70.35681752
79.0,9266.91219403,1422.46355032,89310.62425565,64.01085976
80.0,9224.73029061,1293.94982771,89481.31988168,58.22774225
81.0,9186.53400846,1176.87213053,89636.59386101,52.95924587
82.0,9151.93760574,1070.24387759,89777.81851667,48.16097449
83.0,9120.59422913,973.15798888,89906.24778198,43.7921095
84.0,9092.19173589,884.78152346,90023.02674065,39.81516856
85.0,9066.44900547,804.35047106,90129.20052346,36.1957712
86.0,9043.11267738,731.16474263,90225.72257999,32.90241342
87.0,9021.95426089,664.58339,90313.46234911,29.90625255
88.0,9002.76756986,604.02007423,90393.21235591,27.18090334
89.0,8985.36644239,548.9387928,90465.69476481,24.70224568
90.0,8969.58271052,498.84986953,90531.56741995,22.44824413
91.0,8955.26438999,453.30620571,90591.42940429,20.39877926
92.0,8942.27406385,411.89978718,90645.82614898,18.53549042
93.0,8930.48743734,374.25843922,90695.25412344,16.84162977
94.0,8919.79204441,340.04281944,90740.16513615,15.30192687
95.0,8910.08608846,308.94363706,90780.97027448,13.90246367
96.0,8901.27740237,280.67908671,90818.04351093,12.6305589
97.0,8893.28251465,254.99248402,90851.72500133,11.47466178
98.0,8886.02581001,231.65009057,90882.32409941,10.42425408
99.0,8879.43877422,210.43911549,90910.12211028,9.4697602
100.0,8873.45931425,191.16588161,90935.37480414,8.60246467
101.0,8868.0311457,173.65414437,90958.31470994,7.8144365
102.0,8863.10324054,157.7435522,90979.15320726,7.09845985
103.0,8858.6293289,143.28823758,90998.08243352,6.44797069
104.0,8854.56744927,130.1555287,91015.27702203,5.85699879
105.0,8850.87954237,118.22477216,91030.89568548,5.32011475
106.0,8847.53108407,107.38625779,91045.08265814,4.8323816
107.0,8844.49075366,97.54023727,91057.96900907,4.38931068
108.0,8841.73013373,88.59602872,91069.67383754,3.98682129
109.0,8839.22343877,80.47120024,91080.30536099,3.62120401
110.0,8836.94726942,73.09082556,91089.96190502,3.28908715
111.0,8834.88039016,66.38680576,91098.73280409,2.98740626
112.0,8833.00352779,60.29725143,91106.69922078,2.71337631
113.0,8831.29918912,54.76591993,91113.93489095,2.4644664
114.0,8829.75149561,49.74170305,91120.50680134,2.23837664
115.0,8828.3460336,45.17816069,91126.47580571,2.03301723
116.0,8827.0697186,41.03309641,91131.89718499,1.84648934
117.0,8825.9106722,37.26817125,91136.82115656,1.67706771
118.0,8824.85811043,33.84855246,91141.29333711,1.52318486
119.0,8823.90224268,30.74259391,91145.3551634,1.38341673
120.0,8823.03417982,27.9215455,91149.04427467,1.25646955
