x,y,dxdt,dydt,x_nullcline_residual,y_nullcline_residual,speed,warning
30.0,24.0,-15.0,2.3999999999999986,-15.0,2.3999999999999986,15.190786681406594,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
30.0,27.0,-19.5,2.6999999999999993,-19.5,2.6999999999999993,19.686035659827503,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
30.0,30.0,-24.0,3.0,-24.0,3.0,24.186773244895647,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
35.0,0.0,24.5,0.0,24.5,0.0,24.5,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
35.0,3.0,19.25,0.6000000000000001,19.25,0.6000000000000001,19.259348379423432,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
35.0,6.0,14.0,1.2000000000000002,14.0,1.2000000000000002,14.051334456200237,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
35.0,9.0,8.75,1.8000000000000007,8.75,1.8000000000000007,8.933224501824636,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
35.0,12.0,3.5,2.4000000000000004,3.5,2.4000000000000004,4.243819034784589,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
35.0,15.0,-1.75,3.0000000000000018,-1.75,3.0000000000000018,3.4731109973624528,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
35.0,18.0,-7.0,3.6000000000000014,-7.0,3.6000000000000014,7.871467461661771,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
35.0,21.0,-12.25,4.200000000000001,-12.25,4.200000000000001,12.950000000000001,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
35.0,24.0,-17.5,4.800000000000001,-17.5,4.800000000000001,18.1463494951464,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
35.0,27.0,-22.75,5.400000000000002,-22.75,5.400000000000002,23.3820978528446,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
35.0,30.0,-28.0,6.0000000000000036,-28.0,6.0000000000000036,28.635642126552707,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
40.0,0.0,28.0,0.0,28.0,0.0,28.0,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
40.0,3.0,22.0,0.9000000000000004,22.0,0.9000000000000004,22.0184013951967,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
40.0,6.0,16.0,1.8000000000000007,16.0,1.8000000000000007,16.100931650062986,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
40.0,9.0,10.0,2.7,10.0,2.7,10.358088626768938,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
40.0,12.0,4.0,3.6000000000000014,4.0,3.6000000000000014,5.3814496188294845,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
40.0,15.0,-2.0,4.5,-2.0,4.5,4.924428900898052,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
40.0,18.0,-8.0,5.4,-8.0,5.4,9.651942809610922,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
40.0,21.0,-14.0,6.300000000000001,-14.0,6.300000000000001,15.352198539622917,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
40.0,24.0,-20.0,7.200000000000003,-20.0,7.200000000000003,21.256528408938276,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
40.0,27.0,-26.0,8.100000000000001,-26.0,8.100000000000001,27.232517327636092,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
40.0,30.0,-32.0,9.0,-32.0,9.0,33.24154027718932,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
45.0,0.0,31.499999999999996,0.0,31.499999999999996,0.0,31.499999999999996,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
45.0,3.0,24.749999999999996,1.2000000000000002,24.749999999999996,1.2000000000000002,24.779073832570898,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
45.0,6.0,17.999999999999996,2.4000000000000004,17.999999999999996,2.4000000000000004,18.159295140505865,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
45.0,9.0,11.249999999999996,3.5999999999999996,11.249999999999996,3.5999999999999996,11.811964273566016,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
45.0,12.0,4.4999999999999964,4.800000000000001,4.4999999999999964,4.800000000000001,6.5795136598383905,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
45.0,15.0,-2.2500000000000036,6.0,-2.2500000000000036,6.0,6.408002808988149,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
45.0,18.0,-9.000000000000004,7.199999999999999,-9.000000000000004,7.199999999999999,11.52562362737913,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
45.0,21.0,-15.750000000000004,8.400000000000002,-15.750000000000004,8.400000000000002,17.850000000000005,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
45.0,24.0,-22.500000000000004,9.600000000000001,-22.500000000000004,9.600000000000001,24.46242015827543,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
45.0,27.0,-29.250000000000004,10.8,-29.250000000000004,10.8,31.180161962376015,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
45.0,30.0,-36.0,12.0,-36.0,12.0,37.94733192202055,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
50.0,0.0,35.0,0.0,35.0,0.0,35.0,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
50.0,3.0,27.5,1.5,27.5,1.5,27.54087870784082,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
50.0,6.0,20.0,3.0,20.0,3.0,20.223748416156685,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
50.0,9.0,12.5,4.5,12.5,4.5,13.285330255586423,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
50.0,12.0,5.0,6.0,5.0,6.0,7.810249675906654,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
50.0,15.0,-2.5,7.5,-2.5,7.5,7.905694150420948,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
50.0,18.0,-10.0,9.0,-10.0,9.0,13.45362404707371,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
50.0,21.0,-17.5,10.5,-17.5,10.5,20.40833163195855,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
50.0,24.0,-25.0,12.0,-25.0,12.0,27.730849247724095,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
50.0,27.0,-32.5,13.5,-32.5,13.5,35.19232870953555,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
50.0,30.0,-40.0,15.0,-40.0,15.0,42.720018726587654,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
55.0,0.0,38.5,0.0,38.5,0.0,38.5,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
55.0,3.0,30.25,1.8000000000000003,30.25,1.8000000000000003,30.30350639777516,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
55.0,6.0,22.0,3.6000000000000005,22.0,3.6000000000000005,22.292599668948437,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
55.0,9.0,13.75,5.4,13.75,5.4,14.77235593938895,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
55.0,12.0,5.5,7.200000000000001,5.5,7.200000000000001,9.060353193998566,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
55.0,15.0,-2.75,9.0,-2.75,9.0,9.410765112359355,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
55.0,18.0,-11.0,10.8,-11.0,10.8,15.41557653803451,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
55.0,21.0,-19.25,12.600000000000001,-19.25,12.600000000000001,23.007009801362713,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
55.0,24.0,-27.5,14.400000000000002,-27.5,14.400000000000002,31.042068230064828,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
55.0,27.0,-35.75,16.200000000000003,-35.75,16.200000000000003,39.2492356613476,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
55.0,30.0,-44.0,18.0,-44.0,18.0,47.53945729601885,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
60.0,0.0,42.0,0.0,42.0,0.0,42.0,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
60.0,3.0,33.0,2.0999999999999996,33.0,2.0999999999999996,33.066750671936305,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
60.0,6.0,24.0,4.199999999999999,24.0,4.199999999999999,24.364728605096342,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
60.0,9.0,15.0,6.299999999999999,15.0,6.299999999999999,16.269296235547497,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
60.0,12.0,6.0,8.399999999999999,6.0,8.399999999999999,10.322790320451151,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
60.0,15.0,-3.0,10.5,-3.0,10.5,10.920164833920778,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
60.0,18.0,-12.0,12.599999999999998,-12.0,12.599999999999998,17.4,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
60.0,21.0,-21.0,14.7,-21.0,14.7,25.633766793040774,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
60.0,24.0,-30.0,16.799999999999997,-30.0,16.799999999999997,34.38371707654657,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
60.0,27.0,-39.0,18.9,-39.0,18.9,43.338320225869396,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
60.0,30.0,-48.0,21.0,-48.0,21.0,52.392747589718944,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
