"x","y","dxdt","dydt","x_nullcline_residual","y_nullcline_residual","speed","warning"
55,3,30.25,1.8,30.25,1.8,30.3035063977752,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
60,3,33,2.1,33,2.1,33.0667506719363,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
0,6,0,-3,0,-3,3,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
5,6,2,-2.4,2,-2.4,3.12409987036266,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
10,6,4,-1.8,4,-1.8,4.38634243989226,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
15,6,6,-1.2,6,-1.2,6.11882341631134,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
20,6,8,-0.6,8,-0.6,8.02246844805263,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
25,6,10,0,10,0,10,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
30,6,12,0.6,12,0.6,12.0149906367005,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
35,6,14,1.2,14,1.2,14.0513344562002,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
40,6,16,1.8,16,1.8,16.100931650063,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
45,6,18,2.4,18,2.4,18.1592951405059,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
50,6,20,3,20,3,20.2237484161567,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
55,6,22,3.6,22,3.6,22.2925996689484,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
60,6,24,4.2,24,4.2,24.3647286050963,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
0,9,0,-4.5,0,-4.5,4.5,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
5,9,1.25,-3.6,1.25,-3.6,3.81083980245825,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
10,9,2.5,-2.7,2.5,-2.7,3.67967389859482,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
15,9,3.75,-1.8,3.75,-1.8,4.15962738715861,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
20,9,5,-0.9,5,-0.9,5.08035431835221,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
25,9,6.25,0,6.25,0,6.25,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
30,9,7.5,0.9,7.5,0.9,7.5538069872085,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
35,9,8.75,1.8,8.75,1.8,8.93322450182464,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
40,9,10,2.7,10,2.7,10.3580886267689,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
45,9,11.25,3.6,11.25,3.6,11.811964273566,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
50,9,12.5,4.5,12.5,4.5,13.2853302555864,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
55,9,13.75,5.4,13.75,5.4,14.772355939389,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
60,9,15,6.3,15,6.3,16.2692962355475,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
0,12,0,-6,0,-6,6,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
5,12,0.5,-4.8,0.5,-4.8,4.82597140480546,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
10,12,1,-3.6,1,-3.6,3.73630833845388,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
15,12,1.5,-2.4,1.5,-2.4,2.83019433961698,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
20,12,2,-1.2,2,-1.2,2.33238075793812,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
25,12,2.5,0,2.5,0,2.5,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
30,12,3,1.2,3,1.2,3.2310988842807,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
35,12,3.5,2.4,3.5,2.4,4.24381903478459,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
40,12,4,3.6,4,3.6,5.38144961882948,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
45,12,4.5,4.8,4.5,4.8,6.57951365983839,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
50,12,5,6,5,6,7.81024967590665,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
55,12,5.5,7.2,5.5,7.2,9.06035319399857,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
60,12,6,8.4,6,8.4,10.3227903204512,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
0,15,0,-7.5,0,-7.5,7.5,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
5,15,-0.25,-6,-0.25,-6,6.00520607473216,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
10,15,-0.5,-4.5,-0.5,-4.5,4.52769256906871,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
15,15,-0.75,-3,-0.75,-3,3.09232921921325,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
20,15,-1,-1.5,-1,-1.5,1.80277563773199,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
25,15,-1.25,0,-1.25,0,1.25,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
30,15,-1.5,1.5,-1.5,1.5,2.12132034355964,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
35,15,-1.75,3,-1.75,3,3.47311099736245,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
40,15,-2,4.5,-2,4.5,4.92442890089805,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
45,15,-2.25,6,-2.25,6,6.40800280898815,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
50,15,-2.5,7.5,-2.5,7.5,7.90569415042095,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
55,15,-2.75,9,-2.75,9,9.41076511235936,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
60,15,-3,10.5,-3,10.5,10.9201648339208,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
0,18,0,-9,0,-9,9,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
5,18,-1,-7.2,-1,-7.2,7.2691127381545,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
10,18,-2,-5.4,-2,-5.4,5.75847201955519,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
15,18,-3,-3.6,-3,-3.6,4.68614980554399,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
20,18,-4,-1.8,-4,-1.8,4.38634243989226,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
25,18,-5,0,-5,0,5,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
30,18,-6,1.8,-6,1.8,6.26418390534633,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
35,18,-7,3.6,-7,3.6,7.87146746166177,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
40,18,-8,5.4,-8,5.4,9.65194280961092,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
45,18,-9,7.2,-9,7.2,11.5256236273791,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
50,18,-10,9,-10,9,13.4536240470737,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
55,18,-11,10.8,-11,10.8,15.4155765380345,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
60,18,-12,12.6,-12,12.6,17.4,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
0,21,0,-10.5,0,-10.5,10.5,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
5,21,-1.75,-8.4,-1.75,-8.4,8.58035547049188,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
10,21,-3.5,-6.3,-3.5,-6.3,7.2069410986909,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
15,21,-5.25,-4.2,-5.25,-4.2,6.72328044930449,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
20,21,-7,-2.1,-7,-2.1,7.30821455623738,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
25,21,-8.75,0,-8.75,0,8.75,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
30,21,-10.5,2.1,-10.5,2.1,10.7079409785448,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
35,21,-12.25,4.2,-12.25,4.2,12.95,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
40,21,-14,6.3,-14,6.3,15.3521985396229,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
45,21,-15.75,8.4,-15.75,8.4,17.85,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
50,21,-17.5,10.5,-17.5,10.5,20.4083316319585,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
55,21,-19.25,12.6,-19.25,12.6,23.0070098013627,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
60,21,-21,14.7,-21,14.7,25.6337667930408,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
0,24,0,-12,0,-12,12,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
5,24,-2.5,-9.6,-2.5,-9.6,9.92018144995342,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
10,24,-5,-7.2,-5,-7.2,8.76584280032445,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
15,24,-7.5,-4.8,-7.5,-4.8,8.9044932477935,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
20,24,-10,-2.4,-10,-2.4,10.283968105746,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
25,24,-12.5,0,-12.5,0,12.5,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
30,24,-15,2.4,-15,2.4,15.1907866814066,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
35,24,-17.5,4.8,-17.5,4.8,18.1463494951464,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
40,24,-20,7.2,-20,7.2,21.2565284089383,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
45,24,-22.5,9.6,-22.5,9.6,24.4624201582754,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
50,24,-25,12,-25,12,27.7308492477241,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
55,24,-27.5,14.4,-27.5,14.4,31.0420682300648,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
60,24,-30,16.8,-30,16.8,34.3837170765466,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
0,27,0,-13.5,0,-13.5,13.5,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
5,27,-3.25,-10.8,-3.25,-10.8,11.2784085756812,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
10,27,-6.5,-8.1,-6.5,-8.1,10.3855669079738,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
15,27,-9.75,-5.4,-9.75,-5.4,11.145514792956,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
20,27,-13,-2.7,-13,-2.7,13.2774244490413,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
25,27,-16.25,0,-16.25,0,16.25,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
30,27,-19.5,2.7,-19.5,2.7,19.6860356598275,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
35,27,-22.75,5.4,-22.75,5.4,23.3820978528446,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
40,27,-26,8.1,-26,8.1,27.2325173276361,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
45,27,-29.25,10.8,-29.25,10.8,31.180161962376,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
50,27,-32.5,13.5,-32.5,13.5,35.1923287095356,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
55,27,-35.75,16.2,-35.75,16.2,39.2492356613476,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
60,27,-39,18.9,-39,18.9,43.3383202258694,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
0,30,0,-15,0,-15,15,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
5,30,-4,-12,-4,-12,12.6491106406735,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
10,30,-8,-9,-8,-9,12.0415945787923,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
15,30,-12,-6,-12,-6,13.4164078649987,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
20,30,-16,-3,-16,-3,16.2788205960997,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
25,30,-20,0,-20,0,20,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
30,30,-24,3,-24,3,24.1867732448956,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
35,30,-28,6,-28,6,28.6356421265527,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
40,30,-32,9,-32,9,33.2415402771893,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
45,30,-36,12,-36,12,37.9473319220206,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
50,30,-40,15,-40,15,42.7200187265877,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
55,30,-44,18,-44,18,47.5394572960189,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
60,30,-48,21,-48,21,52.3927475897189,"Vector-field values depend on parameter values, state ranges, and the assumed interaction structure."
