    step time baseline_state forced_state shock_value absolute_deviation
177  176 17.6            100     90.48794           0           9.512064
178  177 17.7            100     90.63062           0           9.369383
179  178 17.8            100     90.77116           0           9.228842
180  179 17.9            100     90.90959           0           9.090410
181  180 18.0            100     91.04595           0           8.954054
182  181 18.1            100     91.18026           0           8.819743
183  182 18.2            100     91.31255           0           8.687447
184  183 18.3            100     91.44286           0           8.557135
185  184 18.4            100     91.57122           0           8.428778
186  185 18.5            100     91.69765           0           8.302346
187  186 18.6            100     91.82219           0           8.177811
188  187 18.7            100     91.94486           0           8.055144
189  188 18.8            100     92.06568           0           7.934317
190  189 18.9            100     92.18470           0           7.815302
191  190 19.0            100     92.30193           0           7.698073
192  191 19.1            100     92.41740           0           7.582601
193  192 19.2            100     92.53114           0           7.468862
194  193 19.3            100     92.64317           0           7.356829
195  194 19.4            100     92.75352           0           7.246477
196  195 19.5            100     92.86222           0           7.137780
197  196 19.6            100     92.96929           0           7.030713
198  197 19.7            100     93.07475           0           6.925253
199  198 19.8            100     93.17863           0           6.821374
200  199 19.9            100     93.28095           0           6.719053
201  200 20.0            100     93.38173           0           6.618267
202  201 20.1            100     93.48101           0           6.518993
203  202 20.2            100     93.57879           0           6.421208
204  203 20.3            100     93.67511           0           6.324890
205  204 20.4            100     93.76998           0           6.230017
206  205 20.5            100     93.86343           0           6.136567
207  206 20.6            100     93.95548           0           6.044518
208  207 20.7            100     94.04615           0           5.953850
209  208 20.8            100     94.13546           0           5.864543
210  209 20.9            100     94.22343           0           5.776575
211  210 21.0            100     94.31007           0           5.689926
212  211 21.1            100     94.39542           0           5.604577
213  212 21.2            100     94.47949           0           5.520508
214  213 21.3            100     94.56230           0           5.437701
215  214 21.4            100     94.64386           0           5.356135
216  215 21.5            100     94.72421           0           5.275793
217  216 21.6            100     94.80334           0           5.196656
218  217 21.7            100     94.88129           0           5.118706
219  218 21.8            100     94.95807           0           5.041926
220  219 21.9            100     95.03370           0           4.966297
221  220 22.0            100     95.10820           0           4.891802
222  221 22.1            100     95.18157           0           4.818425
223  222 22.2            100     95.25385           0           4.746149
224  223 22.3            100     95.32504           0           4.674957
225  224 22.4            100     95.39517           0           4.604832
226  225 22.5            100     95.46424           0           4.535760
227  226 22.6            100     95.53228           0           4.467724
228  227 22.7            100     95.59929           0           4.400708
229  228 22.8            100     95.66530           0           4.334697
230  229 22.9            100     95.73032           0           4.269677
231  230 23.0            100     95.79437           0           4.205632
232  231 23.1            100     95.85745           0           4.142547
233  232 23.2            100     95.91959           0           4.080409
234  233 23.3            100     95.98080           0           4.019203
235  234 23.4            100     96.04109           0           3.958915
236  235 23.5            100     96.10047           0           3.899531
237  236 23.6            100     96.15896           0           3.841038
238  237 23.7            100     96.21658           0           3.783422
239  238 23.8            100     96.27333           0           3.726671
240  239 23.9            100     96.32923           0           3.670771
241  240 24.0            100     96.38429           0           3.615709
242  241 24.1            100     96.43853           0           3.561474
243  242 24.2            100     96.49195           0           3.508052
244  243 24.3            100     96.54457           0           3.455431
245  244 24.4            100     96.59640           0           3.403599
246  245 24.5            100     96.64745           0           3.352545
247  246 24.6            100     96.69774           0           3.302257
248  247 24.7            100     96.74728           0           3.252723
249  248 24.8            100     96.79607           0           3.203933
250  249 24.9            100     96.84413           0           3.155874
251  250 25.0            100     96.89146           0           3.108535
252  251 25.1            100     96.93809           0           3.061907
253  252 25.2            100     96.98402           0           3.015979
254  253 25.3            100     97.02926           0           2.970739
255  254 25.4            100     97.07382           0           2.926178
256  255 25.5            100     97.11771           0           2.882285
257  256 25.6            100     97.16095           0           2.839051
258  257 25.7            100     97.20353           0           2.796465
259  258 25.8            100     97.24548           0           2.754518
260  259 25.9            100     97.28680           0           2.713201
261  260 26.0            100     97.32750           0           2.672503
262  261 26.1            100     97.36758           0           2.632415
263  262 26.2            100     97.40707           0           2.592929
264  263 26.3            100     97.44597           0           2.554035
265  264 26.4            100     97.48428           0           2.515724
266  265 26.5            100     97.52201           0           2.477989
267  266 26.6            100     97.55918           0           2.440819
268  267 26.7            100     97.59579           0           2.404206
269  268 26.8            100     97.63186           0           2.368143
270  269 26.9            100     97.66738           0           2.332621
271  270 27.0            100     97.70237           0           2.297632
272  271 27.1            100     97.73683           0           2.263167
273  272 27.2            100     97.77078           0           2.229220
274  273 27.3            100     97.80422           0           2.195782
275  274 27.4            100     97.83716           0           2.162845
276  275 27.5            100     97.86960           0           2.130402
277  276 27.6            100     97.90155           0           2.098446
278  277 27.7            100     97.93303           0           2.066969
279  278 27.8            100     97.96404           0           2.035965
280  279 27.9            100     97.99457           0           2.005425
281  280 28.0            100     98.02466           0           1.975344
282  281 28.1            100     98.05429           0           1.945714
283  282 28.2            100     98.08347           0           1.916528
284  283 28.3            100     98.11222           0           1.887780
285  284 28.4            100     98.14054           0           1.859464
286  285 28.5            100     98.16843           0           1.831572
287  286 28.6            100     98.19590           0           1.804098
288  287 28.7            100     98.22296           0           1.777037
289  288 28.8            100     98.24962           0           1.750381
290  289 28.9            100     98.27587           0           1.724125
291  290 29.0            100     98.30174           0           1.698263
292  291 29.1            100     98.32721           0           1.672789
293  292 29.2            100     98.35230           0           1.647698
294  293 29.3            100     98.37702           0           1.622982
295  294 29.4            100     98.40136           0           1.598637
296  295 29.5            100     98.42534           0           1.574658
297  296 29.6            100     98.44896           0           1.551038
298  297 29.7            100     98.47223           0           1.527772
299  298 29.8            100     98.49514           0           1.504856
300  299 29.9            100     98.51772           0           1.482283
301  300 30.0            100     98.53995           0           1.460049
