"step","time","baseline_state","forced_state","shock_value","absolute_deviation"
131,13.1,100,81.2222133597886,0,18.7777866402114
132,13.2,100,81.5038801593918,0,18.4961198406082
133,13.3,100,81.7813219570009,0,18.2186780429991
134,13.4,100,82.0546021276459,0,17.9453978723541
135,13.5,100,82.3237830957312,0,17.6762169042688
136,13.6,100,82.5889263492952,0,17.4110736507048
137,13.7,100,82.8500924540558,0,17.1499075459442
138,13.8,100,83.107341067245,0,16.892658932755
139,13.9,100,83.3607309512363,0,16.6392690487637
140,14,100,83.6103199869678,0,16.3896800130322
141,14.1,100,83.8561651871632,0,16.1438348128368
142,14.2,100,84.0983227093558,0,15.9016772906442
143,14.3,100,84.3368478687155,0,15.6631521312845
144,14.4,100,84.5717951506847,0,15.4282048493153
145,14.5,100,84.8032182234245,0,15.1967817765755
146,14.6,100,85.0311699500731,0,14.9688300499269
147,14.7,100,85.255702400822,0,14.744297599178
148,14.8,100,85.4768668648097,0,14.5231331351903
149,14.9,100,85.6947138618375,0,14.3052861381625
150,15,100,85.90929315391,0,14.09070684609
151,15.1,100,86.1206537566013,0,13.8793462433987
152,15.2,100,86.3288439502523,0,13.6711560497477
153,15.3,100,86.5339112909985,0,13.4660887090015
154,15.4,100,86.7359026216335,0,13.2640973783665
155,15.5,100,86.934864082309,0,13.065135917691
156,15.6,100,87.1308411210744,0,12.8691588789256
157,15.7,100,87.3238785042583,0,12.6761214957417
158,15.8,100,87.5140203266944,0,12.4859796733056
159,15.9,100,87.701310021794,0,12.298689978206
160,16,100,87.8857903714671,0,12.1142096285329
161,16.1,100,88.0675035158951,0,11.9324964841049
162,16.2,100,88.2464909631566,0,11.7535090368434
163,16.3,100,88.4227935987093,0,11.5772064012907
164,16.4,100,88.5964516947287,0,11.4035483052713
165,16.5,100,88.7675049193077,0,11.2324950806923
166,16.6,100,88.9359923455181,0,11.0640076544819
167,16.7,100,89.1019524603353,0,10.8980475396647
168,16.8,100,89.2654231734303,0,10.7345768265697
169,16.9,100,89.4264418258288,0,10.5735581741712
170,17,100,89.5850451984414,0,10.4149548015586
171,17.1,100,89.7412695204648,0,10.2587304795352
172,17.2,100,89.8951504776578,0,10.1048495223422
173,17.3,100,90.0467232204929,0,9.95327677950706
174,17.4,100,90.1960223721855,0,9.80397762781446
175,17.5,100,90.3430820366028,0,9.65691796339725
176,17.6,100,90.4879358060537,0,9.51206419394629
177,17.7,100,90.6306167689629,0,9.36938323103709
178,17.8,100,90.7711575174285,0,9.22884248257154
179,17.9,100,90.909590154667,0,9.09040984533296
180,18,100,91.045946302347,0,8.95405369765297
181,18.1,100,91.1802571078118,0,8.81974289218817
182,18.2,100,91.3125532511946,0,8.68744674880536
183,18.3,100,91.4428649524267,0,8.55713504757328
184,18.4,100,91.5712219781403,0,8.42877802185969
185,18.5,100,91.6976536484682,0,8.3023463515318
186,18.6,100,91.8221888437412,0,8.17781115625881
187,18.7,100,91.9448560110851,0,8.05514398891493
188,18.8,100,92.0656831709188,0,7.93431682908121
189,18.9,100,92.184697923355,0,7.815302076645
190,19,100,92.3019274545047,0,7.69807254549532
191,19.1,100,92.4173985426871,0,7.58260145731289
192,19.2,100,92.5311375645468,0,7.4688624354532
193,19.3,100,92.6431705010786,0,7.3568294989214
194,19.4,100,92.7535229435624,0,7.24647705643758
195,19.5,100,92.862220099409,0,7.13777990059101
196,19.6,100,92.9692867979178,0,7.03071320208215
197,19.7,100,93.0747474959491,0,6.92525250405092
198,19.8,100,93.1786262835098,0,6.82137371649016
199,19.9,100,93.2809468892572,0,6.71905311074281
200,20,100,93.3817326859183,0,6.61826731408166
201,20.1,100,93.4810066956296,0,6.51899330437044
202,20.2,100,93.5787915951951,0,6.42120840480489
203,20.3,100,93.6751097212672,0,6.32489027873281
204,20.4,100,93.7699830754482,0,6.23001692455182
205,20.5,100,93.8634333293165,0,6.13656667068354
206,20.6,100,93.9554818293767,0,6.04451817062328
207,20.7,100,94.0461496019361,0,5.95385039806393
208,20.8,100,94.135457357907,0,5.86454264209297
209,20.9,100,94.2234254975384,0,5.77657450246157
210,21,100,94.3100741150754,0,5.68992588492465
211,21.1,100,94.3954230033492,0,5.60457699665078
212,21.2,100,94.479491658299,0,5.52050834170102
213,21.3,100,94.5622992834245,0,5.43770071657551
214,21.4,100,94.6438647941731,0,5.35613520582687
215,21.5,100,94.7242068222605,0,5.27579317773947
216,21.6,100,94.8033437199266,0,5.19665628007338
217,21.7,100,94.8812935641277,0,5.11870643587228
218,21.8,100,94.9580741606658,0,5.0419258393342
219,21.9,100,95.0337030482558,0,4.96629695174418
220,22,100,95.108197502532,0,4.89180249746802
221,22.1,100,95.181574539994,0,4.818425460006
222,22.2,100,95.2538509218941,0,4.7461490781059
223,22.3,100,95.3250431580657,0,4.67495684193432
224,22.4,100,95.3951675106947,0,4.60483248930531
225,22.5,100,95.4642399980343,0,4.53576000196573
226,22.6,100,95.5322763980638,0,4.46772360193624
227,22.7,100,95.5992922520928,0,4.4007077479072
228,22.8,100,95.6653028683114,0,4.3346971316886
229,22.9,100,95.7303233252867,0,4.26967667471327
230,23,100,95.7943684754074,0,4.20563152459256
231,23.1,100,95.8574529482763,0,4.14254705172367
232,23.2,100,95.9195911540522,0,4.08040884594782
233,23.3,100,95.9807972867414,0,4.01920271325859
234,23.4,100,96.0410853274403,0,3.95891467255971
235,23.5,100,96.1004690475287,0,3.89953095247132
236,23.6,100,96.1589620118157,0,3.84103798818425
237,23.7,100,96.2165775816385,0,3.7834224183615
238,23.8,100,96.2733289179139,0,3.72667108208607
239,23.9,100,96.3292289841452,0,3.67077101585478
240,24,100,96.384290549383,0,3.61570945061696
241,24.1,100,96.4385261911423,0,3.56147380885771
242,24.2,100,96.4919482982751,0,3.50805170172485
243,24.3,100,96.544569073801,0,3.45543092619899
244,24.4,100,96.596400537694,0,3.403599462306
245,24.5,100,96.6474545296286,0,3.35254547037141
246,24.6,100,96.6977427116842,0,3.30225728831584
247,24.7,100,96.7472765710089,0,3.2527234289911
248,24.8,100,96.7960674224438,0,3.20393257755623
249,24.9,100,96.8441264111071,0,3.15587358889289
250,25,100,96.8914645149405,0,3.10853548505949
251,25.1,100,96.9380925472164,0,3.0619074527836
252,25.2,100,96.9840211590082,0,3.01597884099185
253,25.3,100,97.029260841623,0,2.97073915837697
254,25.4,100,97.0738219289987,0,2.92617807100132
255,25.5,100,97.1177146000637,0,2.88228539993629
256,25.6,100,97.1609488810628,0,2.83905111893725
257,25.7,100,97.2035346478468,0,2.79646535215319
258,25.8,100,97.2454816281291,0,2.75451837187089
259,25.9,100,97.2867994037072,0,2.71320059629282
260,26,100,97.3274974126516,0,2.67250258734843
261,26.1,100,97.3675849514618,0,2.63241504853821
262,26.2,100,97.4070711771899,0,2.59292882281014
263,26.3,100,97.445965109532,0,2.55403489046799
264,26.4,100,97.484275632889,0,2.51572436711096
265,26.5,100,97.5220114983957,0,2.4779885016043
266,26.6,100,97.5591813259198,0,2.44081867408023
267,26.7,100,97.595793606031,0,2.40420639396903
268,26.8,100,97.6318567019405,0,2.36814329805949
269,26.9,100,97.6673788514114,0,2.3326211485886
270,27,100,97.7023681686402,0,2.29763183135977
271,27.1,100,97.7368326461106,0,2.26316735388937
272,27.2,100,97.770780156419,0,2.22921984358103
273,27.3,100,97.8042184540727,0,2.19578154592732
274,27.4,100,97.8371551772616,0,2.16284482273841
275,27.5,100,97.8695978496027,0,2.13040215039733
276,27.6,100,97.9015538818586,0,2.09844611814137
277,27.7,100,97.9330305736308,0,2.06696942636924
278,27.8,100,97.9640351150263,0,2.03596488497371
279,27.9,100,97.9945745883009,0,2.00542541169911
280,28,100,98.0246559694764,0,1.97534403052362
281,28.1,100,98.0542861299342,0,1.94571387006576
282,28.2,100,98.0834718379852,0,1.91652816201477
283,28.3,100,98.1122197604155,0,1.88778023958454
284,28.4,100,98.1405364640092,0,1.85946353599077
285,28.5,100,98.1684284170491,0,1.83157158295091
286,28.6,100,98.1959019907933,0,1.80409800920665
287,28.7,100,98.2229634609314,0,1.77703653906856
288,28.8,100,98.2496190090175,0,1.75038099098253
289,28.9,100,98.2758747238822,0,1.7241252761178
290,29,100,98.301736603024,0,1.69826339697603
291,29.1,100,98.3272105539786,0,1.6727894460214
292,29.2,100,98.3523023956689,0,1.64769760433107
293,29.3,100,98.3770178597339,0,1.6229821402661
294,29.4,100,98.4013625918379,0,1.5986374081621
295,29.5,100,98.4253421529603,0,1.57465784703967
296,29.6,100,98.4489620206659,0,1.55103797933408
297,29.7,100,98.4722275903559,0,1.52777240964407
298,29.8,100,98.4951441765006,0,1.50485582349941
299,29.9,100,98.5177170138531,0,1.48228298614693
300,30,100,98.5399512586453,0,1.46004874135473
