"scenario","step","resource_stock"
"baseline",17,35.897977317
"high_extraction",17,0
"shock_stress",17,11.8011225356667
"adaptive_policy",18,39.7082103453333
"baseline",18,33.6871640401667
"high_extraction",18,0
"shock_stress",18,9.21563401066667
"adaptive_policy",19,40.7419244085
"baseline",19,31.519952205
"high_extraction",19,0
"shock_stress",19,6.98867825683333
"adaptive_policy",20,40.3082873175
"baseline",20,29.20750744
"high_extraction",20,0
"shock_stress",20,5.3174366035
"adaptive_policy",21,39.5368852641667
"baseline",21,26.6000399998333
"high_extraction",21,0
"shock_stress",21,4.013261437
"adaptive_policy",22,39.5906896505
"baseline",22,23.8003545461667
"high_extraction",22,0
"shock_stress",22,3.13206478133333
"adaptive_policy",23,39.6433054638333
"baseline",23,20.9156396156667
"high_extraction",23,0
"shock_stress",23,2.15148818966667
"adaptive_policy",24,40.1512701218333
"baseline",24,17.8944538195
"high_extraction",24,0
"shock_stress",24,1.49997824683333
"adaptive_policy",25,39.8347869151667
"baseline",25,14.65401006
"high_extraction",25,0
"shock_stress",25,0.953266969666667
"adaptive_policy",26,40.6122684343333
"baseline",26,11.7286841773333
"high_extraction",26,0
"shock_stress",26,0.697729986833333
"adaptive_policy",27,39.771868947
"baseline",27,8.62636402466667
"high_extraction",27,0
"shock_stress",27,0.414961444666667
"adaptive_policy",28,39.372558543
"baseline",28,5.90828030683333
"high_extraction",28,0
"shock_stress",28,0.200774012833333
"adaptive_policy",29,40.0754185051667
"baseline",29,3.75069952516667
"high_extraction",29,0
"shock_stress",29,0.132559833
"adaptive_policy",30,39.6974870598333
"baseline",30,2.28728446466667
"high_extraction",30,0
"shock_stress",30,0.0545228151666667
"adaptive_policy",31,40.082702783
"baseline",31,1.1617304995
"high_extraction",31,0
"shock_stress",31,0
"adaptive_policy",32,40.0273315208333
"baseline",32,0.225526473
"high_extraction",32,0
"shock_stress",32,0
"adaptive_policy",33,40.5579754536667
"baseline",33,0
"high_extraction",33,0
"shock_stress",33,0
"adaptive_policy",34,40.1900741203333
"baseline",34,0
"high_extraction",34,0
"shock_stress",34,0
"adaptive_policy",35,40.0675390573333
"baseline",35,0
"high_extraction",35,0
"shock_stress",35,0
"adaptive_policy",36,40.2714632893333
"baseline",36,0
"high_extraction",36,0
"shock_stress",36,0
"adaptive_policy",37,39.8318817208333
"baseline",37,0
"high_extraction",37,0
"shock_stress",37,0
"adaptive_policy",38,40.2803180908333
"baseline",38,0
"high_extraction",38,0
"shock_stress",38,0
"adaptive_policy",39,39.8959771108333
"baseline",39,0
"high_extraction",39,0
"shock_stress",39,0
"adaptive_policy",40,39.898477675
"baseline",40,0
"high_extraction",40,0
"shock_stress",40,0
"adaptive_policy",41,40.0971963838333
"baseline",41,0
"high_extraction",41,0
"shock_stress",41,0
"adaptive_policy",42,39.58697469
"baseline",42,0
"high_extraction",42,0
"shock_stress",42,0
"adaptive_policy",43,40.026322535
"baseline",43,0
"high_extraction",43,0
"shock_stress",43,0
"adaptive_policy",44,39.6349366631667
"baseline",44,0
"high_extraction",44,0
"shock_stress",44,0
"adaptive_policy",45,39.8134728391667
"baseline",45,0
"high_extraction",45,0
"shock_stress",45,0
"adaptive_policy",46,39.87645683
"baseline",46,0
"high_extraction",46,0
"shock_stress",46,0
"adaptive_policy",47,40.593822123
"baseline",47,0
"high_extraction",47,0
"shock_stress",47,0
"adaptive_policy",48,40.0901095665
"baseline",48,0
"high_extraction",48,0
"shock_stress",48,0
"adaptive_policy",49,39.9689590686667
"baseline",49,0
"high_extraction",49,0
"shock_stress",49,0
"adaptive_policy",50,40.2273842575
"baseline",50,0
"high_extraction",50,0
"shock_stress",50,0
