scenario,seed,step,resource_stock,depleted
baseline,4,2,65.71096888,0
baseline,4,3,63.7666667,0
baseline,4,4,61.9255287,0
baseline,4,5,60.16953588,0
baseline,4,6,58.48338085,0
baseline,4,7,56.8538389,0
baseline,4,8,55.26928371,0
baseline,4,9,53.71930607,0
baseline,4,10,52.19440625,0
baseline,4,11,50.68573849,0
baseline,4,12,49.18489206,0
baseline,4,13,47.68369614,0
baseline,4,14,46.17403867,0
baseline,4,15,44.6476903,0
baseline,4,16,43.09612531,0
baseline,4,17,41.51033104,0
baseline,4,18,39.88059697,0
baseline,4,19,38.1962728,0
baseline,4,20,36.44548245,0
baseline,4,21,34.61477754,0
baseline,4,22,32.68870842,0
baseline,4,23,30.64928295,0
baseline,4,24,28.4752725,0
baseline,4,25,26.14130749,0
baseline,4,26,23.61668051,0
baseline,4,27,20.86373733,0
baseline,4,28,17.83567808,0
baseline,4,29,14.47349959,0
baseline,4,30,10.70166158,0
baseline,4,31,6.42181465,0
baseline,4,32,1.50350982,1
baseline,4,33,0.0,1
baseline,4,34,0.0,1
baseline,4,35,0.0,1
baseline,4,36,0.0,1
baseline,4,37,0.0,1
baseline,4,38,0.0,1
baseline,4,39,0.0,1
baseline,4,40,0.0,1
baseline,4,41,0.0,1
baseline,4,42,0.0,1
baseline,4,43,0.0,1
baseline,4,44,0.0,1
baseline,4,45,0.0,1
baseline,4,46,0.0,1
baseline,4,47,0.0,1
baseline,4,48,0.0,1
baseline,4,49,0.0,1
baseline,4,50,0.0,1
baseline,5,0,70.0,0
baseline,5,1,67.78,0
baseline,5,2,65.71096888,0
baseline,5,3,63.7666667,0
baseline,5,4,61.9255287,0
baseline,5,5,60.16953588,0
baseline,5,6,58.48338085,0
baseline,5,7,51.00550081,0
baseline,5,8,49.50368096,0
baseline,5,9,48.00323756,0
baseline,5,10,46.49606085,0
baseline,5,11,44.97396119,0
baseline,5,12,43.42849127,0
baseline,5,13,41.85075876,0
baseline,5,14,40.23122052,0
baseline,5,15,38.55944823,0
baseline,5,16,36.82385302,0
baseline,5,17,31.32896819,0
baseline,5,18,29.20147482,0
baseline,5,19,26.92283325,0
baseline,5,20,24.46423312,0
baseline,5,21,21.79049742,0
baseline,5,22,18.85810056,0
baseline,5,23,15.61242834,0
baseline,5,24,11.98391918,0
baseline,5,25,7.88251886,0
baseline,5,26,3.18953087,1
baseline,5,27,0.0,1
baseline,5,28,0.0,1
baseline,5,29,0.0,1
baseline,5,30,0.0,1
baseline,5,31,0.0,1
baseline,5,32,0.0,1
baseline,5,33,0.0,1
baseline,5,34,0.0,1
baseline,5,35,0.0,1
baseline,5,36,0.0,1
baseline,5,37,0.0,1
baseline,5,38,0.0,1
baseline,5,39,0.0,1
baseline,5,40,0.0,1
baseline,5,41,0.0,1
baseline,5,42,0.0,1
baseline,5,43,0.0,1
baseline,5,44,0.0,1
baseline,5,45,0.0,1
baseline,5,46,0.0,1
baseline,5,47,0.0,1
baseline,5,48,0.0,1
baseline,5,49,0.0,1
baseline,5,50,0.0,1
baseline,6,0,70.0,0
baseline,6,1,67.78,0
baseline,6,2,65.71096888,0
baseline,6,3,63.7666667,0
baseline,6,4,61.9255287,0
baseline,6,5,53.97698301,0
baseline,6,6,52.4485135,0
baseline,6,7,50.93772211,0
baseline,6,8,49.43613932,0
baseline,6,9,47.93556704,0
baseline,6,10,46.42789564,0
baseline,6,11,44.90492777,0
baseline,6,12,43.3582002,0
baseline,6,13,41.77879589,0
baseline,6,14,40.15713714,0
baseline,6,15,38.48274963,0
baseline,6,16,36.74398493,0
baseline,6,17,34.92768545,0
baseline,6,18,33.01877105,0
baseline,6,19,30.9997192,0
baseline,6,20,28.84989999,0
baseline,6,21,26.54471188,0
baseline,6,22,24.05444091,0
baseline,6,23,21.34273124,0
baseline,6,24,18.36450094,0
baseline,6,25,15.0630523,0
baseline,6,26,11.36598974,0
baseline,6,27,7.17933359,0
baseline,6,28,2.37883654,1
baseline,6,29,0.0,1
baseline,6,30,0.0,1
baseline,6,31,0.0,1
baseline,6,32,0.0,1
baseline,6,33,0.0,1
baseline,6,34,0.0,1
baseline,6,35,0.0,1
baseline,6,36,0.0,1
baseline,6,37,0.0,1
baseline,6,38,0.0,1
baseline,6,39,0.0,1
baseline,6,40,0.0,1
baseline,6,41,0.0,1
baseline,6,42,0.0,1
baseline,6,43,0.0,1
baseline,6,44,0.0,1
baseline,6,45,0.0,1
baseline,6,46,0.0,1
baseline,6,47,0.0,1
baseline,6,48,0.0,1
baseline,6,49,0.0,1
baseline,6,50,0.0,1
baseline,7,0,70.0,0
baseline,7,1,67.78,0
baseline,7,2,65.71096888,0
baseline,7,3,63.7666667,0
baseline,7,4,61.9255287,0
baseline,7,5,60.16953588,0
baseline,7,6,58.48338085,0
baseline,7,7,56.8538389,0
baseline,7,8,55.26928371,0
baseline,7,9,48.1923777,0
baseline,7,10,46.68649621,0
baseline,7,11,45.16673345,0
baseline,7,12,43.62468461,0
baseline,7,13,42.05152425,0
baseline,7,14,40.43780337,0
baseline,7,15,38.77321928,0
baseline,7,16,37.04634619,0
baseline,7,17,35.24431133,0
baseline,7,18,33.3523967,0
baseline,7,19,31.35353985,0
baseline,7,20,29.22769699,0
baseline,7,21,26.95101756,0
baseline,7,22,21.79965574,0
baseline,7,23,18.86818879,0
baseline,7,24,15.62364739,0
baseline,7,25,11.99652688,0
baseline,7,26,7.89685173,0
baseline,7,27,3.20603656,1
baseline,7,28,0.0,1
baseline,7,29,0.0,1
baseline,7,30,0.0,1
baseline,7,31,0.0,1
baseline,7,32,0.0,1
baseline,7,33,0.0,1
baseline,7,34,0.0,1
baseline,7,35,0.0,1
baseline,7,36,0.0,1
baseline,7,37,0.0,1
baseline,7,38,0.0,1
baseline,7,39,0.0,1
baseline,7,40,0.0,1
baseline,7,41,0.0,1
baseline,7,42,0.0,1
baseline,7,43,0.0,1
baseline,7,44,0.0,1
baseline,7,45,0.0,1
baseline,7,46,0.0,1
baseline,7,47,0.0,1
baseline,7,48,0.0,1
baseline,7,49,0.0,1
baseline,7,50,0.0,1
baseline,8,0,70.0,0
baseline,8,1,67.78,0
baseline,8,2,65.71096888,0
baseline,8,3,63.7666667,0
baseline,8,4,61.9255287,0
baseline,8,5,60.16953588,0
baseline,8,6,58.48338085,0
baseline,8,7,56.8538389,0
baseline,8,8,55.26928371,0
baseline,8,9,53.71930607,0
baseline,8,10,52.19440625,0
baseline,8,11,50.68573849,0
baseline,8,12,49.18489206,0
baseline,8,13,47.68369614,0
baseline,8,14,46.17403867,0
baseline,8,15,44.6476903,0
baseline,8,16,43.09612531,0
baseline,8,17,37.20071851,0
baseline,8,18,35.40583961,0
baseline,8,19,33.52245848,0
baseline,8,20,31.53374161,0
baseline,8,21,29.41993675,0
baseline,8,22,27.15756654,0
baseline,8,23,24.71836836,0
baseline,8,24,22.06787875,0
baseline,8,25,19.16351263,0
baseline,8,26,15.95191252,0
baseline,8,27,12.36522244,0
baseline,8,28,8.31574478,0
baseline,8,29,3.68810594,1
baseline,8,30,0.0,1
baseline,8,31,0.0,1
baseline,8,32,0.0,1
baseline,8,33,0.0,1
baseline,8,34,0.0,1
baseline,8,35,0.0,1
baseline,8,36,0.0,1
baseline,8,37,0.0,1
baseline,8,38,0.0,1
baseline,8,39,0.0,1
baseline,8,40,0.0,1
baseline,8,41,0.0,1
baseline,8,42,0.0,1
baseline,8,43,0.0,1
baseline,8,44,0.0,1
baseline,8,45,0.0,1
baseline,8,46,0.0,1
baseline,8,47,0.0,1
baseline,8,48,0.0,1
baseline,8,49,0.0,1
baseline,8,50,0.0,1
baseline,9,0,70.0,0
baseline,9,1,67.78,0
baseline,9,2,65.71096888,0
baseline,9,3,63.7666667,0
baseline,9,4,61.9255287,0
baseline,9,5,53.97698301,0
baseline,9,6,52.4485135,0
baseline,9,7,50.93772211,0
baseline,9,8,49.43613932,0
baseline,9,9,47.93556704,0
baseline,9,10,46.42789564,0
baseline,9,11,40.26213821,0
baseline,9,12,38.59145149,0
baseline,9,13,36.85717253,0
baseline,9,14,35.04625149,0
baseline,9,15,33.14374522,0
baseline,9,16,31.13230523,0
baseline,9,17,28.9915234,0
baseline,9,18,26.69708244,0
baseline,9,19,24.2196357,0
baseline,9,20,21.52330677,0
baseline,9,21,18.56364706,0
baseline,9,22,15.28480735,0
baseline,9,23,11.61554707,0
baseline,9,24,7.46348786,0
baseline,9,25,2.7066491,1
baseline,9,26,0.0,1
baseline,9,27,0.0,1
baseline,9,28,0.0,1
baseline,9,29,0.0,1
baseline,9,30,0.0,1
baseline,9,31,0.0,1
baseline,9,32,0.0,1
baseline,9,33,0.0,1
baseline,9,34,0.0,1
baseline,9,35,0.0,1
baseline,9,36,0.0,1
baseline,9,37,0.0,1
baseline,9,38,0.0,1
baseline,9,39,0.0,1
baseline,9,40,0.0,1
baseline,9,41,0.0,1
baseline,9,42,0.0,1
baseline,9,43,0.0,1
baseline,9,44,0.0,1
baseline,9,45,0.0,1
baseline,9,46,0.0,1
baseline,9,47,0.0,1
baseline,9,48,0.0,1
baseline,9,49,0.0,1
baseline,9,50,0.0,1
baseline,10,0,70.0,0
baseline,10,1,67.78,0
baseline,10,2,65.71096888,0
baseline,10,3,63.7666667,0
baseline,10,4,61.9255287,0
baseline,10,5,60.16953588,0
baseline,10,6,58.48338085,0
baseline,10,7,56.8538389,0
baseline,10,8,55.26928371,0
baseline,10,9,53.71930607,0
baseline,10,10,52.19440625,0
baseline,10,11,50.68573849,0
baseline,10,12,49.18489206,0
baseline,10,13,47.68369614,0
baseline,10,14,41.40566905,0
baseline,10,15,39.77271651,0
baseline,10,16,38.08444132,0
baseline,10,17,36.32887635,0
baseline,10,18,34.49245703,0
baseline,10,19,32.55958603,0
baseline,10,20,30.51208356,0
baseline,10,21,28.32848156,0
baseline,10,22,25.98310308,0
baseline,10,23,23.44484268,0
baseline,10,24,20.67552519,0
baseline,10,25,17.62766051,0
baseline,10,26,14.24131746,0
baseline,10,27,10.43968738,0
baseline,10,28,5.07868564,0
baseline,10,29,0.0,1
baseline,10,30,0.0,1
baseline,10,31,0.0,1
baseline,10,32,0.0,1
baseline,10,33,0.0,1
baseline,10,34,0.0,1
baseline,10,35,0.0,1
baseline,10,36,0.0,1
baseline,10,37,0.0,1
baseline,10,38,0.0,1
baseline,10,39,0.0,1
baseline,10,40,0.0,1
baseline,10,41,0.0,1
baseline,10,42,0.0,1
baseline,10,43,0.0,1
baseline,10,44,0.0,1
baseline,10,45,0.0,1
baseline,10,46,0.0,1
baseline,10,47,0.0,1
baseline,10,48,0.0,1
baseline,10,49,0.0,1
baseline,10,50,0.0,1
baseline,11,0,70.0,0
baseline,11,1,67.78,0
baseline,11,2,65.71096888,0
baseline,11,3,63.7666667,0
baseline,11,4,61.9255287,0
baseline,11,5,60.16953588,0
baseline,11,6,58.48338085,0
baseline,11,7,56.8538389,0
baseline,11,8,55.26928371,0
baseline,11,9,53.71930607,0
baseline,11,10,52.19440625,0
baseline,11,11,50.68573849,0
baseline,11,12,49.18489206,0
baseline,11,13,47.68369614,0
baseline,11,14,46.17403867,0
baseline,11,15,44.6476903,0
baseline,11,16,38.63135628,0
baseline,11,17,36.89871337,0
baseline,11,18,35.08975469,0
baseline,11,19,33.18958694,0
baseline,11,20,31.18092497,0
baseline,11,21,29.04344131,0
baseline,11,22,23.84857795,0
baseline,11,23,21.11756357,0
baseline,11,24,18.11601233,0
baseline,11,25,14.78615273,0
baseline,11,26,11.05412566,0
baseline,11,27,5.71850706,0
baseline,11,28,0.68897595,1
baseline,11,29,0.0,1
baseline,11,30,0.0,1
baseline,11,31,0.0,1
baseline,11,32,0.0,1
baseline,11,33,0.0,1
baseline,11,34,0.0,1
baseline,11,35,0.0,1
baseline,11,36,0.0,1
baseline,11,37,0.0,1
baseline,11,38,0.0,1
baseline,11,39,0.0,1
baseline,11,40,0.0,1
baseline,11,41,0.0,1
baseline,11,42,0.0,1
baseline,11,43,0.0,1
baseline,11,44,0.0,1
baseline,11,45,0.0,1
baseline,11,46,0.0,1
baseline,11,47,0.0,1
baseline,11,48,0.0,1
baseline,11,49,0.0,1
baseline,11,50,0.0,1
baseline,12,0,70.0,0
baseline,12,1,67.78,0
baseline,12,2,65.71096888,0
baseline,12,3,63.7666667,0
baseline,12,4,61.9255287,0
baseline,12,5,53.97698301,0
baseline,12,6,52.4485135,0
baseline,12,7,50.93772211,0
baseline,12,8,49.43613932,0
baseline,12,9,47.93556704,0
baseline,12,10,46.42789564,0
baseline,12,11,44.90492777,0
baseline,12,12,43.3582002,0
baseline,12,13,41.77879589,0
baseline,12,14,40.15713714,0
baseline,12,15,38.48274963,0
baseline,12,16,36.74398493,0
baseline,12,17,34.92768545,0
baseline,12,18,33.01877105,0
baseline,12,19,30.9997192,0
baseline,12,20,28.84989999,0
baseline,12,21,26.54471188,0
baseline,12,22,24.05444091,0
baseline,12,23,21.34273124,0
baseline,12,24,16.23022782,0
baseline,12,25,12.6775123,0
baseline,12,26,8.67016974,0
baseline,12,27,4.09549097,1
baseline,12,28,0.0,1
baseline,12,29,0.0,1
baseline,12,30,0.0,1
baseline,12,31,0.0,1
baseline,12,32,0.0,1
baseline,12,33,0.0,1
baseline,12,34,0.0,1
baseline,12,35,0.0,1
baseline,12,36,0.0,1
baseline,12,37,0.0,1
baseline,12,38,0.0,1
baseline,12,39,0.0,1
baseline,12,40,0.0,1
baseline,12,41,0.0,1
baseline,12,42,0.0,1
baseline,12,43,0.0,1
baseline,12,44,0.0,1
baseline,12,45,0.0,1
baseline,12,46,0.0,1
baseline,12,47,0.0,1
baseline,12,48,0.0,1
baseline,12,49,0.0,1
baseline,12,50,0.0,1
baseline,13,0,70.0,0
baseline,13,1,67.78,0
baseline,13,2,65.71096888,0
baseline,13,3,63.7666667,0
baseline,13,4,61.9255287,0
baseline,13,5,60.16953588,0
baseline,13,6,58.48338085,0
baseline,13,7,56.8538389,0
baseline,13,8,55.26928371,0
baseline,13,9,53.71930607,0
baseline,13,10,52.19440625,0
baseline,13,11,50.68573849,0
baseline,13,12,49.18489206,0
baseline,13,13,47.68369614,0
baseline,13,14,46.17403867,0
baseline,13,15,44.6476903,0
baseline,13,16,43.09612531,0
baseline,13,17,37.20071851,0
baseline,13,18,35.40583961,0
baseline,13,19,33.52245848,0
baseline,13,20,31.53374161,0
baseline,13,21,29.41993675,0
baseline,13,22,27.15756654,0
baseline,13,23,24.71836836,0
baseline,13,24,22.06787875,0
baseline,13,25,19.16351263,0
baseline,13,26,15.95191252,0
baseline,13,27,12.36522244,0
baseline,13,28,8.31574478,0
baseline,13,29,3.68810594,1
baseline,13,30,0.0,1
baseline,13,31,0.0,1
baseline,13,32,0.0,1
baseline,13,33,0.0,1
baseline,13,34,0.0,1
baseline,13,35,0.0,1
baseline,13,36,0.0,1
baseline,13,37,0.0,1
baseline,13,38,0.0,1
baseline,13,39,0.0,1
baseline,13,40,0.0,1
baseline,13,41,0.0,1
baseline,13,42,0.0,1
baseline,13,43,0.0,1
baseline,13,44,0.0,1
baseline,13,45,0.0,1
baseline,13,46,0.0,1
baseline,13,47,0.0,1
baseline,13,48,0.0,1
baseline,13,49,0.0,1
baseline,13,50,0.0,1
baseline,14,0,70.0,0
baseline,14,1,67.78,0
baseline,14,2,65.71096888,0
baseline,14,3,63.7666667,0
baseline,14,4,61.9255287,0
baseline,14,5,60.16953588,0
baseline,14,6,58.48338085,0
baseline,14,7,56.8538389,0
baseline,14,8,55.26928371,0
baseline,14,9,53.71930607,0
baseline,14,10,52.19440625,0
baseline,14,11,50.68573849,0
baseline,14,12,49.18489206,0
baseline,14,13,47.68369614,0
baseline,14,14,46.17403867,0
baseline,14,15,44.6476903,0
baseline,14,16,43.09612531,0
baseline,14,17,41.51033104,0
baseline,14,18,39.88059697,0
baseline,14,19,38.1962728,0
baseline,14,20,36.44548245,0
baseline,14,21,34.61477754,0
baseline,14,22,32.68870842,0
baseline,14,23,30.64928295,0
baseline,14,24,28.4752725,0
baseline,14,25,26.14130749,0
baseline,14,26,23.61668051,0
baseline,14,27,20.86373733,0
baseline,14,28,17.83567808,0
baseline,14,29,14.47349959,0
baseline,14,30,10.70166158,0
baseline,14,31,6.42181465,0
baseline,14,32,1.50350982,1
baseline,14,33,0.0,1
baseline,14,34,0.0,1
baseline,14,35,0.0,1
baseline,14,36,0.0,1
baseline,14,37,0.0,1
baseline,14,38,0.0,1
baseline,14,39,0.0,1
baseline,14,40,0.0,1
baseline,14,41,0.0,1
baseline,14,42,0.0,1
baseline,14,43,0.0,1
baseline,14,44,0.0,1
baseline,14,45,0.0,1
baseline,14,46,0.0,1
baseline,14,47,0.0,1
baseline,14,48,0.0,1
baseline,14,49,0.0,1
baseline,14,50,0.0,1
baseline,15,0,70.0,0
baseline,15,1,67.78,0
baseline,15,2,58.93296888,0
baseline,15,3,57.2893326,0
baseline,15,4,55.69369074,0
baseline,15,5,54.13533813,0
baseline,15,6,47.19102248,0
baseline,15,7,45.67681984,0
baseline,15,8,44.14317804,0
baseline,15,9,42.58143379,0
baseline,15,10,40.98237056,0
baseline,15,11,39.33599881,0
baseline,15,12,37.63130115,0
baseline,15,13,35.85592867,0
baseline,15,14,33.99583012,0
baseline,15,15,32.0347899,0
baseline,15,16,29.95384211,0
baseline,15,17,27.7305149,0
baseline,15,18,25.33784096,0
baseline,15,19,22.74304121,0
baseline,15,20,19.90574596,0
baseline,15,21,16.77555053,0
baseline,15,22,13.28859526,0
baseline,15,23,9.36268623,0
baseline,15,24,4.89018194,1
baseline,15,25,0.0,1
baseline,15,26,0.0,1
baseline,15,27,0.0,1
baseline,15,28,0.0,1
baseline,15,29,0.0,1
baseline,15,30,0.0,1
baseline,15,31,0.0,1
baseline,15,32,0.0,1
baseline,15,33,0.0,1
baseline,15,34,0.0,1
baseline,15,35,0.0,1
baseline,15,36,0.0,1
baseline,15,37,0.0,1
baseline,15,38,0.0,1
baseline,15,39,0.0,1
baseline,15,40,0.0,1
baseline,15,41,0.0,1
baseline,15,42,0.0,1
baseline,15,43,0.0,1
baseline,15,44,0.0,1
baseline,15,45,0.0,1
baseline,15,46,0.0,1
baseline,15,47,0.0,1
baseline,15,48,0.0,1
baseline,15,49,0.0,1
baseline,15,50,0.0,1
baseline,16,0,70.0,0
baseline,16,1,67.78,0
baseline,16,2,65.71096888,0
baseline,16,3,63.7666667,0
baseline,16,4,61.9255287,0
baseline,16,5,60.16953588,0
baseline,16,6,58.48338085,0
baseline,16,7,56.8538389,0
baseline,16,8,55.26928371,0
baseline,16,9,48.1923777,0
baseline,16,10,46.68649621,0
baseline,16,11,45.16673345,0
baseline,16,12,43.62468461,0
baseline,16,13,42.05152425,0
baseline,16,14,40.43780337,0
baseline,16,15,38.77321928,0
baseline,16,16,37.04634619,0
baseline,16,17,35.24431133,0
baseline,16,18,33.3523967,0
baseline,16,19,31.35353985,0
baseline,16,20,29.22769699,0
baseline,16,21,24.02824786,0
baseline,16,22,21.31409043,0
baseline,16,23,18.33290389,0
baseline,16,24,15.02785494,0
baseline,16,25,11.32636326,0
baseline,16,26,7.13419294,0
baseline,16,27,2.3267336,1
baseline,16,28,0.0,1
baseline,16,29,0.0,1
baseline,16,30,0.0,1
baseline,16,31,0.0,1
baseline,16,32,0.0,1
baseline,16,33,0.0,1
baseline,16,34,0.0,1
baseline,16,35,0.0,1
baseline,16,36,0.0,1
baseline,16,37,0.0,1
baseline,16,38,0.0,1
baseline,16,39,0.0,1
baseline,16,40,0.0,1
baseline,16,41,0.0,1
baseline,16,42,0.0,1
baseline,16,43,0.0,1
baseline,16,44,0.0,1
baseline,16,45,0.0,1
baseline,16,46,0.0,1
baseline,16,47,0.0,1
baseline,16,48,0.0,1
baseline,16,49,0.0,1
baseline,16,50,0.0,1
baseline,17,0,70.0,0
baseline,17,1,67.78,0
baseline,17,2,65.71096888,0
baseline,17,3,63.7666667,0
baseline,17,4,61.9255287,0
baseline,17,5,60.16953588,0
baseline,17,6,58.48338085,0
baseline,17,7,56.8538389,0
baseline,17,8,55.26928371,0
baseline,17,9,48.1923777,0
baseline,17,10,46.68649621,0
baseline,17,11,45.16673345,0
baseline,17,12,43.62468461,0
baseline,17,13,42.05152425,0
baseline,17,14,40.43780337,0
baseline,17,15,38.77321928,0
baseline,17,16,37.04634619,0
baseline,17,17,35.24431133,0
baseline,17,18,33.3523967,0
baseline,17,19,31.35353985,0
baseline,17,20,29.22769699,0
baseline,17,21,26.95101756,0
baseline,17,22,24.4947575,0
baseline,17,23,21.82382619,0
baseline,17,24,18.894812,0
baseline,17,25,15.65325311,0
baseline,17,26,12.02979487,0
baseline,17,27,7.9346692,0
baseline,17,28,3.24958351,1
baseline,17,29,0.0,1
baseline,17,30,0.0,1
baseline,17,31,0.0,1
baseline,17,32,0.0,1
baseline,17,33,0.0,1
baseline,17,34,0.0,1
baseline,17,35,0.0,1
baseline,17,36,0.0,1
baseline,17,37,0.0,1
baseline,17,38,0.0,1
baseline,17,39,0.0,1
baseline,17,40,0.0,1
baseline,17,41,0.0,1
baseline,17,42,0.0,1
baseline,17,43,0.0,1
baseline,17,44,0.0,1
baseline,17,45,0.0,1
baseline,17,46,0.0,1
baseline,17,47,0.0,1
baseline,17,48,0.0,1
baseline,17,49,0.0,1
baseline,17,50,0.0,1
baseline,18,0,70.0,0
baseline,18,1,67.78,0
baseline,18,2,65.71096888,0
baseline,18,3,63.7666667,0
baseline,18,4,61.9255287,0
baseline,18,5,60.16953588,0
baseline,18,6,58.48338085,0
baseline,18,7,56.8538389,0
baseline,18,8,55.26928371,0
baseline,18,9,53.71930607,0
baseline,18,10,52.19440625,0
baseline,18,11,50.68573849,0
baseline,18,12,49.18489206,0
baseline,18,13,47.68369614,0
baseline,18,14,46.17403867,0
baseline,18,15,44.6476903,0
baseline,18,16,43.09612531,0
baseline,18,17,41.51033104,0
baseline,18,18,39.88059697,0
baseline,18,19,38.1962728,0
baseline,18,20,36.44548245,0
baseline,18,21,34.61477754,0
baseline,18,22,32.68870842,0
baseline,18,23,30.64928295,0
baseline,18,24,28.4752725,0
baseline,18,25,26.14130749,0
baseline,18,26,23.61668051,0
baseline,18,27,18.50206928,0
baseline,18,28,15.21625392,0
baseline,18,29,11.53841774,0
baseline,18,30,7.37568978,0
baseline,18,31,2.6053925,1
baseline,18,32,0.0,1
baseline,18,33,0.0,1
baseline,18,34,0.0,1
baseline,18,35,0.0,1
baseline,18,36,0.0,1
baseline,18,37,0.0,1
baseline,18,38,0.0,1
baseline,18,39,0.0,1
baseline,18,40,0.0,1
baseline,18,41,0.0,1
baseline,18,42,0.0,1
baseline,18,43,0.0,1
baseline,18,44,0.0,1
baseline,18,45,0.0,1
baseline,18,46,0.0,1
baseline,18,47,0.0,1
baseline,18,48,0.0,1
baseline,18,49,0.0,1
baseline,18,50,0.0,1
baseline,19,0,70.0,0
baseline,19,1,67.78,0
baseline,19,2,65.71096888,0
baseline,19,3,63.7666667,0
baseline,19,4,61.9255287,0
baseline,19,5,60.16953588,0
baseline,19,6,58.48338085,0
baseline,19,7,56.8538389,0
baseline,19,8,55.26928371,0
