index,time,rate,left_cumulative,trapezoid_cumulative,true_cumulative,error
63,6.3,2.64681,14.5523,14.5846,14.5846,1.17823e-07
64,6.4,2.75655,14.817,14.8548,14.8548,5.68018e-06
65,6.5,2.86512,15.0926,15.1359,15.1359,1.95136e-05
66,6.6,2.97154,15.3791,15.4277,15.4278,4.14798e-05
67,6.7,3.07485,15.6763,15.73,15.7301,7.13593e-05
68,6.8,3.17411,15.9838,16.0425,16.0426,0.000108854
69,6.9,3.26844,16.3012,16.3646,16.3648,0.000153588
70,7,3.35699,16.628,16.6959,16.6961,0.000205116
71,7.1,3.43897,16.9637,17.0357,17.036,0.000262922
72,7.2,3.51367,17.3076,17.3833,17.3836,0.000326428
73,7.3,3.58044,17.659,17.738,17.7384,0.000395001
74,7.4,3.63871,18.017,18.099,18.0995,0.000467955
75,7.5,3.688,18.3809,18.4653,18.4659,0.000544561
76,7.6,3.72792,18.7497,18.8361,18.8367,0.000624054
77,7.7,3.75817,19.1225,19.2104,19.2111,0.000705639
78,7.8,3.77854,19.4983,19.5873,19.588,0.000788502
79,7.9,3.78894,19.8762,19.9656,19.9665,0.000871814
80,8,3.78936,20.2551,20.3445,20.3455,0.000954742
81,8.1,3.77989,20.634,20.723,20.724,0.00103646
82,8.2,3.76073,21.012,21.1,21.1012,0.00111615
83,8.3,3.73217,21.3881,21.4747,21.4759,0.00119301
84,8.4,3.6946,21.7613,21.846,21.8473,0.00126628
85,8.5,3.64849,22.1308,22.2132,22.2145,0.00133523
86,8.6,3.5944,22.4956,22.5753,22.5767,0.00139917
87,8.7,3.53297,22.855,22.9317,22.9331,0.00145745
88,8.8,3.46492,23.2083,23.2816,23.2831,0.0015095
89,8.9,3.39102,23.5548,23.6244,23.6259,0.00155479
90,9,3.31212,23.8939,23.9595,23.9611,0.00159287
91,9.1,3.2291,24.2251,24.2866,24.2882,0.00162337
92,9.2,3.14289,24.5481,24.6052,24.6068,0.00164598
93,9.3,3.05445,24.8623,24.9151,24.9167,0.00166046
94,9.4,2.96478,25.1678,25.216,25.2177,0.00166669
95,9.5,2.87485,25.4643,25.508,25.5097,0.00166459
96,9.6,2.78567,25.7518,25.791,25.7927,0.00165418
97,9.7,2.69824,26.0303,26.0652,26.0669,0.00163558
98,9.8,2.61352,26.3001,26.3308,26.3324,0.00160896
99,9.9,2.53246,26.5615,26.5881,26.5897,0.00157459
100,10,2.45598,26.8147,26.8375,26.8391,0.00153282
