step,time,storage,rate_of_change,raw_next_storage,next_storage,shortage,overflow
51,12.750000,89.299775,0.660503,89.464901,89.464901,0.000000,0.000000
52,13.000000,89.464901,0.658026,89.629407,89.629407,0.000000,0.000000
53,13.250000,89.629407,0.655559,89.793297,89.793297,0.000000,0.000000
54,13.500000,89.793297,0.653101,89.956572,89.956572,0.000000,0.000000
55,13.750000,89.956572,0.650651,90.119235,90.119235,0.000000,0.000000
56,14.000000,90.119235,0.648211,90.281288,90.281288,0.000000,0.000000
57,14.250000,90.281288,0.645781,90.442733,90.442733,0.000000,0.000000
58,14.500000,90.442733,0.643359,90.603573,90.603573,0.000000,0.000000
59,14.750000,90.603573,0.640946,90.763810,90.763810,0.000000,0.000000
60,15.000000,90.763810,0.638543,90.923445,90.923445,0.000000,0.000000
61,15.250000,90.923445,0.636148,91.082482,91.082482,0.000000,0.000000
62,15.500000,91.082482,0.633763,91.240923,91.240923,0.000000,0.000000
63,15.750000,91.240923,0.631386,91.398770,91.398770,0.000000,0.000000
64,16.000000,91.398770,0.629018,91.556024,91.556024,0.000000,0.000000
65,16.250000,91.556024,0.626660,91.712689,91.712689,0.000000,0.000000
66,16.500000,91.712689,0.624310,91.868766,91.868766,0.000000,0.000000
67,16.750000,91.868766,0.621969,92.024259,92.024259,0.000000,0.000000
68,17.000000,92.024259,0.619636,92.179168,92.179168,0.000000,0.000000
69,17.250000,92.179168,0.617312,92.333496,92.333496,0.000000,0.000000
70,17.500000,92.333496,0.614998,92.487245,92.487245,0.000000,0.000000
71,17.750000,92.487245,0.612691,92.640418,92.640418,0.000000,0.000000
72,18.000000,92.640418,0.610394,92.793016,92.793016,0.000000,0.000000
73,18.250000,92.793016,0.608105,92.945043,92.945043,0.000000,0.000000
74,18.500000,92.945043,0.605824,93.096499,93.096499,0.000000,0.000000
75,18.750000,93.096499,0.603553,93.247387,93.247387,0.000000,0.000000
76,19.000000,93.247387,0.601289,93.397709,93.397709,0.000000,0.000000
77,19.250000,93.397709,0.599034,93.547468,93.547468,0.000000,0.000000
78,19.500000,93.547468,0.596788,93.696665,93.696665,0.000000,0.000000
79,19.750000,93.696665,0.594550,93.845302,93.845302,0.000000,0.000000
80,20.000000,93.845302,0.592320,93.993382,93.993382,0.000000,0.000000
81,20.250000,93.993382,0.590099,94.140907,94.140907,0.000000,0.000000
82,20.500000,94.140907,0.587886,94.287879,94.287879,0.000000,0.000000
83,20.750000,94.287879,0.585682,94.434299,94.434299,0.000000,0.000000
84,21.000000,94.434299,0.583486,94.580171,94.580171,0.000000,0.000000
85,21.250000,94.580171,0.581297,94.725495,94.725495,0.000000,0.000000
86,21.500000,94.725495,0.579118,94.870274,94.870274,0.000000,0.000000
87,21.750000,94.870274,0.576946,95.014511,95.014511,0.000000,0.000000
88,22.000000,95.014511,0.574782,95.158206,95.158206,0.000000,0.000000
89,22.250000,95.158206,0.572627,95.301363,95.301363,0.000000,0.000000
90,22.500000,95.301363,0.570480,95.443983,95.443983,0.000000,0.000000
91,22.750000,95.443983,0.568340,95.586068,95.586068,0.000000,0.000000
92,23.000000,95.586068,0.566209,95.727620,95.727620,0.000000,0.000000
93,23.250000,95.727620,0.564086,95.868642,95.868642,0.000000,0.000000
94,23.500000,95.868642,0.561970,96.009134,96.009134,0.000000,0.000000
95,23.750000,96.009134,0.559863,96.149100,96.149100,0.000000,0.000000
96,24.000000,96.149100,0.557763,96.288541,96.288541,0.000000,0.000000
97,24.250000,96.288541,0.555672,96.427459,96.427459,0.000000,0.000000
98,24.500000,96.427459,0.553588,96.565856,96.565856,0.000000,0.000000
99,24.750000,96.565856,0.551512,96.703734,96.703734,0.000000,0.000000
100,25.000000,96.703734,0.549444,96.841095,96.841095,0.000000,0.000000
101,25.250000,96.841095,0.547384,96.977941,96.977941,0.000000,0.000000
102,25.500000,96.977941,0.545331,97.114274,97.114274,0.000000,0.000000
103,25.750000,97.114274,0.543286,97.250095,97.250095,0.000000,0.000000
104,26.000000,97.250095,0.541249,97.385407,97.385407,0.000000,0.000000
105,26.250000,97.385407,0.539219,97.520212,97.520212,0.000000,0.000000
106,26.500000,97.520212,0.537197,97.654511,97.654511,0.000000,0.000000
107,26.750000,97.654511,0.535182,97.788307,97.788307,0.000000,0.000000
108,27.000000,97.788307,0.533175,97.921601,97.921601,0.000000,0.000000
109,27.250000,97.921601,0.531176,98.054395,98.054395,0.000000,0.000000
110,27.500000,98.054395,0.529184,98.186691,98.186691,0.000000,0.000000
111,27.750000,98.186691,0.527200,98.318491,98.318491,0.000000,0.000000
112,28.000000,98.318491,0.525223,98.449796,98.449796,0.000000,0.000000
113,28.250000,98.449796,0.523253,98.580609,98.580609,0.000000,0.000000
114,28.500000,98.580609,0.521291,98.710932,98.710932,0.000000,0.000000
115,28.750000,98.710932,0.519336,98.840766,98.840766,0.000000,0.000000
116,29.000000,98.840766,0.517389,98.970113,98.970113,0.000000,0.000000
117,29.250000,98.970113,0.515448,99.098975,99.098975,0.000000,0.000000
118,29.500000,99.098975,0.513515,99.227354,99.227354,0.000000,0.000000
119,29.750000,99.227354,0.511590,99.355252,99.355252,0.000000,0.000000
120,30.000000,99.355252,0.509671,99.482669,99.482669,0.000000,0.000000
121,30.250000,99.482669,0.507760,99.609609,99.609609,0.000000,0.000000
122,30.500000,99.609609,0.505856,99.736073,99.736073,0.000000,0.000000
123,30.750000,99.736073,0.503959,99.862063,99.862063,0.000000,0.000000
124,31.000000,99.862063,0.502069,99.987580,99.987580,0.000000,0.000000
125,31.250000,99.987580,0.500186,100.112627,100.000000,0.000000,0.112627
126,31.500000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
127,31.750000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
128,32.000000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
129,32.250000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
130,32.500000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
131,32.750000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
132,33.000000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
133,33.250000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
134,33.500000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
135,33.750000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
136,34.000000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
137,34.250000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
138,34.500000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
139,34.750000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
140,35.000000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
141,35.250000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
142,35.500000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
143,35.750000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
144,36.000000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
145,36.250000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
146,36.500000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
147,36.750000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
148,37.000000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
149,37.250000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
150,37.500000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
151,37.750000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
152,38.000000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
153,38.250000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
154,38.500000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
155,38.750000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
156,39.000000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
157,39.250000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
158,39.500000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
159,39.750000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
160,40.000000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
161,40.250000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
162,40.500000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
163,40.750000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
164,41.000000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
165,41.250000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
166,41.500000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
167,41.750000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
168,42.000000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
169,42.250000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
170,42.500000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
171,42.750000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
172,43.000000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
173,43.250000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
174,43.500000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
175,43.750000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
176,44.000000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
177,44.250000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
178,44.500000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
179,44.750000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
180,45.000000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
181,45.250000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
182,45.500000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
183,45.750000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
184,46.000000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
185,46.250000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
186,46.500000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
187,46.750000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
188,47.000000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
189,47.250000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
190,47.500000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
191,47.750000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
192,48.000000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
193,48.250000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
194,48.500000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
195,48.750000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
196,49.000000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
197,49.250000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
198,49.500000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
199,49.750000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
200,50.000000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
201,50.250000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
202,50.500000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
203,50.750000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
204,51.000000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
205,51.250000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
206,51.500000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
207,51.750000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
208,52.000000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
209,52.250000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
210,52.500000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
211,52.750000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
212,53.000000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
213,53.250000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
214,53.500000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
215,53.750000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
216,54.000000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
217,54.250000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
218,54.500000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
219,54.750000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
220,55.000000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
221,55.250000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
222,55.500000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
223,55.750000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
224,56.000000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
225,56.250000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
226,56.500000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
227,56.750000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
228,57.000000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
229,57.250000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
230,57.500000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
231,57.750000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
232,58.000000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
233,58.250000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
234,58.500000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
235,58.750000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
236,59.000000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
237,59.250000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
238,59.500000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
239,59.750000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
240,60.000000,100.000000,0.500000,100.125000,100.000000,0.000000,0.125000
