scenario,period,storage,inflow,demand,losses,shortage,capacity,storage_margin
dry_inflow,0,80.0,5.0,6.0,1.2,0.0,100.0,0.8
dry_inflow,1,77.8,5.0,6.06,1.167,0.0,100.0,0.778
dry_inflow,2,75.573,5.0,6.1206,1.133595,0.0,100.0,0.75573
dry_inflow,3,73.318805,5.0,6.181806,1.09978208,0.0,100.0,0.73318805
dry_inflow,4,71.03721693,5.0,6.24362406,1.06555825,0.0,100.0,0.71037217
dry_inflow,5,68.72803461,5.0,6.3060603,1.03092052,0.0,100.0,0.68728035
dry_inflow,6,66.39105379,5.0,6.3691209,0.99586581,0.0,100.0,0.66391054
dry_inflow,7,64.02606708,5.0,6.43281211,0.96039101,0.0,100.0,0.64026067
dry_inflow,8,61.63286396,5.0,6.49714023,0.92449296,0.0,100.0,0.61632864
dry_inflow,9,59.21123077,5.0,6.56211164,0.88816846,0.0,100.0,0.59211231
dry_inflow,10,56.76095067,5.0,6.62773275,0.85141426,0.0,100.0,0.56760951
dry_inflow,11,54.28180366,5.0,6.69401008,0.81422705,0.0,100.0,0.54281804
dry_inflow,12,51.77356652,5.0,6.76095018,0.7766035,0.0,100.0,0.51773567
dry_inflow,13,49.23601285,5.0,6.82855968,0.73854019,0.0,100.0,0.49236013
dry_inflow,14,46.66891297,5.0,6.89684528,0.70003369,0.0,100.0,0.46668913
dry_inflow,15,44.072034,5.0,6.96581373,0.66108051,0.0,100.0,0.44072034
dry_inflow,16,41.44513975,5.0,7.03547187,0.6216771,0.0,100.0,0.4144514
dry_inflow,17,38.78799079,5.0,7.10582659,0.58181986,0.0,100.0,0.38787991
dry_inflow,18,36.10034434,5.0,7.17688485,0.54150517,0.0,100.0,0.36100344
dry_inflow,19,33.38195432,5.0,7.2486537,0.50072931,0.0,100.0,0.33381954
dry_inflow,20,30.6325713,5.0,7.32114024,0.45948857,0.0,100.0,0.30632571
dry_inflow,21,27.85194249,5.0,7.39435164,0.41777914,0.0,100.0,0.27851942
dry_inflow,22,25.03981171,5.0,7.46829516,0.37559718,0.0,100.0,0.25039812
dry_inflow,23,22.19591938,5.0,7.54297811,0.33293879,0.0,100.0,0.22195919
dry_inflow,24,19.32000248,5.0,7.61840789,0.28980004,0.0,100.0,0.19320002
dry_inflow,25,16.41179455,5.0,7.69459197,0.24617692,0.0,100.0,0.16411795
dry_inflow,26,13.47102566,5.0,7.77153789,0.20206538,0.0,100.0,0.13471026
dry_inflow,27,10.49742239,5.0,7.84925327,0.15746134,0.0,100.0,0.10497422
dry_inflow,28,7.49070778,5.0,7.9277458,0.11236062,0.0,100.0,0.07490708
dry_inflow,29,4.45060136,5.0,8.00702326,0.06675902,0.0,100.0,0.04450601
dry_inflow,30,1.37681908,5.0,8.08709349,0.02065229,1.73092669,100.0,0.01376819
dry_inflow,31,0.0,5.0,8.16796443,0.0,3.16796443,100.0,0.0
dry_inflow,32,0.0,5.0,8.24964407,0.0,3.24964407,100.0,0.0
dry_inflow,33,0.0,5.0,8.33214051,0.0,3.33214051,100.0,0.0
dry_inflow,34,0.0,5.0,8.41546192,0.0,3.41546192,100.0,0.0
dry_inflow,35,0.0,5.0,8.49961654,0.0,3.49961654,100.0,0.0
dry_inflow,36,0.0,5.0,8.5846127,0.0,3.5846127,100.0,0.0
dry_inflow,37,0.0,5.0,8.67045883,0.0,3.67045883,100.0,0.0
dry_inflow,38,0.0,5.0,8.75716342,0.0,3.75716342,100.0,0.0
dry_inflow,39,0.0,5.0,8.84473505,0.0,3.84473505,100.0,0.0
dry_inflow,40,0.0,5.0,8.9331824,0.0,3.9331824,100.0,0.0
dry_inflow,41,0.0,5.0,9.02251423,0.0,4.02251423,100.0,0.0
dry_inflow,42,0.0,5.0,9.11273937,0.0,4.11273937,100.0,0.0
dry_inflow,43,0.0,5.0,9.20386676,0.0,4.20386676,100.0,0.0
dry_inflow,44,0.0,5.0,9.29590543,0.0,4.29590543,100.0,0.0
dry_inflow,45,0.0,5.0,9.38886448,0.0,4.38886448,100.0,0.0
dry_inflow,46,0.0,5.0,9.48275313,0.0,4.48275313,100.0,0.0
dry_inflow,47,0.0,5.0,9.57758066,0.0,4.57758066,100.0,0.0
dry_inflow,48,0.0,5.0,9.67335647,0.0,4.67335647,100.0,0.0
dry_inflow,49,0.0,5.0,9.77009003,0.0,4.77009003,100.0,0.0
dry_inflow,50,0.0,5.0,9.86779093,0.0,4.86779093,100.0,0.0
dry_inflow,51,0.0,5.0,9.96646884,0.0,4.96646884,100.0,0.0
dry_inflow,52,0.0,5.0,10.06613353,0.0,5.06613353,100.0,0.0
dry_inflow,53,0.0,5.0,10.16679486,0.0,5.16679486,100.0,0.0
dry_inflow,54,0.0,5.0,10.26846281,0.0,5.26846281,100.0,0.0
dry_inflow,55,0.0,5.0,10.37114744,0.0,5.37114744,100.0,0.0
dry_inflow,56,0.0,5.0,10.47485892,0.0,5.47485892,100.0,0.0
dry_inflow,57,0.0,5.0,10.5796075,0.0,5.5796075,100.0,0.0
dry_inflow,58,0.0,5.0,10.68540358,0.0,5.68540358,100.0,0.0
dry_inflow,59,0.0,5.0,10.79225762,0.0,5.79225762,100.0,0.0
dry_inflow,60,0.0,5.0,10.90018019,0.0,5.90018019,100.0,0.0
high_demand_growth,0,80.0,8.0,6.0,1.2,0.0,100.0,0.8
high_demand_growth,1,80.8,8.0,6.18,1.212,0.0,100.0,0.808
high_demand_growth,2,81.408,8.0,6.3654,1.22112,0.0,100.0,0.81408
high_demand_growth,3,81.82148,8.0,6.556362,1.2273222,0.0,100.0,0.8182148
high_demand_growth,4,82.0377958,8.0,6.75305286,1.23056694,0.0,100.0,0.82037796
high_demand_growth,5,82.054176,8.0,6.95564445,1.23081264,0.0,100.0,0.82054176
high_demand_growth,6,81.86771892,8.0,7.16431378,1.22801578,0.0,100.0,0.81867719
high_demand_growth,7,81.47538935,8.0,7.37924319,1.22213084,0.0,100.0,0.81475389
high_demand_growth,8,80.87401532,8.0,7.60062049,1.21311023,0.0,100.0,0.80874015
high_demand_growth,9,80.0602846,8.0,7.8286391,1.20090427,0.0,100.0,0.80060285
high_demand_growth,10,79.03074123,8.0,8.06349828,1.18546112,0.0,100.0,0.79030741
high_demand_growth,11,77.78178184,8.0,8.30540322,1.16672673,0.0,100.0,0.77781782
high_demand_growth,12,76.30965188,8.0,8.55456532,1.14464478,0.0,100.0,0.76309652
high_demand_growth,13,74.61044179,8.0,8.81120228,1.11915663,0.0,100.0,0.74610442
high_demand_growth,14,72.68008288,8.0,9.07553835,1.09020124,0.0,100.0,0.72680083
high_demand_growth,15,70.51434329,8.0,9.3478045,1.05771515,0.0,100.0,0.70514343
high_demand_growth,16,68.10882364,8.0,9.62823863,1.02163235,0.0,100.0,0.68108824
high_demand_growth,17,65.45895265,8.0,9.91708579,0.98188429,0.0,100.0,0.65458953
high_demand_growth,18,62.55998256,8.0,10.21459837,0.93839974,0.0,100.0,0.62559983
high_demand_growth,19,59.40698446,8.0,10.52103632,0.89110477,0.0,100.0,0.59406984
high_demand_growth,20,55.99484337,8.0,10.83666741,0.83992265,0.0,100.0,0.55994843
high_demand_growth,21,52.31825331,8.0,11.16176743,0.7847738,0.0,100.0,0.52318253
high_demand_growth,22,48.37171208,8.0,11.49662045,0.72557568,0.0,100.0,0.48371712
high_demand_growth,23,44.14951595,8.0,11.84151907,0.66224274,0.0,100.0,0.44149516
high_demand_growth,24,39.64575414,8.0,12.19676464,0.59468631,0.0,100.0,0.39645754
high_demand_growth,25,34.85430319,8.0,12.56266758,0.52281455,0.0,100.0,0.34854303
high_demand_growth,26,29.76882107,8.0,12.93954761,0.44653232,0.0,100.0,0.29768821
high_demand_growth,27,24.38274115,8.0,13.32773403,0.36574112,0.0,100.0,0.24382741
high_demand_growth,28,18.689266,8.0,13.72756605,0.28033899,0.0,100.0,0.18689266
high_demand_growth,29,12.68136095,8.0,14.13939304,0.19022041,0.0,100.0,0.12681361
high_demand_growth,30,6.3517475,8.0,14.56357483,0.09527621,0.30710354,100.0,0.06351748
high_demand_growth,31,0.0,8.0,15.00048207,0.0,7.00048207,100.0,0.0
high_demand_growth,32,0.0,8.0,15.45049653,0.0,7.45049653,100.0,0.0
high_demand_growth,33,0.0,8.0,15.91401143,0.0,7.91401143,100.0,0.0
high_demand_growth,34,0.0,8.0,16.39143177,0.0,8.39143177,100.0,0.0
high_demand_growth,35,0.0,8.0,16.88317473,0.0,8.88317473,100.0,0.0
high_demand_growth,36,0.0,8.0,17.38966997,0.0,9.38966997,100.0,0.0
high_demand_growth,37,0.0,8.0,17.91136007,0.0,9.91136007,100.0,0.0
high_demand_growth,38,0.0,8.0,18.44870087,0.0,10.44870087,100.0,0.0
high_demand_growth,39,0.0,8.0,19.0021619,0.0,11.0021619,100.0,0.0
high_demand_growth,40,0.0,8.0,19.57222675,0.0,11.57222675,100.0,0.0
high_demand_growth,41,0.0,8.0,20.15939355,0.0,12.15939355,100.0,0.0
high_demand_growth,42,0.0,8.0,20.76417536,0.0,12.76417536,100.0,0.0
high_demand_growth,43,0.0,8.0,21.38710062,0.0,13.38710062,100.0,0.0
high_demand_growth,44,0.0,8.0,22.02871364,0.0,14.02871364,100.0,0.0
high_demand_growth,45,0.0,8.0,22.68957505,0.0,14.68957505,100.0,0.0
high_demand_growth,46,0.0,8.0,23.3702623,0.0,15.3702623,100.0,0.0
high_demand_growth,47,0.0,8.0,24.07137017,0.0,16.07137017,100.0,0.0
high_demand_growth,48,0.0,8.0,24.79351128,0.0,16.79351128,100.0,0.0
high_demand_growth,49,0.0,8.0,25.53731661,0.0,17.53731661,100.0,0.0
high_demand_growth,50,0.0,8.0,26.30343611,0.0,18.30343611,100.0,0.0
high_demand_growth,51,0.0,8.0,27.0925392,0.0,19.0925392,100.0,0.0
high_demand_growth,52,0.0,8.0,27.90531537,0.0,19.90531537,100.0,0.0
high_demand_growth,53,0.0,8.0,28.74247483,0.0,20.74247483,100.0,0.0
high_demand_growth,54,0.0,8.0,29.60474908,0.0,21.60474908,100.0,0.0
high_demand_growth,55,0.0,8.0,30.49289155,0.0,22.49289155,100.0,0.0
high_demand_growth,56,0.0,8.0,31.4076783,0.0,23.4076783,100.0,0.0
high_demand_growth,57,0.0,8.0,32.34990865,0.0,24.34990865,100.0,0.0
high_demand_growth,58,0.0,8.0,33.3204059,0.0,25.3204059,100.0,0.0
high_demand_growth,59,0.0,8.0,34.32001808,0.0,26.32001808,100.0,0.0
high_demand_growth,60,0.0,8.0,35.34961862,0.0,27.34961862,100.0,0.0
high_losses,0,80.0,8.0,6.0,2.8,0.0,100.0,0.8
high_losses,1,79.2,8.0,6.06,2.772,0.0,100.0,0.792
high_losses,2,78.368,8.0,6.1206,2.74288,0.0,100.0,0.78368
high_losses,3,77.50452,8.0,6.181806,2.7126582,0.0,100.0,0.7750452
high_losses,4,76.6100558,8.0,6.24362406,2.68135195,0.0,100.0,0.76610056
high_losses,5,75.68507979,8.0,6.3060603,2.64897779,0.0,100.0,0.7568508
high_losses,6,74.73004169,8.0,6.3691209,2.61555146,0.0,100.0,0.74730042
high_losses,7,73.74536933,8.0,6.43281211,2.58108793,0.0,100.0,0.73745369
high_losses,8,72.73146929,8.0,6.49714023,2.54560143,0.0,100.0,0.72731469
high_losses,9,71.68872763,8.0,6.56211164,2.50910547,0.0,100.0,0.71688728
high_losses,10,70.61751053,8.0,6.62773275,2.47161287,0.0,100.0,0.70617511
high_losses,11,69.51816491,8.0,6.69401008,2.43313577,0.0,100.0,0.69518165
high_losses,12,68.39101906,8.0,6.76095018,2.39368567,0.0,100.0,0.68391019
high_losses,13,67.23638321,8.0,6.82855968,2.35327341,0.0,100.0,0.67236383
high_losses,14,66.05455011,8.0,6.89684528,2.31190925,0.0,100.0,0.6605455
high_losses,15,64.84579558,8.0,6.96581373,2.26960285,0.0,100.0,0.64845796
high_losses,16,63.610379,8.0,7.03547187,2.22636327,0.0,100.0,0.63610379
high_losses,17,62.34854387,8.0,7.10582659,2.18219904,0.0,100.0,0.62348544
high_losses,18,61.06051824,8.0,7.17688485,2.13711814,0.0,100.0,0.61060518
high_losses,19,59.74651525,8.0,7.2486537,2.09112803,0.0,100.0,0.59746515
high_losses,20,58.40673352,8.0,7.32114024,2.04423567,0.0,100.0,0.58406734
high_losses,21,57.0413576,8.0,7.39435164,1.99644752,0.0,100.0,0.57041358
high_losses,22,55.65055844,8.0,7.46829516,1.94776955,0.0,100.0,0.55650558
high_losses,23,54.23449374,8.0,7.54297811,1.89820728,0.0,100.0,0.54234494
high_losses,24,52.79330835,8.0,7.61840789,1.84776579,0.0,100.0,0.52793308
high_losses,25,51.32713467,8.0,7.69459197,1.79644971,0.0,100.0,0.51327135
high_losses,26,49.83609298,8.0,7.77153789,1.74426325,0.0,100.0,0.49836093
high_losses,27,48.32029184,8.0,7.84925327,1.69121021,0.0,100.0,0.48320292
high_losses,28,46.77982836,8.0,7.9277458,1.63729399,0.0,100.0,0.46779828
high_losses,29,45.21478856,8.0,8.00702326,1.5825176,0.0,100.0,0.45214789
high_losses,30,43.6252477,8.0,8.08709349,1.52688367,0.0,100.0,0.43625248
high_losses,31,42.01127054,8.0,8.16796443,1.47039447,0.0,100.0,0.42011271
high_losses,32,40.37291165,8.0,8.24964407,1.41305191,0.0,100.0,0.40372912
high_losses,33,38.71021567,8.0,8.33214051,1.35485755,0.0,100.0,0.38710216
high_losses,34,37.02321761,8.0,8.41546192,1.29581262,0.0,100.0,0.37023218
high_losses,35,35.31194307,8.0,8.49961654,1.23591801,0.0,100.0,0.35311943
high_losses,36,33.57640853,8.0,8.5846127,1.1751743,0.0,100.0,0.33576409
high_losses,37,31.81662153,8.0,8.67045883,1.11358175,0.0,100.0,0.31816622
high_losses,38,30.03258095,8.0,8.75716342,1.05114033,0.0,100.0,0.30032581
high_losses,39,28.2242772,8.0,8.84473505,0.9878497,0.0,100.0,0.28224277
high_losses,40,26.39169244,8.0,8.9331824,0.92370924,0.0,100.0,0.26391692
high_losses,41,24.53480081,8.0,9.02251423,0.85871803,0.0,100.0,0.24534801
high_losses,42,22.65356855,8.0,9.11273937,0.7928749,0.0,100.0,0.22653569
high_losses,43,20.74795429,8.0,9.20386676,0.7261784,0.0,100.0,0.20747954
high_losses,44,18.81790912,8.0,9.29590543,0.65862682,0.0,100.0,0.18817909
high_losses,45,16.86337688,8.0,9.38886448,0.59021819,0.0,100.0,0.16863377
high_losses,46,14.8842942,8.0,9.48275313,0.5209503,0.0,100.0,0.14884294
high_losses,47,12.88059078,8.0,9.57758066,0.45082068,0.0,100.0,0.12880591
high_losses,48,10.85218944,8.0,9.67335647,0.37982663,0.0,100.0,0.10852189
high_losses,49,8.79900634,8.0,9.77009003,0.30796522,0.0,100.0,0.08799006
high_losses,50,6.72095109,8.0,9.86779093,0.23523329,0.0,100.0,0.06720951
high_losses,51,4.61792687,8.0,9.96646884,0.16162744,0.0,100.0,0.04617927
high_losses,52,2.48983059,8.0,10.06613353,0.08714407,0.0,100.0,0.02489831
high_losses,53,0.33655299,8.0,10.16679486,0.01177935,1.84202123,100.0,0.00336553
high_losses,54,0.0,8.0,10.26846281,0.0,2.26846281,100.0,0.0
high_losses,55,0.0,8.0,10.37114744,0.0,2.37114744,100.0,0.0
high_losses,56,0.0,8.0,10.47485892,0.0,2.47485892,100.0,0.0
high_losses,57,0.0,8.0,10.5796075,0.0,2.5796075,100.0,0.0
high_losses,58,0.0,8.0,10.68540358,0.0,2.68540358,100.0,0.0
high_losses,59,0.0,8.0,10.79225762,0.0,2.79225762,100.0,0.0
high_losses,60,0.0,8.0,10.90018019,0.0,2.90018019,100.0,0.0
expanded_capacity,0,95.0,8.0,6.0,1.425,0.0,130.0,0.73076923
expanded_capacity,1,95.575,8.0,6.06,1.433625,0.0,130.0,0.73519231
expanded_capacity,2,96.081375,8.0,6.1206,1.44122062,0.0,130.0,0.7390875
expanded_capacity,3,96.51955437,8.0,6.181806,1.44779332,0.0,130.0,0.74245811
expanded_capacity,4,96.88995506,8.0,6.24362406,1.45334933,0.0,130.0,0.74530735
expanded_capacity,5,97.19298167,8.0,6.3060603,1.45789473,0.0,130.0,0.74763832
expanded_capacity,6,97.42902665,8.0,6.3691209,1.4614354,0.0,130.0,0.74945405
expanded_capacity,7,97.59847034,8.0,6.43281211,1.46397706,0.0,130.0,0.75075746
expanded_capacity,8,97.70168118,8.0,6.49714023,1.46552522,0.0,130.0,0.75155139
expanded_capacity,9,97.73901573,8.0,6.56211164,1.46608524,0.0,130.0,0.75183858
expanded_capacity,10,97.71081885,8.0,6.62773275,1.46566228,0.0,130.0,0.75162168
expanded_capacity,11,97.61742382,8.0,6.69401008,1.46426136,0.0,130.0,0.75090326
expanded_capacity,12,97.45915238,8.0,6.76095018,1.46188729,0.0,130.0,0.74968579
expanded_capacity,13,97.23631491,8.0,6.82855968,1.45854472,0.0,130.0,0.74797165
expanded_capacity,14,96.94921051,8.0,6.89684528,1.45423816,0.0,130.0,0.74576316
expanded_capacity,15,96.59812707,8.0,6.96581373,1.44897191,0.0,130.0,0.74306252
expanded_capacity,16,96.18334143,8.0,7.03547187,1.44275012,0.0,130.0,0.73987186
expanded_capacity,17,95.70511944,8.0,7.10582659,1.43557679,0.0,130.0,0.73619323
expanded_capacity,18,95.16371606,8.0,7.17688485,1.42745574,0.0,130.0,0.73202859
expanded_capacity,19,94.55937547,8.0,7.2486537,1.41839063,0.0,130.0,0.72737981
expanded_capacity,20,93.89233113,8.0,7.32114024,1.40838497,0.0,130.0,0.7222487
expanded_capacity,21,93.16280593,8.0,7.39435164,1.39744209,0.0,130.0,0.71663697
expanded_capacity,22,92.37101219,8.0,7.46829516,1.38556518,0.0,130.0,0.71054625
expanded_capacity,23,91.51715185,8.0,7.54297811,1.37275728,0.0,130.0,0.70397809
expanded_capacity,24,90.60141647,8.0,7.61840789,1.35902125,0.0,130.0,0.69693397
expanded_capacity,25,89.62398733,8.0,7.69459197,1.34435981,0.0,130.0,0.68941529
expanded_capacity,26,88.58503555,8.0,7.77153789,1.32877553,0.0,130.0,0.68142335
expanded_capacity,27,87.48472212,8.0,7.84925327,1.31227083,0.0,130.0,0.6729594
expanded_capacity,28,86.32319802,8.0,7.9277458,1.29484797,0.0,130.0,0.6640246
expanded_capacity,29,85.10060425,8.0,8.00702326,1.27650906,0.0,130.0,0.65462003
expanded_capacity,30,83.81707193,8.0,8.08709349,1.25725608,0.0,130.0,0.64474671
expanded_capacity,31,82.47272236,8.0,8.16796443,1.23709084,0.0,130.0,0.63440556
expanded_capacity,32,81.0676671,8.0,8.24964407,1.21601501,0.0,130.0,0.62359744
expanded_capacity,33,79.60200802,8.0,8.33214051,1.19403012,0.0,130.0,0.61232314
expanded_capacity,34,78.07583739,8.0,8.41546192,1.17113756,0.0,130.0,0.60058336
expanded_capacity,35,76.48923791,8.0,8.49961654,1.14733857,0.0,130.0,0.58837875
expanded_capacity,36,74.8422828,8.0,8.5846127,1.12263424,0.0,130.0,0.57570987
expanded_capacity,37,73.13503586,8.0,8.67045883,1.09702554,0.0,130.0,0.5625772
expanded_capacity,38,71.36755149,8.0,8.75716342,1.07051327,0.0,130.0,0.54898117
expanded_capacity,39,69.5398748,8.0,8.84473505,1.04309812,0.0,130.0,0.53492211
expanded_capacity,40,67.65204163,8.0,8.9331824,1.01478062,0.0,130.0,0.52040032
expanded_capacity,41,65.7040786,8.0,9.02251423,0.98556118,0.0,130.0,0.50541599
expanded_capacity,42,63.6960032,8.0,9.11273937,0.95544005,0.0,130.0,0.48996926
expanded_capacity,43,61.62782378,8.0,9.20386676,0.92441736,0.0,130.0,0.47406018
expanded_capacity,44,59.49953967,8.0,9.29590543,0.89249309,0.0,130.0,0.45768877
expanded_capacity,45,57.31114114,8.0,9.38886448,0.85966712,0.0,130.0,0.44085493
expanded_capacity,46,55.06260954,8.0,9.48275313,0.82593914,0.0,130.0,0.42355853
expanded_capacity,47,52.75391727,8.0,9.57758066,0.79130876,0.0,130.0,0.40579936
expanded_capacity,48,50.38502785,8.0,9.67335647,0.75577542,0.0,130.0,0.38757714
expanded_capacity,49,47.95589597,8.0,9.77009003,0.71933844,0.0,130.0,0.36889151
expanded_capacity,50,45.4664675,8.0,9.86779093,0.68199701,0.0,130.0,0.34974206
expanded_capacity,51,42.91667955,8.0,9.96646884,0.64375019,0.0,130.0,0.3301283
expanded_capacity,52,40.30646052,8.0,10.06613353,0.60459691,0.0,130.0,0.3100497
expanded_capacity,53,37.63573008,8.0,10.16679486,0.56453595,0.0,130.0,0.28950562
expanded_capacity,54,34.90439927,8.0,10.26846281,0.52356599,0.0,130.0,0.26849538
expanded_capacity,55,32.11237047,8.0,10.37114744,0.48168556,0.0,130.0,0.24701823
expanded_capacity,56,29.25953747,8.0,10.47485892,0.43889306,0.0,130.0,0.22507337
expanded_capacity,57,26.34578549,8.0,10.5796075,0.39518678,0.0,130.0,0.20265989
expanded_capacity,58,23.3709912,8.0,10.68540358,0.35056487,0.0,130.0,0.17977686
expanded_capacity,59,20.33502276,8.0,10.79225762,0.30502534,0.0,130.0,0.15642325
expanded_capacity,60,17.2377398,8.0,10.90018019,0.2585661,0.0,130.0,0.132598
compound_stress,0,75.0,5.0,6.5,2.25,0.0,100.0,0.75
compound_stress,1,71.25,5.0,6.695,2.1375,0.0,100.0,0.7125
compound_stress,2,67.4175,5.0,6.89585,2.022525,0.0,100.0,0.674175
compound_stress,3,63.499125,5.0,7.1027255,1.90497375,0.0,100.0,0.63499125
compound_stress,4,59.49142575,5.0,7.31580727,1.78474277,0.0,100.0,0.59491426
compound_stress,5,55.39087571,5.0,7.53528148,1.66172627,0.0,100.0,0.55390876
compound_stress,6,51.19386796,5.0,7.76133993,1.53581604,0.0,100.0,0.51193868
compound_stress,7,46.89671199,5.0,7.99418013,1.40690136,0.0,100.0,0.46896712
compound_stress,8,42.49563051,5.0,8.23400553,1.27486892,0.0,100.0,0.42495631
compound_stress,9,37.98675606,5.0,8.48102569,1.13960268,0.0,100.0,0.37986756
compound_stress,10,33.36612769,5.0,8.73545647,1.00098383,0.0,100.0,0.33366128
compound_stress,11,28.62968739,5.0,8.99752016,0.85889062,0.0,100.0,0.28629687
compound_stress,12,23.77327661,5.0,9.26744576,0.7131983,0.0,100.0,0.23773277
compound_stress,13,18.79263255,5.0,9.54546914,0.56377898,0.0,100.0,0.18792633
compound_stress,14,13.68338443,5.0,9.83183321,0.41050153,0.0,100.0,0.13683384
compound_stress,15,8.44104969,5.0,10.12678821,0.25323149,0.0,100.0,0.0844105
compound_stress,16,3.06102999,5.0,10.43059185,0.0918309,2.46139277,100.0,0.0306103
