"step","time","center_value","total_mass","max_value","left_boundary","right_boundary","diffusion_ratio","stability_status"
31,6.2,0.462826584068034,1,0.462826584068034,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
32,6.4,0.454734609033666,1,0.454734609033666,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
33,6.6,0.44694908346644,1,0.44694908346644,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
34,6.8,0.439455504513751,1,0.439455504513751,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
35,7,0.432240126435614,1,0.432240126435614,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
36,7.2,0.425289918938789,1,0.425289918938789,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
37,7.4,0.418592527878814,1,0.418592527878814,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
38,7.6,0.412136238192468,1,0.412136238192468,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
39,7.8,0.405909938931285,1,0.405909938931285,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
40,8,0.399903090274384,1,0.399903090274384,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
41,8.2,0.394105692406015,1,0.394105692406015,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
42,8.4,0.388508256149978,1,0.388508256149978,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
43,8.6,0.383101775259418,1,0.383101775259418,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
44,8.8,0.377877700266427,1,0.377877700266427,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
45,9,0.372827913801542,1,0.372827913801542,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
46,9.2,0.367944707298441,1,0.367944707298441,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
47,9.4,0.363220759004164,1,0.363220759004164,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
48,9.6,0.358649113219789,1,0.358649113219789,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
49,9.8,0.354223160700944,1,0.354223160700944,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
50,10,0.349936620151608,1,0.349936620151608,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
51,10.2,0.345783520748594,1,0.345783520748594,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
52,10.4,0.341758185637704,1,0.341758185637704,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
53,10.6,0.337855216346051,1,0.337855216346051,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
54,10.8,0.33406947805821,1,0.33406947805821,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
55,11,0.330396085706965,1,0.330396085706965,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
56,11.2,0.326830390832238,1,0.326830390832238,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
57,11.4,0.323367969164513,1,0.323367969164513,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
58,11.6,0.320004608891586,1,0.320004608891586,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
59,11.8,0.316736299569871,1,0.316736299569871,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
60,12,0.313559221643728,1,0.313559221643728,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
61,12.2,0.310469736538403,1,0.310469736538403,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
62,12.4,0.307464377294163,1,0.307464377294163,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
63,12.6,0.304539839711066,1,0.304539839711066,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
64,12.8,0.301692973975584,1,0.301692973975584,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
65,13,0.298920776741961,1,0.298920776741961,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
66,13.2,0.296220383642728,1,0.296220383642728,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
67,13.4,0.293589062204298,1,0.293589062204298,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
68,13.6,0.291024205144925,1,0.291024205144925,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
69,13.8,0.288523324033627,1,0.288523324033627,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
70,14,0.286084043289896,1,0.286084043289896,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
71,14.2,0.283704094505184,1,0.283704094505184,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
72,14.4,0.281381311068226,1,0.281381311068226,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
73,14.6,0.279113623077299,1,0.279113623077299,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
74,14.8,0.276899052523481,1,0.276899052523481,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
75,15,0.274735708729876,1,0.274735708729876,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
76,15.2,0.272621784032633,1,0.272621784032633,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
77,15.4,0.270555549690398,1,0.270555549690398,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
78,15.6,0.268535352009582,1,0.268535352009582,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
79,15.8,0.266559608673566,1,0.266559608673566,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
80,16,0.264626805264616,1,0.264626805264616,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
81,16.2,0.262735491967941,1,0.262735491967941,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
82,16.4,0.260884280447897,1,0.260884280447897,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
83,16.6,0.259071840886924,1,0.259071840886924,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
84,16.8,0.257296899178337,1,0.257296899178337,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
85,17,0.255558234264577,1,0.255558234264577,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
86,17.2,0.253854675613005,1,0.253854675613005,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
87,17.4,0.25218510082178,1,0.25218510082178,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
88,17.6,0.250548433348764,1,0.250548433348764,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
89,17.8,0.248943640356804,1,0.248943640356804,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
90,18,0.247369730669096,1,0.247369730669096,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
91,18.2,0.245825752828724,1,0.245825752828724,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
92,18.4,0.244310793256744,1,0.244310793256744,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
93,18.6,0.242823974503556,1,0.242823974503556,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
94,18.8,0.241364453588539,1,0.241364453588539,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
95,19,0.239931420423257,1,0.239931420423257,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
96,19.2,0.238524096313774,1,0.238524096313774,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
97,19.4,0.23714173253786,1,0.23714173253786,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
98,19.6,0.235783608993124,1,0.235783608993124,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
99,19.8,0.234449032912324,1,0.234449032912324,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
100,20,0.233137337642278,1,0.233137337642278,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
101,20.2,0.231847881483063,1,0.231847881483063,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
102,20.4,0.230580046584288,1,0.230580046584288,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
103,20.6,0.229333237895486,1,0.229333237895486,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
104,20.8,0.228106882167769,1,0.228106882167769,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
105,21,0.22690042700407,1,0.22690042700407,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
106,21.2,0.225713339955463,1,0.225713339955463,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
107,21.4,0.224545107661134,1,0.224545107661134,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
108,21.6,0.223395235029775,1,0.223395235029775,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
109,21.8,0.222263244460235,1,0.222263244460235,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
110,22,0.221148675099422,1,0.221148675099422,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
111,22.2,0.220051082135526,1,0.220051082135526,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
112,22.4,0.218970036124764,1,0.218970036124764,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
113,22.6,0.217905122349931,1,0.217905122349931,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
114,22.8,0.216855940209126,1,0.216855940209126,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
115,23,0.215822102633134,1,0.215822102633134,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
116,23.2,0.214803235529995,1,0.214803235529995,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
117,23.4,0.213798977255402,1,0.213798977255402,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
118,23.6,0.212808978107611,1,0.212808978107611,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
119,23.8,0.211832899845639,1,0.211832899845639,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
120,24,0.210870415229584,1,0.210870415229584,0,0,0.016,"stable_for_basic_explicit_1d_diffusion"
