method,h,epsilon,absolute_error,inside_epsilon
forward_difference,0.0625,0.0001,0.003412054357135319,False
central_difference,0.0625,0.1,1.4157828460370503e-05,True
central_difference,0.0625,0.01,1.4157828460370503e-05,True
central_difference,0.0625,0.001,1.4157828460370503e-05,True
central_difference,0.0625,0.0001,1.4157828460370503e-05,True
richardson_central,0.0625,0.1,2.7639557309555585e-11,True
richardson_central,0.0625,0.01,2.7639557309555585e-11,True
richardson_central,0.0625,0.001,2.7639557309555585e-11,True
richardson_central,0.0625,0.0001,2.7639557309555585e-11,True
forward_difference,0.03125,0.1,0.0017024711095464662,True
forward_difference,0.03125,0.01,0.0017024711095464662,True
forward_difference,0.03125,0.001,0.0017024711095464662,False
forward_difference,0.03125,0.0001,0.0017024711095464662,False
central_difference,0.03125,0.1,3.5394363854246436e-06,True
central_difference,0.03125,0.01,3.5394363854246436e-06,True
central_difference,0.03125,0.001,3.5394363854246436e-06,True
central_difference,0.03125,0.0001,3.5394363854246436e-06,True
richardson_central,0.03125,0.1,1.7212897773788427e-12,True
richardson_central,0.03125,0.01,1.7212897773788427e-12,True
richardson_central,0.03125,0.001,1.7212897773788427e-12,True
richardson_central,0.03125,0.0001,1.7212897773788427e-12,True
forward_difference,0.015625,0.1,0.0008503486205105881,True
forward_difference,0.015625,0.01,0.0008503486205105881,True
forward_difference,0.015625,0.001,0.0008503486205105881,True
forward_difference,0.015625,0.0001,0.0008503486205105881,False
central_difference,0.015625,0.1,8.848578053610723e-07,True
central_difference,0.015625,0.01,8.848578053610723e-07,True
central_difference,0.015625,0.001,8.848578053610723e-07,True
central_difference,0.015625,0.0001,8.848578053610723e-07,True
richardson_central,0.015625,0.1,8.704148513061227e-14,True
richardson_central,0.015625,0.01,8.704148513061227e-14,True
richardson_central,0.015625,0.001,8.704148513061227e-14,True
richardson_central,0.015625,0.0001,8.704148513061227e-14,True
forward_difference,0.0078125,0.1,0.0004249528365468658,True
forward_difference,0.0078125,0.01,0.0004249528365468658,True
forward_difference,0.0078125,0.001,0.0004249528365468658,True
forward_difference,0.0078125,0.0001,0.0004249528365468658,False
central_difference,0.0078125,0.1,2.2121438603139865e-07,True
central_difference,0.0078125,0.01,2.2121438603139865e-07,True
central_difference,0.0078125,0.001,2.2121438603139865e-07,True
central_difference,0.0078125,0.0001,2.2121438603139865e-07,True
richardson_central,0.0078125,0.1,3.9745984281580604e-14,True
richardson_central,0.0078125,0.01,3.9745984281580604e-14,True
richardson_central,0.0078125,0.001,3.9745984281580604e-14,True
richardson_central,0.0078125,0.0001,3.9745984281580604e-14,True
forward_difference,0.00390625,0.1,0.00021242108224639455,True
forward_difference,0.00390625,0.01,0.00021242108224639455,True
forward_difference,0.00390625,0.001,0.00021242108224639455,True
forward_difference,0.00390625,0.0001,0.00021242108224639455,False
central_difference,0.00390625,0.1,5.5303566726117026e-08,True
central_difference,0.00390625,0.01,5.5303566726117026e-08,True
central_difference,0.00390625,0.001,5.5303566726117026e-08,True
central_difference,0.00390625,0.0001,5.5303566726117026e-08,True
richardson_central,0.00390625,0.1,7.394085344003543e-14,True
richardson_central,0.00390625,0.01,7.394085344003543e-14,True
richardson_central,0.00390625,0.001,7.394085344003543e-14,True
richardson_central,0.00390625,0.0001,7.394085344003543e-14,True
