scenario,representation,period,storage,demand,condition,effective_loss_rate,raw_next_storage,next_storage,shortage,overflow,domain_valid
storage_only_baseline,storage_only,22,38.51220142,7.0,1.0,0.015,36.9345184,36.9345184,0.0,0.0,True
storage_only_baseline,storage_only,23,36.9345184,7.0,1.0,0.015,35.38050062,35.38050062,0.0,0.0,True
storage_only_baseline,storage_only,24,35.38050062,7.0,1.0,0.015,33.84979311,33.84979311,0.0,0.0,True
storage_only_baseline,storage_only,25,33.84979311,7.0,1.0,0.015,32.34204622,32.34204622,0.0,0.0,True
storage_only_baseline,storage_only,26,32.34204622,7.0,1.0,0.015,30.85691552,30.85691552,0.0,0.0,True
storage_only_baseline,storage_only,27,30.85691552,7.0,1.0,0.015,29.39406179,29.39406179,0.0,0.0,True
storage_only_baseline,storage_only,28,29.39406179,7.0,1.0,0.015,27.95315086,27.95315086,0.0,0.0,True
storage_only_baseline,storage_only,29,27.95315086,7.0,1.0,0.015,26.5338536,26.5338536,0.0,0.0,True
storage_only_baseline,storage_only,30,26.5338536,7.0,1.0,0.015,25.1358458,25.1358458,0.0,0.0,True
storage_only_baseline,storage_only,31,25.1358458,7.0,1.0,0.015,23.75880811,23.75880811,0.0,0.0,True
storage_only_baseline,storage_only,32,23.75880811,7.0,1.0,0.015,22.40242599,22.40242599,0.0,0.0,True
storage_only_baseline,storage_only,33,22.40242599,7.0,1.0,0.015,21.0663896,21.0663896,0.0,0.0,True
storage_only_baseline,storage_only,34,21.0663896,7.0,1.0,0.015,19.75039375,19.75039375,0.0,0.0,True
storage_only_baseline,storage_only,35,19.75039375,7.0,1.0,0.015,18.45413785,18.45413785,0.0,0.0,True
storage_only_baseline,storage_only,36,18.45413785,7.0,1.0,0.015,17.17732578,17.17732578,0.0,0.0,True
storage_only_baseline,storage_only,37,17.17732578,7.0,1.0,0.015,15.91966589,15.91966589,0.0,0.0,True
storage_only_baseline,storage_only,38,15.91966589,7.0,1.0,0.015,14.68087091,14.68087091,0.0,0.0,True
storage_only_baseline,storage_only,39,14.68087091,7.0,1.0,0.015,13.46065784,13.46065784,0.0,0.0,True
storage_only_baseline,storage_only,40,13.46065784,7.0,1.0,0.015,12.25874797,12.25874797,0.0,0.0,True
storage_only_baseline,storage_only,41,12.25874797,7.0,1.0,0.015,11.07486675,11.07486675,0.0,0.0,True
storage_only_baseline,storage_only,42,11.07486675,7.0,1.0,0.015,9.90874375,9.90874375,0.0,0.0,True
storage_only_baseline,storage_only,43,9.90874375,7.0,1.0,0.015,8.7601126,8.7601126,0.0,0.0,True
storage_only_baseline,storage_only,44,8.7601126,7.0,1.0,0.015,7.62871091,7.62871091,0.0,0.0,True
storage_only_baseline,storage_only,45,7.62871091,7.0,1.0,0.015,6.51428024,6.51428024,0.0,0.0,True
storage_only_baseline,storage_only,46,6.51428024,7.0,1.0,0.015,5.41656604,5.41656604,0.0,0.0,True
storage_only_baseline,storage_only,47,5.41656604,7.0,1.0,0.015,4.33531755,4.33531755,0.0,0.0,True
storage_only_baseline,storage_only,48,4.33531755,7.0,1.0,0.015,3.27028779,3.27028779,0.0,0.0,True
storage_only_baseline,storage_only,49,3.27028779,7.0,1.0,0.015,2.22123347,2.22123347,0.0,0.0,True
storage_only_baseline,storage_only,50,2.22123347,7.0,1.0,0.015,1.18791497,1.18791497,0.0,0.0,True
storage_only_baseline,storage_only,51,1.18791497,7.0,1.0,0.015,0.17009624,0.17009624,0.0,0.0,True
storage_only_baseline,storage_only,52,0.17009624,7.0,1.0,0.015,-0.8324552,0.0,0.8324552,0.0,True
storage_only_baseline,storage_only,53,0.0,7.0,1.0,0.015,-1.0,0.0,1.0,0.0,True
storage_only_baseline,storage_only,54,0.0,7.0,1.0,0.015,-1.0,0.0,1.0,0.0,True
storage_only_baseline,storage_only,55,0.0,7.0,1.0,0.015,-1.0,0.0,1.0,0.0,True
storage_only_baseline,storage_only,56,0.0,7.0,1.0,0.015,-1.0,0.0,1.0,0.0,True
storage_only_baseline,storage_only,57,0.0,7.0,1.0,0.015,-1.0,0.0,1.0,0.0,True
storage_only_baseline,storage_only,58,0.0,7.0,1.0,0.015,-1.0,0.0,1.0,0.0,True
storage_only_baseline,storage_only,59,0.0,7.0,1.0,0.015,-1.0,0.0,1.0,0.0,True
storage_only_baseline,storage_only,60,0.0,7.0,1.0,0.015,-1.0,0.0,1.0,0.0,True
adaptive_demand_stress,adaptive_demand,0,45.0,8.0,1.0,0.02,40.1,40.1,0.0,0.0,True
adaptive_demand_stress,adaptive_demand,1,40.1,8.0,1.0,0.02,35.298,35.298,0.0,0.0,True
adaptive_demand_stress,adaptive_demand,2,35.298,8.0,1.0,0.02,30.59204,30.59204,0.0,0.0,True
adaptive_demand_stress,adaptive_demand,3,30.59204,8.0,1.0,0.02,25.9801992,25.9801992,0.0,0.0,True
adaptive_demand_stress,adaptive_demand,4,25.9801992,8.0,1.0,0.02,21.46059522,21.46059522,0.0,0.0,True
adaptive_demand_stress,adaptive_demand,5,21.46059522,8.0,1.0,0.02,17.03138331,17.03138331,0.0,0.0,True
adaptive_demand_stress,adaptive_demand,6,17.03138331,8.0,1.0,0.02,12.69075565,12.69075565,0.0,0.0,True
adaptive_demand_stress,adaptive_demand,7,12.69075565,8.0,1.0,0.02,8.43694053,8.43694053,0.0,0.0,True
adaptive_demand_stress,adaptive_demand,8,8.43694053,8.0,1.0,0.02,4.26820172,4.26820172,0.0,0.0,True
adaptive_demand_stress,adaptive_demand,9,4.26820172,8.0,1.0,0.02,0.18283769,0.18283769,0.0,0.0,True
adaptive_demand_stress,adaptive_demand,10,0.18283769,8.0,1.0,0.02,-3.82081907,0.0,3.82081907,0.0,True
adaptive_demand_stress,adaptive_demand,11,0.0,7.23583619,1.0,0.02,-3.23583619,0.0,3.23583619,0.0,True
adaptive_demand_stress,adaptive_demand,12,0.0,6.58866895,1.0,0.02,-2.58866895,0.0,2.58866895,0.0,True
adaptive_demand_stress,adaptive_demand,13,0.0,6.07093516,1.0,0.02,-2.07093516,0.0,2.07093516,0.0,True
adaptive_demand_stress,adaptive_demand,14,0.0,5.65674813,1.0,0.02,-1.65674813,0.0,1.65674813,0.0,True
adaptive_demand_stress,adaptive_demand,15,0.0,5.3253985,1.0,0.02,-1.3253985,0.0,1.3253985,0.0,True
adaptive_demand_stress,adaptive_demand,16,0.0,5.0603188,1.0,0.02,-1.0603188,0.0,1.0603188,0.0,True
adaptive_demand_stress,adaptive_demand,17,0.0,4.84825504,1.0,0.02,-0.84825504,0.0,0.84825504,0.0,True
adaptive_demand_stress,adaptive_demand,18,0.0,4.67860403,1.0,0.02,-0.67860403,0.0,0.67860403,0.0,True
adaptive_demand_stress,adaptive_demand,19,0.0,4.54288323,1.0,0.02,-0.54288323,0.0,0.54288323,0.0,True
adaptive_demand_stress,adaptive_demand,20,0.0,4.43430658,1.0,0.02,-0.43430658,0.0,0.43430658,0.0,True
adaptive_demand_stress,adaptive_demand,21,0.0,4.34744526,1.0,0.02,-0.34744526,0.0,0.34744526,0.0,True
adaptive_demand_stress,adaptive_demand,22,0.0,4.27795621,1.0,0.02,-0.27795621,0.0,0.27795621,0.0,True
adaptive_demand_stress,adaptive_demand,23,0.0,4.22236497,1.0,0.02,-0.22236497,0.0,0.22236497,0.0,True
adaptive_demand_stress,adaptive_demand,24,0.0,4.17789198,1.0,0.02,-0.17789198,0.0,0.17789198,0.0,True
adaptive_demand_stress,adaptive_demand,25,0.0,4.14231358,1.0,0.02,-0.14231358,0.0,0.14231358,0.0,True
adaptive_demand_stress,adaptive_demand,26,0.0,4.11385086,1.0,0.02,-0.11385086,0.0,0.11385086,0.0,True
adaptive_demand_stress,adaptive_demand,27,0.0,4.09108069,1.0,0.02,-0.09108069,0.0,0.09108069,0.0,True
adaptive_demand_stress,adaptive_demand,28,0.0,4.07286455,1.0,0.02,-0.07286455,0.0,0.07286455,0.0,True
adaptive_demand_stress,adaptive_demand,29,0.0,4.05829164,1.0,0.02,-0.05829164,0.0,0.05829164,0.0,True
adaptive_demand_stress,adaptive_demand,30,0.0,4.04663331,1.0,0.02,-0.04663331,0.0,0.04663331,0.0,True
adaptive_demand_stress,adaptive_demand,31,0.0,4.03730665,1.0,0.02,-0.03730665,0.0,0.03730665,0.0,True
adaptive_demand_stress,adaptive_demand,32,0.0,4.02984532,1.0,0.02,-0.02984532,0.0,0.02984532,0.0,True
adaptive_demand_stress,adaptive_demand,33,0.0,4.02387626,1.0,0.02,-0.02387626,0.0,0.02387626,0.0,True
adaptive_demand_stress,adaptive_demand,34,0.0,4.01910101,1.0,0.02,-0.01910101,0.0,0.01910101,0.0,True
adaptive_demand_stress,adaptive_demand,35,0.0,4.0152808,1.0,0.02,-0.0152808,0.0,0.0152808,0.0,True
adaptive_demand_stress,adaptive_demand,36,0.0,4.01222464,1.0,0.02,-0.01222464,0.0,0.01222464,0.0,True
adaptive_demand_stress,adaptive_demand,37,0.0,4.00977971,1.0,0.02,-0.00977971,0.0,0.00977971,0.0,True
adaptive_demand_stress,adaptive_demand,38,0.0,4.00782377,1.0,0.02,-0.00782377,0.0,0.00782377,0.0,True
adaptive_demand_stress,adaptive_demand,39,0.0,4.00625902,1.0,0.02,-0.00625902,0.0,0.00625902,0.0,True
adaptive_demand_stress,adaptive_demand,40,0.0,4.00500721,1.0,0.02,-0.00500721,0.0,0.00500721,0.0,True
adaptive_demand_stress,adaptive_demand,41,0.0,4.00400577,1.0,0.02,-0.00400577,0.0,0.00400577,0.0,True
adaptive_demand_stress,adaptive_demand,42,0.0,4.00320462,1.0,0.02,-0.00320462,0.0,0.00320462,0.0,True
adaptive_demand_stress,adaptive_demand,43,0.0,4.00256369,1.0,0.02,-0.00256369,0.0,0.00256369,0.0,True
adaptive_demand_stress,adaptive_demand,44,0.0,4.00205095,1.0,0.02,-0.00205095,0.0,0.00205095,0.0,True
adaptive_demand_stress,adaptive_demand,45,0.0,4.00164076,1.0,0.02,-0.00164076,0.0,0.00164076,0.0,True
adaptive_demand_stress,adaptive_demand,46,0.0,4.00131261,1.0,0.02,-0.00131261,0.0,0.00131261,0.0,True
adaptive_demand_stress,adaptive_demand,47,0.0,4.00105009,1.0,0.02,-0.00105009,0.0,0.00105009,0.0,True
adaptive_demand_stress,adaptive_demand,48,0.0,4.00084007,1.0,0.02,-0.00084007,0.0,0.00084007,0.0,True
adaptive_demand_stress,adaptive_demand,49,0.0,4.00067206,1.0,0.02,-0.00067206,0.0,0.00067206,0.0,True
adaptive_demand_stress,adaptive_demand,50,0.0,4.00053765,1.0,0.02,-0.00053765,0.0,0.00053765,0.0,True
adaptive_demand_stress,adaptive_demand,51,0.0,4.00043012,1.0,0.02,-0.00043012,0.0,0.00043012,0.0,True
adaptive_demand_stress,adaptive_demand,52,0.0,4.00034409,1.0,0.02,-0.00034409,0.0,0.00034409,0.0,True
adaptive_demand_stress,adaptive_demand,53,0.0,4.00027527,1.0,0.02,-0.00027527,0.0,0.00027527,0.0,True
adaptive_demand_stress,adaptive_demand,54,0.0,4.00022022,1.0,0.02,-0.00022022,0.0,0.00022022,0.0,True
adaptive_demand_stress,adaptive_demand,55,0.0,4.00017618,1.0,0.02,-0.00017618,0.0,0.00017618,0.0,True
adaptive_demand_stress,adaptive_demand,56,0.0,4.00014094,1.0,0.02,-0.00014094,0.0,0.00014094,0.0,True
adaptive_demand_stress,adaptive_demand,57,0.0,4.00011275,1.0,0.02,-0.00011275,0.0,0.00011275,0.0,True
adaptive_demand_stress,adaptive_demand,58,0.0,4.0000902,1.0,0.02,-9.02e-05,0.0,9.02e-05,0.0,True
adaptive_demand_stress,adaptive_demand,59,0.0,4.00007216,1.0,0.02,-7.216e-05,0.0,7.216e-05,0.0,True
adaptive_demand_stress,adaptive_demand,60,0.0,4.00005773,1.0,0.02,-5.773e-05,0.0,5.773e-05,0.0,True
condition_aware_stress,condition_aware,0,45.0,8.0,0.85,0.023,39.965,39.965,0.0,0.0,True
condition_aware_stress,condition_aware,1,39.965,8.0,0.85,0.023,35.045805,35.045805,0.0,0.0,True
condition_aware_stress,condition_aware,2,35.045805,8.0,0.85,0.023,30.23975149,30.23975149,0.0,0.0,True
condition_aware_stress,condition_aware,3,30.23975149,8.0,0.85,0.023,25.5442372,25.5442372,0.0,0.0,True
condition_aware_stress,condition_aware,4,25.5442372,8.0,0.85,0.023,20.95671975,20.95671975,0.0,0.0,True
condition_aware_stress,condition_aware,5,20.95671975,8.0,0.85,0.023,16.47471519,16.47471519,0.0,0.0,True
condition_aware_stress,condition_aware,6,16.47471519,8.0,0.85,0.023,12.09579674,12.09579674,0.0,0.0,True
condition_aware_stress,condition_aware,7,12.09579674,8.0,0.85,0.023,7.81759342,7.81759342,0.0,0.0,True
condition_aware_stress,condition_aware,8,7.81759342,8.0,0.85,0.023,3.63778877,3.63778877,0.0,0.0,True
condition_aware_stress,condition_aware,9,3.63778877,8.0,0.85,0.023,-0.44588037,0.0,0.44588037,0.0,True
condition_aware_stress,condition_aware,10,0.0,7.91082393,0.84910824,0.02301784,-3.91082393,0.0,3.91082393,0.0,True
condition_aware_stress,condition_aware,11,0.0,7.12865914,0.84128659,0.02317427,-3.12865914,0.0,3.12865914,0.0,True
condition_aware_stress,condition_aware,12,0.0,6.50292731,0.83502927,0.02329941,-2.50292731,0.0,2.50292731,0.0,True
condition_aware_stress,condition_aware,13,0.0,6.00234185,0.83002342,0.02339953,-2.00234185,0.0,2.00234185,0.0,True
condition_aware_stress,condition_aware,14,0.0,5.60187348,0.82601873,0.02347963,-1.60187348,0.0,1.60187348,0.0,True
condition_aware_stress,condition_aware,15,0.0,5.28149878,0.82281499,0.0235437,-1.28149878,0.0,1.28149878,0.0,True
condition_aware_stress,condition_aware,16,0.0,5.02519903,0.82025199,0.02359496,-1.02519903,0.0,1.02519903,0.0,True
condition_aware_stress,condition_aware,17,0.0,4.82015922,0.81820159,0.02363597,-0.82015922,0.0,0.82015922,0.0,True
condition_aware_stress,condition_aware,18,0.0,4.65612738,0.81656127,0.02366877,-0.65612738,0.0,0.65612738,0.0,True
condition_aware_stress,condition_aware,19,0.0,4.5249019,0.81524902,0.02369502,-0.5249019,0.0,0.5249019,0.0,True
condition_aware_stress,condition_aware,20,0.0,4.41992152,0.81419922,0.02371602,-0.41992152,0.0,0.41992152,0.0,True
condition_aware_stress,condition_aware,21,0.0,4.33593722,0.81335937,0.02373281,-0.33593722,0.0,0.33593722,0.0,True
condition_aware_stress,condition_aware,22,0.0,4.26874977,0.8126875,0.02374625,-0.26874977,0.0,0.26874977,0.0,True
condition_aware_stress,condition_aware,23,0.0,4.21499982,0.81215,0.023757,-0.21499982,0.0,0.21499982,0.0,True
condition_aware_stress,condition_aware,24,0.0,4.17199986,0.81172,0.0237656,-0.17199986,0.0,0.17199986,0.0,True
condition_aware_stress,condition_aware,25,0.0,4.13759988,0.811376,0.02377248,-0.13759988,0.0,0.13759988,0.0,True
condition_aware_stress,condition_aware,26,0.0,4.11007991,0.8111008,0.02377798,-0.11007991,0.0,0.11007991,0.0,True
condition_aware_stress,condition_aware,27,0.0,4.08806393,0.81088064,0.02378239,-0.08806393,0.0,0.08806393,0.0,True
condition_aware_stress,condition_aware,28,0.0,4.07045114,0.81070451,0.02378591,-0.07045114,0.0,0.07045114,0.0,True
condition_aware_stress,condition_aware,29,0.0,4.05636091,0.81056361,0.02378873,-0.05636091,0.0,0.05636091,0.0,True
condition_aware_stress,condition_aware,30,0.0,4.04508873,0.81045089,0.02379098,-0.04508873,0.0,0.04508873,0.0,True
condition_aware_stress,condition_aware,31,0.0,4.03607098,0.81036071,0.02379279,-0.03607098,0.0,0.03607098,0.0,True
condition_aware_stress,condition_aware,32,0.0,4.02885679,0.81028857,0.02379423,-0.02885679,0.0,0.02885679,0.0,True
condition_aware_stress,condition_aware,33,0.0,4.02308543,0.81023085,0.02379538,-0.02308543,0.0,0.02308543,0.0,True
condition_aware_stress,condition_aware,34,0.0,4.01846834,0.81018468,0.02379631,-0.01846834,0.0,0.01846834,0.0,True
condition_aware_stress,condition_aware,35,0.0,4.01477468,0.81014775,0.02379705,-0.01477468,0.0,0.01477468,0.0,True
condition_aware_stress,condition_aware,36,0.0,4.01181974,0.8101182,0.02379764,-0.01181974,0.0,0.01181974,0.0,True
condition_aware_stress,condition_aware,37,0.0,4.00945579,0.81009456,0.02379811,-0.00945579,0.0,0.00945579,0.0,True
condition_aware_stress,condition_aware,38,0.0,4.00756463,0.81007565,0.02379849,-0.00756463,0.0,0.00756463,0.0,True
condition_aware_stress,condition_aware,39,0.0,4.00605171,0.81006052,0.02379879,-0.00605171,0.0,0.00605171,0.0,True
condition_aware_stress,condition_aware,40,0.0,4.00484137,0.81004841,0.02379903,-0.00484137,0.0,0.00484137,0.0,True
condition_aware_stress,condition_aware,41,0.0,4.00387309,0.81003873,0.02379923,-0.00387309,0.0,0.00387309,0.0,True
condition_aware_stress,condition_aware,42,0.0,4.00309847,0.81003098,0.02379938,-0.00309847,0.0,0.00309847,0.0,True
condition_aware_stress,condition_aware,43,0.0,4.00247878,0.81002479,0.0237995,-0.00247878,0.0,0.00247878,0.0,True
condition_aware_stress,condition_aware,44,0.0,4.00198302,0.81001983,0.0237996,-0.00198302,0.0,0.00198302,0.0,True
condition_aware_stress,condition_aware,45,0.0,4.00158642,0.81001586,0.02379968,-0.00158642,0.0,0.00158642,0.0,True
condition_aware_stress,condition_aware,46,0.0,4.00126913,0.81001269,0.02379975,-0.00126913,0.0,0.00126913,0.0,True
condition_aware_stress,condition_aware,47,0.0,4.00101531,0.81001015,0.0237998,-0.00101531,0.0,0.00101531,0.0,True
condition_aware_stress,condition_aware,48,0.0,4.00081225,0.81000812,0.02379984,-0.00081225,0.0,0.00081225,0.0,True
condition_aware_stress,condition_aware,49,0.0,4.0006498,0.8100065,0.02379987,-0.0006498,0.0,0.0006498,0.0,True
condition_aware_stress,condition_aware,50,0.0,4.00051984,0.8100052,0.0237999,-0.00051984,0.0,0.00051984,0.0,True
condition_aware_stress,condition_aware,51,0.0,4.00041587,0.81000416,0.02379992,-0.00041587,0.0,0.00041587,0.0,True
condition_aware_stress,condition_aware,52,0.0,4.0003327,0.81000333,0.02379993,-0.0003327,0.0,0.0003327,0.0,True
condition_aware_stress,condition_aware,53,0.0,4.00026616,0.81000266,0.02379995,-0.00026616,0.0,0.00026616,0.0,True
condition_aware_stress,condition_aware,54,0.0,4.00021293,0.81000213,0.02379996,-0.00021293,0.0,0.00021293,0.0,True
condition_aware_stress,condition_aware,55,0.0,4.00017034,0.8100017,0.02379997,-0.00017034,0.0,0.00017034,0.0,True
condition_aware_stress,condition_aware,56,0.0,4.00013627,0.81000136,0.02379997,-0.00013627,0.0,0.00013627,0.0,True
condition_aware_stress,condition_aware,57,0.0,4.00010902,0.81000109,0.02379998,-0.00010902,0.0,0.00010902,0.0,True
condition_aware_stress,condition_aware,58,0.0,4.00008721,0.81000087,0.02379998,-8.721e-05,0.0,8.721e-05,0.0,True
condition_aware_stress,condition_aware,59,0.0,4.00006977,0.8100007,0.02379999,-6.977e-05,0.0,6.977e-05,0.0,True
condition_aware_stress,condition_aware,60,0.0,4.00005582,0.81000056,0.02379999,-5.582e-05,0.0,5.582e-05,0.0,True
high_capacity_storage_only,storage_only,0,80.0,7.0,1.0,0.015,77.8,77.8,0.0,0.0,True
high_capacity_storage_only,storage_only,1,77.8,7.0,1.0,0.015,75.633,75.633,0.0,0.0,True
high_capacity_storage_only,storage_only,2,75.633,7.0,1.0,0.015,73.498505,73.498505,0.0,0.0,True
high_capacity_storage_only,storage_only,3,73.498505,7.0,1.0,0.015,71.39602742,71.39602742,0.0,0.0,True
high_capacity_storage_only,storage_only,4,71.39602742,7.0,1.0,0.015,69.32508701,69.32508701,0.0,0.0,True
high_capacity_storage_only,storage_only,5,69.32508701,7.0,1.0,0.015,67.28521071,67.28521071,0.0,0.0,True
high_capacity_storage_only,storage_only,6,67.28521071,7.0,1.0,0.015,65.27593255,65.27593255,0.0,0.0,True
high_capacity_storage_only,storage_only,7,65.27593255,7.0,1.0,0.015,63.29679356,63.29679356,0.0,0.0,True
high_capacity_storage_only,storage_only,8,63.29679356,7.0,1.0,0.015,61.34734166,61.34734166,0.0,0.0,True
high_capacity_storage_only,storage_only,9,61.34734166,7.0,1.0,0.015,59.42713153,59.42713153,0.0,0.0,True
high_capacity_storage_only,storage_only,10,59.42713153,7.0,1.0,0.015,57.53572456,57.53572456,0.0,0.0,True
high_capacity_storage_only,storage_only,11,57.53572456,7.0,1.0,0.015,55.67268869,55.67268869,0.0,0.0,True
high_capacity_storage_only,storage_only,12,55.67268869,7.0,1.0,0.015,53.83759836,53.83759836,0.0,0.0,True
high_capacity_storage_only,storage_only,13,53.83759836,7.0,1.0,0.015,52.03003438,52.03003438,0.0,0.0,True
high_capacity_storage_only,storage_only,14,52.03003438,7.0,1.0,0.015,50.24958387,50.24958387,0.0,0.0,True
high_capacity_storage_only,storage_only,15,50.24958387,7.0,1.0,0.015,48.49584011,48.49584011,0.0,0.0,True
high_capacity_storage_only,storage_only,16,48.49584011,7.0,1.0,0.015,46.76840251,46.76840251,0.0,0.0,True
high_capacity_storage_only,storage_only,17,46.76840251,7.0,1.0,0.015,45.06687647,45.06687647,0.0,0.0,True
high_capacity_storage_only,storage_only,18,45.06687647,7.0,1.0,0.015,43.39087332,43.39087332,0.0,0.0,True
high_capacity_storage_only,storage_only,19,43.39087332,7.0,1.0,0.015,41.74001022,41.74001022,0.0,0.0,True
high_capacity_storage_only,storage_only,20,41.74001022,7.0,1.0,0.015,40.11391007,40.11391007,0.0,0.0,True
high_capacity_storage_only,storage_only,21,40.11391007,7.0,1.0,0.015,38.51220142,38.51220142,0.0,0.0,True
high_capacity_storage_only,storage_only,22,38.51220142,7.0,1.0,0.015,36.9345184,36.9345184,0.0,0.0,True
high_capacity_storage_only,storage_only,23,36.9345184,7.0,1.0,0.015,35.38050062,35.38050062,0.0,0.0,True
high_capacity_storage_only,storage_only,24,35.38050062,7.0,1.0,0.015,33.84979311,33.84979311,0.0,0.0,True
high_capacity_storage_only,storage_only,25,33.84979311,7.0,1.0,0.015,32.34204622,32.34204622,0.0,0.0,True
high_capacity_storage_only,storage_only,26,32.34204622,7.0,1.0,0.015,30.85691552,30.85691552,0.0,0.0,True
high_capacity_storage_only,storage_only,27,30.85691552,7.0,1.0,0.015,29.39406179,29.39406179,0.0,0.0,True
high_capacity_storage_only,storage_only,28,29.39406179,7.0,1.0,0.015,27.95315086,27.95315086,0.0,0.0,True
high_capacity_storage_only,storage_only,29,27.95315086,7.0,1.0,0.015,26.5338536,26.5338536,0.0,0.0,True
high_capacity_storage_only,storage_only,30,26.5338536,7.0,1.0,0.015,25.1358458,25.1358458,0.0,0.0,True
high_capacity_storage_only,storage_only,31,25.1358458,7.0,1.0,0.015,23.75880811,23.75880811,0.0,0.0,True
high_capacity_storage_only,storage_only,32,23.75880811,7.0,1.0,0.015,22.40242599,22.40242599,0.0,0.0,True
high_capacity_storage_only,storage_only,33,22.40242599,7.0,1.0,0.015,21.0663896,21.0663896,0.0,0.0,True
high_capacity_storage_only,storage_only,34,21.0663896,7.0,1.0,0.015,19.75039375,19.75039375,0.0,0.0,True
high_capacity_storage_only,storage_only,35,19.75039375,7.0,1.0,0.015,18.45413785,18.45413785,0.0,0.0,True
high_capacity_storage_only,storage_only,36,18.45413785,7.0,1.0,0.015,17.17732578,17.17732578,0.0,0.0,True
high_capacity_storage_only,storage_only,37,17.17732578,7.0,1.0,0.015,15.91966589,15.91966589,0.0,0.0,True
high_capacity_storage_only,storage_only,38,15.91966589,7.0,1.0,0.015,14.68087091,14.68087091,0.0,0.0,True
high_capacity_storage_only,storage_only,39,14.68087091,7.0,1.0,0.015,13.46065784,13.46065784,0.0,0.0,True
high_capacity_storage_only,storage_only,40,13.46065784,7.0,1.0,0.015,12.25874797,12.25874797,0.0,0.0,True
high_capacity_storage_only,storage_only,41,12.25874797,7.0,1.0,0.015,11.07486675,11.07486675,0.0,0.0,True
high_capacity_storage_only,storage_only,42,11.07486675,7.0,1.0,0.015,9.90874375,9.90874375,0.0,0.0,True
high_capacity_storage_only,storage_only,43,9.90874375,7.0,1.0,0.015,8.7601126,8.7601126,0.0,0.0,True
high_capacity_storage_only,storage_only,44,8.7601126,7.0,1.0,0.015,7.62871091,7.62871091,0.0,0.0,True
high_capacity_storage_only,storage_only,45,7.62871091,7.0,1.0,0.015,6.51428024,6.51428024,0.0,0.0,True
high_capacity_storage_only,storage_only,46,6.51428024,7.0,1.0,0.015,5.41656604,5.41656604,0.0,0.0,True
high_capacity_storage_only,storage_only,47,5.41656604,7.0,1.0,0.015,4.33531755,4.33531755,0.0,0.0,True
high_capacity_storage_only,storage_only,48,4.33531755,7.0,1.0,0.015,3.27028779,3.27028779,0.0,0.0,True
high_capacity_storage_only,storage_only,49,3.27028779,7.0,1.0,0.015,2.22123347,2.22123347,0.0,0.0,True
high_capacity_storage_only,storage_only,50,2.22123347,7.0,1.0,0.015,1.18791497,1.18791497,0.0,0.0,True
high_capacity_storage_only,storage_only,51,1.18791497,7.0,1.0,0.015,0.17009624,0.17009624,0.0,0.0,True
